account_id,customer_id,product_id,account_type,open_date,status
ACC0000096,CUST000062,PRD01,Checking Account,2020-10-22,Open
ACC0000097,CUST000063,PRD01,Checking Account,2022-02-24,Open
ACC0000098,CUST000064,PRD01,Checking Account,2017-12-26,Closed
ACC0000099,CUST000065,PRD01,Checking Account,2023-05-01,Open
ACC0000100,CUST000065,PRD02,Savings Account,2023-07-15,Open
ACC0000101,CUST000066,PRD01,Checking Account,2022-07-13,Open
ACC0000102,CUST000066,PRD02,Savings Account,2016-04-04,Open
ACC0000103,CUST000067,PRD09,Term Deposit,2024-12-04,Open
ACC0000104,CUST000067,PRD01,Checking Account,2024-11-16,Open
ACC0000105,CUST000067,PRD02,Savings Account,2024-07-27,Open
ACC0000106,CUST000068,PRD01,Checking Account,2018-08-06,Open
ACC0000107,CUST000068,PRD02,Savings Account,2020-12-21,Open
ACC0000108,CUST000068,PRD09,Term Deposit,2021-10-12,Open
ACC0000109,CUST000069,PRD09,Term Deposit,2022-10-11,Open
ACC0000110,CUST000069,PRD01,Checking Account,2022-04-11,Open
ACC0000111,CUST000069,PRD02,Savings Account,2021-12-01,Open
ACC0000112,CUST000070,PRD01,Checking Account,2023-05-13,Closed
ACC0000113,CUST000070,PRD02,Savings Account,2024-03-20,Closed
ACC0000114,CUST000071,PRD01,Checking Account,2023-05-24,Open
ACC0000115,CUST000072,PRD01,Checking Account,2019-06-11,Open
ACC0000116,CUST000072,PRD02,Savings Account,2021-08-13,Open
ACC0000117,CUST000073,PRD01,Checking Account,2023-02-10,Open
ACC0000118,CUST000074,PRD01,Checking Account,2020-10-09,Open
ACC0000119,CUST000075,PRD01,Checking Account,2024-11-11,Open
ACC0000120,CUST000076,PRD01,Checking Account,2022-12-04,Open
ACC0000121,CUST000077,PRD01,Checking Account,2018-09-28,Closed
ACC0000122,CUST000078,PRD01,Checking Account,2024-12-23,Closed
ACC0000123,CUST000078,PRD02,Savings Account,2024-12-07,Closed
ACC0000124,CUST000079,PRD01,Checking Account,2020-10-06,Open
ACC0000125,CUST000080,PRD01,Checking Account,2023-07-11,Open
ACC0000126,CUST000081,PRD01,Checking Account,2018-03-08,Open
ACC0000127,CUST000081,PRD02,Savings Account,2020-12-27,Open
ACC0000128,CUST000082,PRD01,Checking Account,2024-08-29,Open
ACC0000129,CUST000083,PRD01,Checking Account,2024-08-02,Open
ACC0000130,CUST000084,PRD01,Checking Account,2020-01-21,Open
ACC0000131,CUST000084,PRD02,Savings Account,2024-10-26,Open
ACC0000132,CUST000085,PRD01,Checking Account,2024-08-30,Open
ACC0000133,CUST000086,PRD01,Checking Account,2019-12-01,Open
ACC0000134,CUST000086,PRD02,Savings Account,2023-10-26,Open
ACC0000135,CUST000087,PRD01,Checking Account,2021-09-04,Open
ACC0000136,CUST000088,PRD01,Checking Account,2020-06-17,Open
ACC0000137,CUST000089,PRD01,Checking Account,2022-09-01,Open
ACC0000138,CUST000090,PRD01,Checking Account,2020-03-26,Open
ACC0000139,CUST000090,PRD02,Savings Account,2019-11-21,Open
ACC0000140,CUST000091,PRD09,Term Deposit,2019-01-05,Open
ACC0000141,CUST000091,PRD01,Checking Account,2019-10-05,Open
ACC0000142,CUST000091,PRD02,Savings Account,2020-08-02,Open
ACC0000143,CUST000092,PRD01,Checking Account,2023-09-26,Open
ACC0000144,CUST000093,PRD01,Checking Account,2022-08-09,Open
ACC0000145,CUST000093,PRD02,Savings Account,2023-02-05,Open
ACC0000146,CUST000094,PRD01,Checking Account,2023-08-15,Open
ACC0000147,CUST000094,PRD09,Term Deposit,2024-08-06,Open
ACC0000148,CUST000095,PRD01,Checking Account,2021-04-05,Closed
ACC0000149,CUST000095,PRD09,Term Deposit,2022-08-19,Closed
ACC0000150,CUST000095,PRD02,Savings Account,2021-07-08,Closed
ACC0000151,CUST000096,PRD01,Checking Account,2023-06-07,Open
ACC0000152,CUST000097,PRD01,Checking Account,2018-05-20,Open
ACC0000153,CUST000097,PRD02,Savings Account,2019-08-10,Open
ACC0000154,CUST000098,PRD01,Checking Account,2024-09-06,Open
ACC0000155,CUST000098,PRD02,Savings Account,2022-03-21,Open
ACC0000156,CUST000099,PRD01,Checking Account,2021-12-12,Open
ACC0000157,CUST000100,PRD09,Term Deposit,2022-11-04,Open
ACC0000158,CUST000100,PRD01,Checking Account,2024-10-21,Open
ACC0000159,CUST000100,PRD02,Savings Account,2024-12-22,Open
ACC0000160,CUST000101,PRD01,Checking Account,2023-08-29,Open
ACC0000161,CUST000101,PRD02,Savings Account,2022-05-04,Open
ACC0000162,CUST000102,PRD01,Checking Account,2022-04-11,Open
ACC0000163,CUST000102,PRD09,Term Deposit,2023-08-28,Open
ACC0000164,CUST000103,PRD01,Checking Account,2020-08-05,Open
ACC0000165,CUST000103,PRD09,Term Deposit,2021-10-02,Open
ACC0000166,CUST000103,PRD02,Savings Account,2019-08-18,Open
ACC0000167,CUST000104,PRD01,Checking Account,2021-11-30,Open
ACC0000168,CUST000105,PRD01,Checking Account,2019-11-04,Open
ACC0000169,CUST000106,PRD01,Checking Account,2023-10-28,Open
ACC0000170,CUST000106,PRD02,Savings Account,2019-03-27,Open
ACC0000171,CUST000107,PRD01,Checking Account,2022-06-24,Open
ACC0000172,CUST000107,PRD02,Savings Account,2022-06-14,Open
ACC0000173,CUST000108,PRD01,Checking Account,2022-01-14,Open
ACC0000174,CUST000109,PRD01,Checking Account,2022-09-05,Open
ACC0000175,CUST000110,PRD09,Term Deposit,2021-06-16,Open
ACC0000176,CUST000110,PRD01,Checking Account,2023-12-25,Open
ACC0000177,CUST000110,PRD02,Savings Account,2019-11-28,Open
ACC0000178,CUST000111,PRD01,Checking Account,2022-06-21,Closed
ACC0000179,CUST000112,PRD01,Checking Account,2021-06-13,Open
ACC0000180,CUST000113,PRD01,Checking Account,2022-10-14,Open
ACC0000181,CUST000114,PRD01,Checking Account,2022-03-01,Closed
ACC0000182,CUST000114,PRD09,Term Deposit,2023-09-01,Closed
ACC0000183,CUST000114,PRD02,Savings Account,2022-03-01,Closed
ACC0000184,CUST000115,PRD01,Checking Account,2022-05-21,Open
ACC0000185,CUST000116,PRD01,Checking Account,2024-11-21,Open
ACC0000186,CUST000117,PRD01,Checking Account,2019-07-17,Open
ACC0000187,CUST000118,PRD01,Checking Account,2024-12-06,Open
ACC0000188,CUST000118,PRD02,Savings Account,2024-11-29,Open
ACC0000189,CUST000119,PRD01,Checking Account,2023-06-16,Open
ACC0000190,CUST000119,PRD02,Savings Account,2023-09-07,Open
ACC0000191,CUST000120,PRD09,Term Deposit,2022-03-08,Closed
ACC0000192,CUST000120,PRD01,Checking Account,2024-02-22,Closed
ACC0000193,CUST000120,PRD02,Savings Account,2024-05-01,Closed
ACC0000194,CUST000121,PRD01,Checking Account,2023-04-23,Open
ACC0000195,CUST000122,PRD01,Checking Account,2020-08-26,Open
ACC0000196,CUST000123,PRD01,Checking Account,2018-10-20,Closed
ACC0000197,CUST000124,PRD01,Checking Account,2023-04-30,Open
ACC0000198,CUST000124,PRD02,Savings Account,2024-04-24,Open
ACC0000199,CUST000125,PRD01,Checking Account,2023-12-02,Open
ACC0000200,CUST000126,PRD01,Checking Account,2022-06-30,Open
ACC0000201,CUST000127,PRD01,Checking Account,2023-08-07,Open
ACC0000202,CUST000127,PRD02,Savings Account,2024-02-02,Open
ACC0000203,CUST000128,PRD01,Checking Account,2023-12-01,Closed
ACC0000204,CUST000128,PRD09,Term Deposit,2022-05-12,Closed
ACC0000205,CUST000129,PRD09,Term Deposit,2023-01-10,Open
ACC0000206,CUST000129,PRD01,Checking Account,2022-03-07,Open
ACC0000207,CUST000130,PRD01,Checking Account,2024-08-12,Open
ACC0000208,CUST000130,PRD02,Savings Account,2024-08-11,Open
ACC0000209,CUST000131,PRD01,Checking Account,2018-12-25,Open
ACC0000210,CUST000132,PRD01,Checking Account,2024-12-05,Closed
ACC0000211,CUST000133,PRD01,Checking Account,2020-04-11,Open
ACC0000212,CUST000134,PRD01,Checking Account,2020-09-09,Open
ACC0000213,CUST000134,PRD02,Savings Account,2018-09-10,Open
ACC0000214,CUST000135,PRD09,Term Deposit,2023-01-25,Open
ACC0000215,CUST000135,PRD01,Checking Account,2024-01-13,Open
ACC0000216,CUST000136,PRD01,Checking Account,2020-05-04,Open
ACC0000217,CUST000137,PRD01,Checking Account,2024-11-03,Open
ACC0000218,CUST000137,PRD02,Savings Account,2024-09-14,Open
ACC0000219,CUST000138,PRD01,Checking Account,2024-09-27,Open
ACC0000220,CUST000139,PRD01,Checking Account,2023-12-31,Open
ACC0000221,CUST000140,PRD01,Checking Account,2018-08-02,Open
ACC0000222,CUST000140,PRD09,Term Deposit,2022-07-19,Open
ACC0000223,CUST000141,PRD01,Checking Account,2023-10-12,Open
ACC0000224,CUST000142,PRD01,Checking Account,2023-12-27,Open
ACC0000225,CUST000143,PRD01,Checking Account,2023-12-07,Open
ACC0000226,CUST000143,PRD09,Term Deposit,2023-09-06,Open
ACC0000227,CUST000144,PRD01,Checking Account,2023-10-30,Open
ACC0000228,CUST000144,PRD02,Savings Account,2022-04-05,Open
ACC0000229,CUST000145,PRD01,Checking Account,2023-02-18,Open
ACC0000230,CUST000146,PRD01,Checking Account,2024-03-16,Closed
ACC0000231,CUST000146,PRD02,Savings Account,2023-04-25,Closed
ACC0000232,CUST000147,PRD01,Checking Account,2021-05-08,Open
ACC0000233,CUST000147,PRD02,Savings Account,2020-05-23,Open
ACC0000234,CUST000148,PRD01,Checking Account,2023-08-04,Open
ACC0000235,CUST000149,PRD09,Term Deposit,2021-03-04,Open
ACC0000236,CUST000149,PRD01,Checking Account,2023-06-04,Open
ACC0000237,CUST000149,PRD02,Savings Account,2018-04-25,Open
ACC0000238,CUST000150,PRD01,Checking Account,2021-05-15,Open
ACC0000239,CUST000150,PRD02,Savings Account,2019-02-08,Open
ACC0000240,CUST000151,PRD01,Checking Account,2021-12-20,Open
ACC0000241,CUST000151,PRD09,Term Deposit,2024-11-01,Open
ACC0000242,CUST000152,PRD01,Checking Account,2023-09-05,Open
ACC0000243,CUST000153,PRD01,Checking Account,2019-05-20,Closed
ACC0000244,CUST000154,PRD01,Checking Account,2018-09-29,Open
ACC0000245,CUST000154,PRD02,Savings Account,2018-12-02,Open
ACC0000246,CUST000155,PRD01,Checking Account,2024-01-02,Closed
ACC0000247,CUST000156,PRD01,Checking Account,2019-02-10,Open
ACC0000248,CUST000157,PRD01,Checking Account,2021-12-29,Closed
ACC0000249,CUST000158,PRD01,Checking Account,2020-04-10,Open
ACC0000250,CUST000159,PRD01,Checking Account,2024-12-10,Closed
ACC0000251,CUST000160,PRD01,Checking Account,2018-06-22,Open
ACC0000252,CUST000160,PRD02,Savings Account,2020-03-12,Open
ACC0000253,CUST000161,PRD01,Checking Account,2024-01-13,Open
ACC0000254,CUST000161,PRD02,Savings Account,2024-08-28,Open
ACC0000255,CUST000162,PRD01,Checking Account,2024-01-22,Open
ACC0000256,CUST000163,PRD01,Checking Account,2023-05-13,Open
ACC0000257,CUST000164,PRD01,Checking Account,2022-11-10,Open
ACC0000258,CUST000165,PRD01,Checking Account,2022-09-23,Open
ACC0000259,CUST000165,PRD02,Savings Account,2024-11-30,Open
ACC0000260,CUST000166,PRD01,Checking Account,2023-11-05,Open
ACC0000261,CUST000167,PRD01,Checking Account,2024-10-07,Open
ACC0000262,CUST000168,PRD01,Checking Account,2023-07-21,Open
ACC0000263,CUST000168,PRD02,Savings Account,2019-10-04,Open
ACC0000264,CUST000169,PRD09,Term Deposit,2021-07-20,Closed
ACC0000265,CUST000169,PRD01,Checking Account,2021-02-11,Closed
ACC0000266,CUST000169,PRD02,Savings Account,2020-07-30,Closed
ACC0000267,CUST000170,PRD01,Checking Account,2020-09-09,Open
ACC0000268,CUST000170,PRD02,Savings Account,2024-07-26,Open
ACC0000269,CUST000171,PRD01,Checking Account,2023-02-24,Open
ACC0000270,CUST000171,PRD02,Savings Account,2023-08-05,Open
ACC0000271,CUST000172,PRD01,Checking Account,2023-10-10,Open
ACC0000272,CUST000172,PRD02,Savings Account,2024-12-18,Open
ACC0000273,CUST000173,PRD01,Checking Account,2024-11-29,Closed
ACC0000274,CUST000173,PRD02,Savings Account,2024-11-02,Closed
ACC0000275,CUST000174,PRD01,Checking Account,2023-04-04,Open
ACC0000276,CUST000174,PRD02,Savings Account,2021-08-02,Open
ACC0000277,CUST000175,PRD01,Checking Account,2024-11-18,Open
ACC0000278,CUST000176,PRD01,Checking Account,2022-11-02,Open
ACC0000279,CUST000177,PRD01,Checking Account,2022-08-05,Open
ACC0000280,CUST000178,PRD01,Checking Account,2021-08-19,Closed
ACC0000281,CUST000178,PRD02,Savings Account,2020-08-10,Closed
ACC0000282,CUST000179,PRD09,Term Deposit,2020-08-02,Open
ACC0000283,CUST000179,PRD01,Checking Account,2021-02-13,Open
ACC0000284,CUST000179,PRD02,Savings Account,2021-08-31,Open
ACC0000285,CUST000180,PRD01,Checking Account,2024-11-27,Open
ACC0000286,CUST000181,PRD01,Checking Account,2020-09-15,Open
ACC0000287,CUST000181,PRD09,Term Deposit,2021-03-09,Open
ACC0000288,CUST000182,PRD01,Checking Account,2024-01-02,Open
ACC0000289,CUST000182,PRD02,Savings Account,2024-01-19,Open
ACC0000290,CUST000183,PRD01,Checking Account,2021-11-07,Open
ACC0000291,CUST000184,PRD01,Checking Account,2024-10-28,Open
ACC0000292,CUST000185,PRD01,Checking Account,2019-08-22,Open
ACC0000293,CUST000185,PRD02,Savings Account,2021-12-30,Open
ACC0000294,CUST000186,PRD01,Checking Account,2024-03-30,Open
ACC0000295,CUST000187,PRD01,Checking Account,2024-03-06,Open
ACC0000296,CUST000187,PRD02,Savings Account,2024-07-23,Open
ACC0000297,CUST000188,PRD09,Term Deposit,2022-10-11,Closed
ACC0000298,CUST000188,PRD01,Checking Account,2024-04-09,Closed
ACC0000299,CUST000189,PRD01,Checking Account,2022-09-18,Open
ACC0000300,CUST000189,PRD02,Savings Account,2023-09-04,Open
ACC0000301,CUST000190,PRD01,Checking Account,2024-01-21,Open
ACC0000302,CUST000191,PRD01,Checking Account,2023-09-15,Open
ACC0000303,CUST000191,PRD02,Savings Account,2023-10-13,Open
ACC0000304,CUST000192,PRD01,Checking Account,2024-04-17,Open
ACC0000305,CUST000192,PRD02,Savings Account,2024-01-07,Open
ACC0000306,CUST000193,PRD09,Term Deposit,2021-08-03,Closed
ACC0000307,CUST000193,PRD01,Checking Account,2020-12-12,Closed
ACC0000308,CUST000193,PRD02,Savings Account,2022-05-09,Closed
ACC0000309,CUST000194,PRD01,Checking Account,2021-12-03,Closed
ACC0000310,CUST000194,PRD02,Savings Account,2024-08-30,Closed
ACC0000311,CUST000195,PRD01,Checking Account,2023-09-04,Open
ACC0000312,CUST000195,PRD02,Savings Account,2022-02-06,Open
ACC0000313,CUST000196,PRD01,Checking Account,2020-07-21,Open
ACC0000314,CUST000196,PRD02,Savings Account,2020-08-28,Open
ACC0000315,CUST000197,PRD01,Checking Account,2024-07-12,Open
ACC0000316,CUST000198,PRD01,Checking Account,2022-11-24,Open
ACC0000317,CUST000199,PRD01,Checking Account,2024-02-04,Open
ACC0000318,CUST000199,PRD02,Savings Account,2018-11-12,Open
ACC0000319,CUST000200,PRD01,Checking Account,2024-10-18,Open
ACC0000320,CUST000200,PRD02,Savings Account,2023-08-27,Open
ACC0000321,CUST000201,PRD01,Checking Account,2024-01-18,Open
ACC0000322,CUST000202,PRD01,Checking Account,2024-04-08,Closed
ACC0000323,CUST000203,PRD01,Checking Account,2024-10-11,Open
ACC0000324,CUST000204,PRD01,Checking Account,2023-06-14,Open
ACC0000325,CUST000204,PRD09,Term Deposit,2022-12-05,Open
ACC0000326,CUST000205,PRD01,Checking Account,2024-01-18,Open
ACC0000327,CUST000206,PRD01,Checking Account,2024-10-28,Open
ACC0000328,CUST000207,PRD01,Checking Account,2021-02-11,Closed
ACC0000329,CUST000207,PRD02,Savings Account,2022-03-03,Closed
ACC0000330,CUST000208,PRD01,Checking Account,2021-05-01,Open
ACC0000331,CUST000208,PRD02,Savings Account,2020-03-13,Open
ACC0000332,CUST000209,PRD01,Checking Account,2023-08-23,Open
ACC0000333,CUST000210,PRD01,Checking Account,2021-06-27,Open
ACC0000334,CUST000211,PRD01,Checking Account,2022-05-02,Closed
ACC0000335,CUST000212,PRD01,Checking Account,2022-04-29,Open
ACC0000336,CUST000212,PRD02,Savings Account,2021-07-01,Open
ACC0000337,CUST000213,PRD01,Checking Account,2023-02-07,Open
ACC0000338,CUST000213,PRD09,Term Deposit,2024-01-22,Open
ACC0000339,CUST000214,PRD01,Checking Account,2020-12-10,Open
ACC0000340,CUST000215,PRD01,Checking Account,2018-02-28,Open
ACC0000341,CUST000216,PRD01,Checking Account,2024-09-29,Open
ACC0000342,CUST000217,PRD01,Checking Account,2017-04-15,Open
ACC0000343,CUST000218,PRD01,Checking Account,2023-11-17,Open
ACC0000344,CUST000218,PRD02,Savings Account,2023-12-02,Open
ACC0000345,CUST000219,PRD01,Checking Account,2022-06-06,Open
ACC0000346,CUST000220,PRD01,Checking Account,2023-03-23,Closed
ACC0000347,CUST000220,PRD09,Term Deposit,2024-01-05,Closed
ACC0000348,CUST000220,PRD02,Savings Account,2021-03-20,Closed
ACC0000349,CUST000221,PRD09,Term Deposit,2020-05-20,Open
ACC0000350,CUST000221,PRD01,Checking Account,2023-09-01,Open
ACC0000351,CUST000221,PRD02,Savings Account,2019-09-26,Open
ACC0000352,CUST000222,PRD01,Checking Account,2024-11-27,Open
ACC0000353,CUST000222,PRD02,Savings Account,2024-11-06,Open
ACC0000354,CUST000223,PRD01,Checking Account,2018-02-20,Open
ACC0000355,CUST000223,PRD02,Savings Account,2018-03-31,Open
ACC0000356,CUST000224,PRD01,Checking Account,2020-01-28,Open
ACC0000357,CUST000225,PRD01,Checking Account,2021-09-30,Open
ACC0000358,CUST000226,PRD01,Checking Account,2021-02-19,Open
ACC0000359,CUST000227,PRD09,Term Deposit,2021-10-19,Open
ACC0000360,CUST000227,PRD01,Checking Account,2024-06-19,Open
ACC0000361,CUST000228,PRD01,Checking Account,2022-04-06,Closed
ACC0000362,CUST000229,PRD01,Checking Account,2023-10-17,Open
ACC0000363,CUST000229,PRD02,Savings Account,2017-11-30,Open
ACC0000364,CUST000230,PRD01,Checking Account,2021-05-18,Closed
ACC0000365,CUST000230,PRD02,Savings Account,2020-10-01,Closed
ACC0000366,CUST000231,PRD01,Checking Account,2016-11-18,Open
ACC0000367,CUST000232,PRD01,Checking Account,2023-07-31,Open
ACC0000368,CUST000233,PRD01,Checking Account,2023-01-10,Open
ACC0000369,CUST000234,PRD01,Checking Account,2022-09-23,Open
ACC0000370,CUST000234,PRD02,Savings Account,2024-11-24,Open
ACC0000371,CUST000235,PRD01,Checking Account,2024-11-13,Closed
ACC0000372,CUST000236,PRD01,Checking Account,2024-11-01,Closed
ACC0000373,CUST000237,PRD01,Checking Account,2024-04-19,Open
ACC0000374,CUST000238,PRD01,Checking Account,2018-10-21,Open
ACC0000375,CUST000239,PRD01,Checking Account,2024-12-14,Open
ACC0000376,CUST000239,PRD02,Savings Account,2024-10-17,Open
ACC0000377,CUST000240,PRD01,Checking Account,2020-09-21,Open
ACC0000378,CUST000240,PRD02,Savings Account,2020-12-19,Open
ACC0000379,CUST000241,PRD01,Checking Account,2022-08-24,Open
ACC0000380,CUST000242,PRD01,Checking Account,2022-02-28,Open
ACC0000381,CUST000243,PRD01,Checking Account,2023-08-20,Closed
ACC0000382,CUST000244,PRD01,Checking Account,2021-09-04,Open
ACC0000383,CUST000244,PRD02,Savings Account,2024-03-01,Open
ACC0000384,CUST000245,PRD01,Checking Account,2024-08-29,Open
ACC0000385,CUST000246,PRD01,Checking Account,2021-10-15,Open
ACC0000386,CUST000246,PRD02,Savings Account,2023-03-28,Open
ACC0000387,CUST000247,PRD01,Checking Account,2021-08-23,Open
ACC0000388,CUST000247,PRD02,Savings Account,2021-06-22,Open
ACC0000389,CUST000248,PRD01,Checking Account,2021-07-14,Open
ACC0000390,CUST000249,PRD01,Checking Account,2020-09-20,Open
ACC0000391,CUST000250,PRD01,Checking Account,2021-11-18,Open
ACC0000392,CUST000251,PRD01,Checking Account,2017-07-11,Open
ACC0000393,CUST000251,PRD09,Term Deposit,2024-08-07,Open
ACC0000394,CUST000252,PRD01,Checking Account,2019-06-09,Open
ACC0000395,CUST000253,PRD01,Checking Account,2024-10-24,Open
ACC0000396,CUST000253,PRD02,Savings Account,2024-12-23,Open
ACC0000397,CUST000254,PRD01,Checking Account,2022-09-06,Open
ACC0000398,CUST000255,PRD01,Checking Account,2024-05-07,Open
ACC0000399,CUST000256,PRD01,Checking Account,2024-05-29,Open
ACC0000400,CUST000256,PRD02,Savings Account,2023-05-30,Open
ACC0000401,CUST000257,PRD01,Checking Account,2024-10-15,Open
ACC0000402,CUST000257,PRD09,Term Deposit,2019-10-19,Open
ACC0000403,CUST000257,PRD02,Savings Account,2023-07-26,Open
ACC0000404,CUST000258,PRD01,Checking Account,2024-04-25,Open
ACC0000405,CUST000259,PRD01,Checking Account,2017-10-11,Open
ACC0000406,CUST000260,PRD01,Checking Account,2021-05-01,Open
ACC0000407,CUST000261,PRD01,Checking Account,2023-09-22,Open
