deposit_id,customer_id,open_date,principal_amount,term_months,interest_rate,auto_renew,status
DEP000056,CUST000416,2023-12-18,45843.41,3,0.0371,False,Matured
DEP000057,CUST000420,2021-02-11,8595.93,6,0.0656,False,Active
DEP000058,CUST000432,2021-09-21,33701.88,12,0.0366,True,Active
DEP000059,CUST000435,2018-08-27,27824.45,24,0.0568,False,Withdrawn Early
DEP000060,CUST000460,2024-08-17,47299.07,12,0.064,True,Active
DEP000061,CUST000469,2023-02-06,6069.99,12,0.0398,True,Active
DEP000062,CUST000473,2023-11-23,42728.58,12,0.0309,True,Matured
DEP000063,CUST000478,2022-11-09,35804.0,6,0.0749,True,Withdrawn Early
DEP000064,CUST000486,2024-05-23,15697.85,6,0.0787,False,Matured
DEP000065,CUST000488,2022-06-28,17223.81,12,0.066,False,Active
DEP000066,CUST000502,2024-12-18,31682.8,36,0.074,False,Active
DEP000067,CUST000504,2018-10-14,45615.15,12,0.0415,True,Active
DEP000068,CUST000522,2024-09-26,25621.15,12,0.0753,False,Matured
DEP000069,CUST000529,2019-10-25,49250.81,3,0.0537,False,Active
DEP000070,CUST000533,2023-01-12,27811.1,12,0.0391,False,Active
DEP000071,CUST000543,2023-05-16,28315.45,12,0.0721,True,Active
DEP000072,CUST000545,2024-10-10,7387.48,12,0.0571,False,Active
DEP000073,CUST000548,2024-07-30,33771.53,6,0.075,True,Active
DEP000074,CUST000563,2021-06-04,24822.7,6,0.0549,True,Matured
DEP000075,CUST000565,2017-12-16,47314.39,24,0.0577,True,Active
DEP000076,CUST000569,2019-04-07,18661.65,3,0.0671,False,Matured
DEP000077,CUST000570,2023-06-30,14906.46,3,0.0556,False,Active
DEP000078,CUST000573,2017-08-04,2539.29,12,0.0751,False,Active
DEP000079,CUST000593,2018-12-28,43257.05,12,0.0657,True,Matured
DEP000080,CUST000597,2022-09-05,4326.49,12,0.0362,False,Matured
DEP000081,CUST000600,2024-05-09,23407.84,3,0.0696,True,Active
DEP000082,CUST000601,2022-06-01,30204.39,12,0.0795,False,Active
DEP000083,CUST000611,2019-11-02,27429.4,6,0.0467,False,Active
DEP000084,CUST000614,2018-05-27,38012.99,12,0.0659,True,Active
DEP000085,CUST000615,2023-05-17,4766.45,12,0.0536,True,Matured
DEP000086,CUST000618,2022-12-24,26884.87,6,0.0648,True,Matured
DEP000087,CUST000624,2018-01-08,28201.8,12,0.0712,False,Active
DEP000088,CUST000628,2024-09-23,11037.32,12,0.0381,True,Active
DEP000089,CUST000630,2024-06-14,6290.02,36,0.0452,False,Active
DEP000090,CUST000636,2024-10-05,40091.2,24,0.0762,False,Active
DEP000091,CUST000637,2021-03-23,26692.38,24,0.0667,False,Withdrawn Early
DEP000092,CUST000641,2024-04-18,40566.36,12,0.0344,False,Active
DEP000093,CUST000650,2021-11-22,15674.16,6,0.0404,True,Active
DEP000094,CUST000652,2023-09-23,28912.5,6,0.0787,True,Withdrawn Early
DEP000095,CUST000668,2019-07-28,24127.88,6,0.038,False,Matured
DEP000096,CUST000669,2024-12-11,39137.37,24,0.0379,False,Active
DEP000097,CUST000685,2018-08-20,46572.7,12,0.0389,True,Matured
DEP000098,CUST000689,2024-06-23,23310.73,12,0.0754,False,Active
DEP000099,CUST000700,2024-03-09,25249.43,12,0.0454,True,Matured
DEP000100,CUST000708,2023-12-06,37524.42,12,0.0752,True,Active
DEP000101,CUST000717,2024-06-19,13214.79,12,0.0344,False,Matured
DEP000102,CUST000719,2023-11-18,17692.23,24,0.0693,False,Matured
DEP000103,CUST000721,2024-11-06,42481.64,3,0.0307,False,Matured
DEP000104,CUST000724,2017-06-07,33325.31,3,0.0629,False,Matured
DEP000105,CUST000726,2022-12-11,28490.97,24,0.0527,True,Active
DEP000106,CUST000736,2024-12-07,5392.11,3,0.0645,True,Active
DEP000107,CUST000741,2021-11-23,7188.83,36,0.0387,False,Matured
DEP000108,CUST000746,2022-01-28,3632.77,12,0.0776,False,Active
DEP000109,CUST000751,2019-10-26,16859.72,6,0.0696,False,Active
DEP000110,CUST000766,2023-08-29,35835.7,36,0.068,True,Active
DEP000111,CUST000778,2021-08-04,33140.98,3,0.0722,True,Matured
DEP000112,CUST000788,2024-12-30,29001.35,3,0.0324,True,Matured
DEP000113,CUST000805,2023-05-20,9453.2,12,0.0492,False,Withdrawn Early
DEP000114,CUST000807,2023-02-28,33067.01,3,0.0798,False,Active
DEP000115,CUST000812,2022-07-01,8562.62,6,0.0708,False,Matured
DEP000116,CUST000814,2022-08-24,47473.93,6,0.0509,True,Matured
DEP000117,CUST000820,2022-06-15,39131.27,3,0.0373,False,Active
DEP000118,CUST000823,2024-05-08,37416.5,12,0.0736,False,Withdrawn Early
DEP000119,CUST000829,2022-12-16,18219.6,12,0.0307,False,Active
DEP000120,CUST000833,2023-01-03,6185.4,6,0.0606,True,Active
DEP000121,CUST000834,2024-08-26,32906.02,36,0.0504,True,Matured
DEP000122,CUST000837,2021-05-29,21190.85,36,0.0642,True,Withdrawn Early
DEP000123,CUST000839,2023-12-31,13127.66,12,0.0469,True,Active
DEP000124,CUST000853,2023-09-25,43922.45,6,0.0798,False,Matured
DEP000125,CUST000869,2021-04-28,36188.99,12,0.0519,True,Active
DEP000126,CUST000870,2022-08-25,21249.02,6,0.0342,True,Active
DEP000127,CUST000876,2024-08-05,12513.48,24,0.0643,False,Active
DEP000128,CUST000893,2024-05-07,9263.11,6,0.0504,True,Active
DEP000129,CUST000898,2018-01-05,1081.74,3,0.0458,False,Matured
DEP000130,CUST000909,2020-07-10,3421.91,36,0.0788,True,Withdrawn Early
DEP000131,CUST000934,2018-10-09,9797.59,6,0.0409,False,Active
DEP000132,CUST000947,2023-07-23,19263.5,3,0.0761,False,Matured
DEP000133,CUST000951,2022-12-07,8871.52,12,0.0422,True,Active
DEP000134,CUST000956,2024-03-08,36338.45,36,0.0506,True,Matured
DEP000135,CUST000957,2022-01-29,4690.3,12,0.061,True,Matured
DEP000136,CUST000960,2023-05-01,3405.29,3,0.0561,False,Withdrawn Early
DEP000137,CUST000962,2023-07-27,34786.8,12,0.0399,True,Active
DEP000138,CUST000970,2023-05-17,29795.47,12,0.0663,False,Active
DEP000139,CUST000972,2024-02-02,14007.9,24,0.0673,True,Active
DEP000140,CUST000975,2024-04-26,47591.84,12,0.0654,False,Withdrawn Early
DEP000141,CUST000983,2024-12-29,9934.59,12,0.0484,False,Matured
DEP000142,CUST001002,2024-07-28,7883.93,3,0.0538,False,Active
DEP000143,CUST001011,2016-04-29,2216.81,36,0.0536,False,Active
DEP000144,CUST001031,2023-11-23,35845.37,36,0.0308,False,Active
DEP000145,CUST001035,2024-04-20,35488.6,24,0.0338,False,Matured
DEP000146,CUST001040,2020-05-11,2019.44,36,0.0506,False,Matured
DEP000147,CUST001046,2017-07-27,18696.77,12,0.0549,True,Active
DEP000148,CUST001064,2019-08-24,3903.68,3,0.0328,True,Active
DEP000149,CUST001066,2022-05-19,27829.1,3,0.0434,False,Active
DEP000150,CUST001067,2024-09-20,22902.87,3,0.0396,True,Active
DEP000151,CUST001068,2024-01-23,7810.17,3,0.0564,True,Withdrawn Early
DEP000152,CUST001071,2023-02-12,29451.11,6,0.0571,False,Active
DEP000153,CUST001074,2020-09-01,37497.06,3,0.0428,False,Matured
DEP000154,CUST001079,2021-05-24,4346.99,6,0.0765,False,Active
DEP000155,CUST001092,2022-08-19,38114.95,12,0.0761,False,Matured
DEP000156,CUST001107,2022-10-01,41506.57,12,0.0436,True,Active
DEP000157,CUST001108,2023-06-14,20179.44,6,0.0691,True,Active
DEP000158,CUST001113,2023-12-09,18865.6,36,0.0452,False,Matured
DEP000159,CUST001114,2023-11-07,29909.25,6,0.0491,False,Withdrawn Early
DEP000160,CUST001127,2023-02-16,36060.63,3,0.0652,False,Matured
DEP000161,CUST001135,2024-11-22,18208.59,3,0.0473,False,Active
DEP000162,CUST001137,2024-08-07,33288.4,12,0.063,True,Active
DEP000163,CUST001139,2024-10-26,20028.72,6,0.0677,True,Active
DEP000164,CUST001141,2021-09-09,9928.54,12,0.0661,False,Matured
DEP000165,CUST001143,2024-08-21,33827.7,6,0.0582,True,Matured
DEP000166,CUST001161,2022-06-02,14955.13,12,0.0786,True,Active
DEP000167,CUST001176,2024-02-06,41108.61,12,0.0579,True,Matured
DEP000168,CUST001177,2018-04-19,34686.04,12,0.0335,False,Active
DEP000169,CUST001183,2018-07-16,31486.36,24,0.0397,True,Matured
DEP000170,CUST001187,2019-07-22,11818.03,6,0.0368,False,Active
DEP000171,CUST001194,2020-12-08,34867.18,12,0.0363,True,Matured
DEP000172,CUST001195,2024-12-04,1322.2,6,0.0488,False,Matured
DEP000173,CUST001199,2021-04-22,17060.09,6,0.0507,False,Matured
DEP000174,CUST001200,2024-04-08,11169.91,24,0.0445,False,Active
DEP000175,CUST001205,2018-05-28,7003.89,6,0.0364,False,Active
DEP000176,CUST001208,2024-08-21,11418.77,12,0.0479,False,Active
DEP000177,CUST001220,2024-11-22,29373.78,36,0.0689,True,Active
DEP000178,CUST001222,2024-04-13,28692.5,12,0.0332,True,Active
DEP000179,CUST001227,2024-09-19,22285.82,36,0.0698,False,Matured
DEP000180,CUST001229,2021-12-12,2221.66,3,0.0348,False,Active
DEP000181,CUST001239,2021-06-26,3264.9,6,0.0501,False,Active
DEP000182,CUST001240,2016-07-29,46097.15,12,0.0473,False,Active
DEP000183,CUST001244,2023-07-25,38632.63,36,0.0506,True,Active
DEP000184,CUST001245,2024-01-30,11091.79,6,0.0372,True,Withdrawn Early
DEP000185,CUST001249,2024-03-17,42839.35,6,0.0606,False,Active
DEP000186,CUST001254,2024-04-21,10616.45,3,0.0752,False,Matured
DEP000187,CUST001258,2024-07-27,8292.88,6,0.0406,False,Matured
DEP000188,CUST001259,2023-04-22,33896.5,24,0.0394,False,Active
DEP000189,CUST001262,2023-02-21,6016.34,12,0.0645,False,Matured
DEP000190,CUST001265,2024-10-14,14874.91,24,0.0405,False,Active
DEP000191,CUST001282,2024-09-16,22272.9,12,0.0527,True,Active
DEP000192,CUST001284,2020-12-19,8931.39,12,0.0459,True,Active
DEP000193,CUST001285,2022-07-04,3238.96,3,0.0611,False,Active
DEP000194,CUST001288,2024-12-05,34282.86,24,0.0535,False,Active
DEP000195,CUST001296,2018-11-16,4312.87,12,0.071,False,Active
DEP000196,CUST001298,2021-07-14,30819.16,12,0.0627,False,Matured
DEP000197,CUST001299,2023-08-27,15967.9,6,0.0314,False,Active
DEP000198,CUST001303,2024-11-13,39298.38,3,0.0623,True,Active
DEP000199,CUST001304,2024-08-02,24270.92,36,0.0573,True,Active
DEP000200,CUST001305,2022-10-26,21833.05,6,0.0749,False,Matured
DEP000201,CUST001312,2024-11-19,48722.55,12,0.06,False,Active
DEP000202,CUST001315,2023-06-04,35519.12,36,0.078,False,Matured
DEP000203,CUST001318,2023-01-29,24852.99,6,0.0396,False,Matured
DEP000204,CUST001324,2024-12-03,31844.32,36,0.0346,False,Active
DEP000205,CUST001334,2024-05-23,6601.42,6,0.044,False,Matured
DEP000206,CUST001341,2024-06-04,14722.73,6,0.0664,False,Active
DEP000207,CUST001352,2019-09-12,34899.73,12,0.0343,True,Matured
DEP000208,CUST001358,2023-07-07,2211.58,12,0.0681,True,Matured
DEP000209,CUST001363,2024-10-13,34927.4,6,0.0768,True,Active
DEP000210,CUST001368,2020-05-14,19590.91,6,0.0441,False,Active
DEP000211,CUST001371,2024-02-27,5198.65,12,0.068,False,Matured
DEP000212,CUST001372,2024-07-09,7901.05,36,0.0354,True,Active
DEP000213,CUST001376,2023-06-06,16270.48,6,0.051,True,Matured
DEP000214,CUST001394,2024-07-06,49633.77,6,0.0705,True,Active
DEP000215,CUST001395,2023-08-02,18097.61,24,0.0423,False,Matured
DEP000216,CUST001396,2024-11-29,45025.04,12,0.041,True,Active
DEP000217,CUST001398,2021-09-24,31941.23,12,0.0501,False,Matured
DEP000218,CUST001414,2023-10-17,8466.04,12,0.0521,True,Matured
DEP000219,CUST001415,2024-09-28,13957.62,36,0.0659,True,Active
DEP000220,CUST001419,2024-09-21,43444.22,36,0.0323,False,Active
DEP000221,CUST001427,2023-04-08,25640.24,6,0.0544,True,Active
DEP000222,CUST001435,2022-08-10,28353.44,24,0.046,False,Matured
DEP000223,CUST001455,2021-04-01,13178.82,3,0.0462,True,Active
DEP000224,CUST001463,2021-12-01,15174.51,6,0.0654,True,Active
DEP000225,CUST001493,2023-02-27,35935.11,12,0.0674,False,Matured
DEP000226,CUST001497,2024-11-29,34950.33,3,0.0742,False,Matured
DEP000227,CUST001499,2021-07-11,41379.34,12,0.0578,False,Withdrawn Early
DEP000228,CUST001506,2023-08-28,2548.68,24,0.0593,False,Active
DEP000229,CUST001522,2018-09-25,20968.4,36,0.0794,False,Matured
DEP000230,CUST001533,2016-09-28,41818.01,6,0.0756,False,Active
DEP000231,CUST001547,2021-01-22,611.24,12,0.0798,True,Active
DEP000232,CUST001549,2021-08-05,28987.68,3,0.0751,False,Active
DEP000233,CUST001552,2020-10-20,40337.42,6,0.0397,True,Active
DEP000234,CUST001553,2017-12-23,41978.11,12,0.0415,True,Active
DEP000235,CUST001560,2022-07-10,47567.04,12,0.0748,False,Matured
DEP000236,CUST001576,2021-01-26,16159.86,12,0.07,False,Withdrawn Early
DEP000237,CUST001578,2017-12-22,29804.44,3,0.0569,False,Active
DEP000238,CUST001580,2024-02-14,17901.22,12,0.0616,True,Matured
DEP000239,CUST001596,2023-10-28,22978.9,3,0.0317,True,Matured
DEP000240,CUST001597,2023-07-21,46751.43,3,0.0364,True,Active
DEP000241,CUST001601,2021-10-17,7720.44,3,0.0731,False,Active
DEP000242,CUST001608,2024-10-14,36309.88,24,0.0361,False,Withdrawn Early
DEP000243,CUST001614,2024-01-16,48134.74,3,0.0465,False,Active
DEP000244,CUST001616,2024-04-10,15169.13,36,0.0406,False,Active
DEP000245,CUST001621,2024-08-12,14169.73,12,0.0732,True,Active
DEP000246,CUST001623,2024-11-23,13539.09,6,0.0601,False,Active
DEP000247,CUST001629,2021-06-02,34293.94,24,0.0776,False,Matured
DEP000248,CUST001638,2024-12-23,41335.89,12,0.0322,False,Active
DEP000249,CUST001639,2020-09-05,38943.07,12,0.0691,False,Matured
DEP000250,CUST001645,2021-04-12,30625.9,12,0.0783,True,Active
DEP000251,CUST001649,2019-07-03,32000.31,24,0.0702,True,Active
DEP000252,CUST001650,2023-03-07,24684.92,3,0.0782,True,Active
DEP000253,CUST001657,2023-04-18,22532.2,36,0.0542,True,Matured
DEP000254,CUST001662,2022-05-05,12704.39,6,0.0371,True,Matured
DEP000255,CUST001664,2024-08-27,25853.48,6,0.0316,False,Matured
DEP000256,CUST001665,2024-07-19,6372.72,6,0.048,False,Active
DEP000257,CUST001669,2022-01-05,33097.74,6,0.0652,True,Active
DEP000258,CUST001672,2023-08-28,43414.85,12,0.0593,False,Matured
DEP000259,CUST001682,2023-04-22,29296.26,6,0.0341,True,Active
DEP000260,CUST001686,2024-09-28,34737.71,3,0.0524,True,Active
DEP000261,CUST001687,2022-07-19,7711.12,3,0.0745,False,Withdrawn Early
DEP000262,CUST001696,2024-08-02,24744.29,12,0.0439,False,Active
DEP000263,CUST001706,2022-08-23,11350.63,36,0.0575,False,Active
DEP000264,CUST001709,2024-05-20,6892.69,6,0.037,False,Active
DEP000265,CUST001718,2021-12-19,43589.56,6,0.0399,True,Active
DEP000266,CUST001721,2022-07-30,32121.09,6,0.0304,False,Matured
DEP000267,CUST001722,2023-10-07,30111.51,24,0.0551,False,Active
DEP000268,CUST001723,2023-09-28,8115.83,36,0.0361,True,Active
DEP000269,CUST001728,2022-04-02,16141.0,6,0.0797,False,Withdrawn Early
DEP000270,CUST001747,2024-12-28,28866.85,12,0.0433,True,Matured
DEP000271,CUST001753,2023-05-24,2592.83,24,0.058,False,Matured
DEP000272,CUST001765,2019-12-09,15258.85,24,0.0557,False,Active
DEP000273,CUST001780,2024-07-05,19102.03,12,0.0678,False,Active
DEP000274,CUST001784,2024-12-30,28092.51,24,0.0569,False,Active
DEP000275,CUST001791,2024-09-08,34021.31,24,0.0589,True,Matured
DEP000276,CUST001797,2018-11-30,6219.32,36,0.0336,False,Active
DEP000277,CUST001798,2021-01-08,30870.43,12,0.0709,False,Active
DEP000278,CUST001799,2019-12-31,15943.29,12,0.0378,False,Active
DEP000279,CUST001802,2023-07-09,19147.24,12,0.0646,True,Matured
DEP000280,CUST001809,2022-12-02,9914.1,24,0.0789,True,Active
DEP000281,CUST001825,2023-08-27,40367.8,12,0.0624,True,Matured
DEP000282,CUST001829,2023-04-12,28975.9,12,0.0487,False,Active
DEP000283,CUST001834,2018-09-15,33594.6,24,0.0792,True,Active
DEP000284,CUST001839,2023-12-20,8991.84,36,0.0567,True,Matured
DEP000285,CUST001856,2018-12-29,28030.84,12,0.0478,True,Matured
DEP000286,CUST001863,2020-08-07,42025.33,6,0.064,False,Active
DEP000287,CUST001865,2022-12-16,22076.93,3,0.0416,True,Matured
DEP000288,CUST001885,2019-10-20,21477.09,12,0.0436,False,Active
DEP000289,CUST001916,2022-03-21,3848.79,36,0.0397,True,Active
DEP000290,CUST001917,2024-08-05,4797.26,12,0.0751,False,Active
DEP000291,CUST001923,2023-08-07,35360.56,12,0.0717,False,Matured
DEP000292,CUST001928,2022-07-18,2324.79,6,0.0628,True,Matured
DEP000293,CUST001929,2021-09-21,4328.98,12,0.0588,True,Withdrawn Early
DEP000294,CUST001930,2024-10-18,15879.27,3,0.0564,False,Active
DEP000295,CUST001938,2024-03-08,42417.03,36,0.0718,True,Active
DEP000296,CUST001943,2020-09-18,46544.44,6,0.0587,False,Active
DEP000297,CUST001947,2024-06-27,46051.65,12,0.0477,True,Active
DEP000298,CUST001957,2024-05-02,4173.36,36,0.0607,False,Matured
DEP000299,CUST001964,2024-06-09,10689.04,24,0.033,False,Active
DEP000300,CUST001966,2020-06-20,44185.1,6,0.0553,False,Active
DEP000301,CUST001969,2020-12-02,19537.77,36,0.0546,False,Active
DEP000302,CUST001971,2022-07-24,16568.95,24,0.0442,False,Active
DEP000303,CUST001999,2022-05-10,10260.17,36,0.0419,True,Active
DEP000304,CUST002013,2021-06-25,32267.72,12,0.0405,False,Withdrawn Early
DEP000305,CUST002021,2023-01-13,8539.52,6,0.0302,True,Active
DEP000306,CUST002030,2024-08-28,2538.43,6,0.0366,True,Active
DEP000307,CUST002039,2021-01-27,1581.36,12,0.0559,True,Active
DEP000308,CUST002041,2024-01-31,25830.43,3,0.0516,False,Matured
DEP000309,CUST002046,2021-08-12,20451.84,12,0.0464,True,Active
DEP000310,CUST002056,2020-11-12,19452.2,24,0.0594,False,Active
DEP000311,CUST002057,2024-04-14,6591.2,6,0.0775,False,Matured
DEP000312,CUST002088,2023-10-09,26191.83,24,0.0396,False,Active
DEP000313,CUST002093,2017-06-28,38713.62,6,0.0601,False,Active
DEP000314,CUST002107,2024-02-17,8513.66,36,0.0573,True,Active
DEP000315,CUST002109,2019-02-02,23597.26,12,0.0345,False,Active
DEP000316,CUST002114,2023-05-31,30648.39,12,0.0402,False,Active
DEP000317,CUST002115,2024-08-16,14301.38,24,0.0493,True,Withdrawn Early
DEP000318,CUST002116,2022-11-10,9012.7,36,0.0591,False,Withdrawn Early
DEP000319,CUST002118,2023-05-29,15710.91,12,0.0581,False,Matured
DEP000320,CUST002123,2019-12-11,6715.68,3,0.0582,False,Active
DEP000321,CUST002129,2024-01-16,18581.34,12,0.0541,False,Matured
DEP000322,CUST002134,2022-04-16,18878.57,12,0.0594,True,Active
DEP000323,CUST002137,2024-05-18,37451.47,12,0.0458,False,Active
DEP000324,CUST002151,2019-11-15,32951.01,12,0.0564,False,Active
DEP000325,CUST002154,2024-05-24,3933.69,3,0.0702,True,Active
DEP000326,CUST002155,2024-08-30,21483.87,24,0.0485,True,Matured
DEP000327,CUST002163,2023-01-10,14522.51,3,0.0634,False,Active
DEP000328,CUST002170,2024-08-07,33876.37,6,0.0737,False,Matured
DEP000329,CUST002176,2024-02-26,28463.22,24,0.0373,False,Matured
DEP000330,CUST002184,2024-03-19,705.31,6,0.0454,True,Active
DEP000331,CUST002185,2020-08-07,34440.12,6,0.0434,False,Active
DEP000332,CUST002192,2023-12-08,34527.5,24,0.0444,False,Active
DEP000333,CUST002200,2020-03-31,39178.62,12,0.037,False,Active
DEP000334,CUST002208,2024-01-09,43164.7,3,0.0726,False,Matured
DEP000335,CUST002209,2020-03-26,26924.1,12,0.0718,False,Active
DEP000336,CUST002213,2022-12-10,43636.88,6,0.0597,False,Active
DEP000337,CUST002219,2024-08-27,13579.64,12,0.0401,True,Withdrawn Early
DEP000338,CUST002221,2022-02-24,24351.23,12,0.0567,True,Active
DEP000339,CUST002231,2022-12-16,26617.16,36,0.0589,False,Matured
DEP000340,CUST002238,2018-11-14,47724.17,3,0.0441,True,Active
DEP000341,CUST002242,2024-06-03,49154.81,12,0.0676,True,Active
DEP000342,CUST002252,2023-07-13,1996.42,12,0.072,True,Active
DEP000343,CUST002280,2024-08-13,39973.65,12,0.0669,False,Active
DEP000344,CUST002298,2023-03-07,17263.12,24,0.0535,True,Active
DEP000345,CUST002299,2024-12-14,17706.7,24,0.0669,False,Active
DEP000346,CUST002302,2020-09-09,5159.42,12,0.0597,False,Matured
DEP000347,CUST002306,2023-12-24,39096.76,6,0.0438,True,Matured
DEP000348,CUST002307,2019-12-21,2563.49,6,0.0513,False,Active
DEP000349,CUST002308,2023-03-19,44979.28,12,0.0561,True,Withdrawn Early
DEP000350,CUST002311,2021-02-19,29206.36,12,0.0551,True,Active
DEP000351,CUST002317,2021-08-08,22780.85,6,0.0622,False,Active
DEP000352,CUST002327,2020-01-22,27717.28,12,0.0461,True,Active
DEP000353,CUST002330,2024-11-23,39642.39,12,0.0726,True,Matured
DEP000354,CUST002335,2022-10-15,36649.42,12,0.0358,True,Active
DEP000355,CUST002339,2023-07-13,45189.47,24,0.034,False,Matured
DEP000356,CUST002347,2020-10-09,17737.36,12,0.0654,False,Matured
DEP000357,CUST002348,2021-11-24,21728.65,6,0.0322,True,Matured
DEP000358,CUST002350,2024-06-15,31345.97,12,0.0465,False,Matured
DEP000359,CUST002355,2024-07-06,21964.1,6,0.0643,False,Matured
DEP000360,CUST002359,2023-06-27,42509.89,12,0.0528,False,Matured
DEP000361,CUST002362,2020-09-02,46946.7,12,0.045,False,Matured
DEP000362,CUST002371,2022-05-05,1091.3,6,0.0387,True,Matured
DEP000363,CUST002386,2024-10-03,49443.83,36,0.0444,True,Matured
DEP000364,CUST002394,2024-01-24,31641.31,24,0.063,False,Matured
DEP000365,CUST002399,2022-07-23,21134.06,12,0.0552,False,Matured
DEP000366,CUST002406,2023-12-20,31305.09,6,0.0309,False,Active
DEP000367,CUST002409,2022-04-25,16142.88,12,0.0491,False,Matured
DEP000368,CUST002424,2022-08-26,41706.15,12,0.0335,False,Active
DEP000369,CUST002433,2023-07-07,33862.94,12,0.0564,False,Matured
DEP000370,CUST002439,2024-09-21,46031.63,12,0.0692,False,Matured
DEP000371,CUST002441,2022-11-30,1918.73,12,0.0587,False,Active
DEP000372,CUST002444,2023-05-28,5264.34,3,0.0623,False,Active
DEP000373,CUST002449,2023-06-03,34568.03,24,0.0557,False,Matured
DEP000374,CUST002451,2024-03-27,5102.44,24,0.0467,False,Active
DEP000375,CUST002458,2020-02-16,12766.43,12,0.0525,False,Active
DEP000376,CUST002459,2022-10-28,2899.81,6,0.0656,True,Active
DEP000377,CUST002463,2024-11-25,16127.34,12,0.0393,False,Matured
DEP000378,CUST002466,2023-10-14,21368.52,6,0.0411,False,Active
