customer_id,signup_date,birth_year,age,age_band,gender,region,city,branch_id,employment_status,occupation_group,income_band,annual_income,education_level,marital_status,customer_type,acquisition_channel,acquisition_campaign_flag,relationship_start_date,tenure_years,digital_adoption,mobile_banking_user,internet_banking_user,premium_customer_flag,salary_customer_flag,customer_status,churn_flag,risk_segment,recency_months,frequency_avg_monthly_txns,monetary_avg_balance,r_score,f_score,m_score,rfm_score,rfm_segment,customer_value_score,value_segment,lifecycle_segment,behavioral_segment,digital_segment,customer_lifetime_value,products_owned_count,multi_product_flag
CUST000017,2022-11-27,1962,64,56-65,Male,Region-12,Region-12-City-1,BR015,Employed,Manager,15K-30K,22100.0,Master,Single,Individual,CH04,False,2022-11-27,2.09,High,True,True,False,False,Active,False,Moderate,0,0.83,3886.56,3,3,5,335,Potential Loyalist,73.3,High Value,Established,Digital First,High,395.56,2,True
CUST000018,2021-04-16,1982,44,36-45,Female,Region-08,Region-08-City-3,BR018,Employed,Professional,<15K,8300.0,High School,Single,Individual,CH03,False,2021-04-16,3.71,High,True,True,False,True,Active,False,Low,0,2.0,1677.89,3,5,4,354,Potential Loyalist,80.0,High Value,Loyal,Digital First,High,185.45,4,True
CUST000019,2021-01-06,1952,74,66+,Female,Region-10,Region-10-City-1,BR013,Employed,Professional,<15K,6400.0,Master,Married,Individual,CH02,True,2021-01-06,3.98,High,True,True,False,True,Churned,True,Elevated,3,2.04,1148.86,1,5,4,154,At Risk,66.7,High Value,Churned,Digital First,High,69.79,4,True
CUST000020,2019-05-21,1953,73,66+,Female,Region-02,Region-02-City-3,BR003,Employed,Manager,15K-30K,30000.0,Bachelor,Married,Individual,CH05,False,2019-05-21,5.62,Medium,False,True,False,True,Active,False,Low,0,1.17,2310.98,3,4,5,345,Potential Loyalist,80.0,High Value,Loyal,Deposit Heavy,Medium,353.05,2,True
CUST000021,2016-06-28,1999,27,26-35,Male,Region-05,Region-05-City-1,BR018,Employed,Public Sector,<15K,3200.0,Bachelor,Single,Individual,CH02,True,2016-06-28,8.51,High,True,True,False,False,Churned,True,Moderate,18,0.33,143.04,1,1,1,111,Lost,20.0,Mass,Churned,Digital First,High,17.7,3,True
CUST000022,2017-05-08,1986,40,36-45,Male,Region-04,Region-04-City-2,BR017,Student,Clerical,<15K,1200.0,High School,Single,Individual,CH09,False,2017-05-08,7.65,High,True,True,False,False,Active,False,Low,0,1.5,137.45,3,4,1,341,Potential Loyalist,53.3,Affluent,Loyal,Digital First,High,21.21,3,True
CUST000023,2021-07-19,1950,76,66+,Female,Region-06,Region-06-City-3,BR022,Self-Employed,Public Sector,<15K,10000.0,Master,Married,Individual,CH12,False,2021-07-19,3.45,Low,False,False,False,False,Churned,True,High,10,0.42,778.7,1,2,3,123,At Risk,40.0,Mass Affluent,Churned,Branch Dependent,Low,-14.71,4,True
CUST000024,2022-01-07,1955,71,66+,Female,Region-07,Region-07-City-1,BR004,Employed,Other,15K-30K,15200.0,High School,Divorced,Individual,CH12,False,2022-01-07,2.98,Medium,False,True,False,False,Churned,True,Moderate,13,0.46,1494.46,1,2,4,124,At Risk,46.7,Affluent,Churned,Low Engagement,Medium,180.98,2,True
CUST000025,2018-01-19,1977,49,46-55,Male,Region-12,Region-12-City-2,BR001,Employed,Professional,<15K,1800.0,Diploma,Single,Individual,CH04,True,2018-01-19,6.95,Medium,False,True,False,False,Active,False,Elevated,0,1.17,482.65,3,4,2,342,Potential Loyalist,60.0,Affluent,Loyal,Low Engagement,Medium,5.56,2,True
CUST000026,2023-10-26,1987,39,36-45,Female,Region-02,Region-02-City-3,BR008,Employed,Manager,<15K,5000.0,High School,Married,Individual,CH12,True,2023-10-26,1.18,High,True,True,False,False,Dormant,False,Low,0,0.04,312.23,3,1,2,312,Potential Loyalist,40.0,Mass Affluent,Growing,Digital First,High,39.01,4,True
CUST000027,2020-02-07,1973,53,46-55,Male,Region-12,Region-12-City-3,BR020,Employed,Professional,<15K,11500.0,High School,Married,Individual,CH05,True,2020-02-07,4.9,High,True,True,False,True,Dormant,False,Low,0,0.58,2062.06,3,2,5,325,Potential Loyalist,66.7,High Value,Established,Digital First,High,212.02,5,True
CUST000028,2021-02-24,1998,28,26-35,Female,Region-10,Region-10-City-2,BR003,Employed,Manual Labor,<15K,2200.0,High School,Married,Individual,CH01,False,2021-02-24,3.85,High,True,True,False,True,Active,False,Low,0,1.58,515.24,3,4,2,342,Potential Loyalist,60.0,Affluent,Loyal,Digital First,High,56.07,2,True
CUST000029,2023-04-16,1985,41,36-45,Male,Region-05,Region-05-City-3,BR022,Employed,Public Sector,<15K,2100.0,Master,Married,Individual,CH07,True,2023-04-16,1.71,Medium,False,True,False,False,Active,False,Elevated,0,0.96,400.84,3,3,2,332,Potential Loyalist,53.3,Affluent,Growing,Low Engagement,Medium,1.14,3,True
CUST000030,2019-06-05,1983,43,36-45,Female,Region-04,Region-04-City-3,BR024,Unemployed,Professional,<15K,1200.0,Bachelor,Divorced,Individual,CH12,False,2019-06-05,5.57,Medium,False,True,False,False,Active,False,Elevated,0,1.12,210.51,3,3,1,331,Potential Loyalist,46.7,Affluent,Loyal,Low Engagement,Medium,-10.24,1,False
CUST000031,2022-01-23,1965,61,56-65,Male,Region-11,Region-11-City-3,BR018,Employed,Public Sector,<15K,3800.0,High School,Single,Individual,CH01,True,2022-01-23,2.94,Medium,False,True,False,True,Active,False,Moderate,0,0.58,721.57,3,2,3,323,Potential Loyalist,53.3,Affluent,Established,Low Engagement,Medium,66.61,8,True
CUST000032,2023-04-07,1987,39,36-45,Female,Region-02,Region-02-City-2,BR024,Retired,Professional,<15K,3100.0,Master,Single,Individual,CH09,True,2023-04-07,1.74,High,True,True,False,False,Active,False,Moderate,0,1.79,814.52,3,5,3,353,Potential Loyalist,73.3,High Value,Growing,Digital First,High,82.63,4,True
CUST000033,2019-02-05,1998,28,26-35,Female,Region-11,Region-11-City-1,BR017,Student,Manual Labor,<15K,1200.0,Master,Married,Individual,CH02,False,2019-02-05,5.9,High,True,True,False,False,Churned,True,Low,8,0.08,124.23,1,1,1,111,Lost,20.0,Mass,Churned,Digital First,High,3.33,4,True
CUST000034,2023-05-14,1952,74,66+,Male,Region-12,Region-12-City-3,BR003,Employed,Business Owner,15K-30K,16300.0,Master,Single,Individual,CH08,False,2023-05-14,1.63,High,True,True,False,True,Active,False,Low,0,1.42,3576.8,3,4,5,345,Potential Loyalist,80.0,High Value,Growing,Digital First,High,360.36,4,True
CUST000035,2018-12-03,1990,36,36-45,Male,Region-04,Region-04-City-2,BR024,Employed,Business Owner,<15K,6600.0,Bachelor,Single,Individual,CH02,True,2018-12-03,6.08,High,True,True,False,False,Churned,True,Moderate,12,0.75,243.25,1,2,1,121,Lost,26.7,Mass Affluent,Churned,Digital First,High,48.4,3,True
CUST000036,2023-06-23,1998,28,26-35,Female,Region-07,Region-07-City-2,BR020,Self-Employed,Clerical,<15K,2400.0,Diploma,Single,Individual,CH02,True,2023-06-23,1.52,High,True,True,False,False,Active,False,Low,0,2.5,307.62,3,5,2,352,Potential Loyalist,66.7,High Value,Growing,Digital First,High,52.3,2,True
CUST000037,2021-01-16,1973,53,46-55,Female,Region-07,Region-07-City-2,BR023,Student,Professional,<15K,1200.0,High School,Married,Individual,CH02,True,2021-01-16,3.96,Medium,False,True,False,False,Active,False,Low,0,2.08,216.51,3,5,1,351,Potential Loyalist,60.0,Affluent,Loyal,Transaction Heavy,Medium,33.38,2,True
CUST000038,2017-09-19,1992,34,26-35,Female,Region-10,Region-10-City-3,BR003,Self-Employed,Clerical,<15K,3500.0,Master,Single,Individual,CH09,False,2017-09-19,7.28,High,True,True,False,False,Active,False,Low,0,3.08,476.14,3,5,2,352,Potential Loyalist,66.7,High Value,Loyal,Digital First,High,77.7,1,False
CUST000039,2022-11-18,1969,57,56-65,Female,Region-10,Region-10-City-3,BR010,Employed,Clerical,<15K,9300.0,High School,Single,Individual,CH08,True,2022-11-18,2.12,High,True,True,False,True,Active,False,Low,0,1.25,1234.98,3,4,4,344,Potential Loyalist,73.3,High Value,Loyal,Digital First,High,143.63,1,False
CUST000040,2018-01-29,1960,66,66+,Male,Region-12,Region-12-City-2,BR005,Retired,Manual Labor,<15K,10100.0,Diploma,Divorced,Individual,CH01,False,2018-01-29,6.92,Medium,False,True,False,False,Active,False,Moderate,0,1.58,2232.93,3,4,5,345,Potential Loyalist,80.0,High Value,Loyal,Deposit Heavy,Medium,222.58,4,True
CUST000041,2018-06-27,1994,32,26-35,Female,Region-01,Region-01-City-2,BR017,Employed,Manual Labor,<15K,3500.0,Bachelor,Single,Individual,CH07,True,2018-06-27,6.51,High,True,True,False,False,Active,False,Low,0,0.29,421.49,3,1,2,312,Potential Loyalist,40.0,Mass Affluent,Established,Digital First,High,41.07,4,True
CUST000042,2016-11-15,1967,59,56-65,Male,Region-10,Region-10-City-3,BR016,Employed,Professional,15K-30K,19300.0,Bachelor,Single,Corporate,CH12,False,2016-11-15,8.13,High,True,True,False,False,Churned,True,Low,12,0.71,1479.89,1,2,4,124,At Risk,46.7,Affluent,Churned,Digital First,High,214.56,2,True
CUST000043,2023-06-01,1991,35,26-35,Female,Region-10,Region-10-City-1,BR014,Employed,Professional,<15K,8300.0,Bachelor,Married,Individual,CH06,True,2023-06-01,1.59,High,True,True,False,False,Churned,True,Moderate,16,0.38,281.78,1,2,2,122,Lost,33.3,Mass Affluent,Churned,Digital First,High,56.47,4,True
CUST000044,2018-07-19,1967,59,56-65,Female,Region-09,Region-09-City-2,BR005,Employed,Other,<15K,8600.0,High School,Single,Individual,CH08,True,2018-07-19,6.45,Medium,True,False,False,True,Active,False,Low,0,0.33,2346.27,3,1,5,315,Potential Loyalist,60.0,Affluent,Established,Deposit Heavy,Medium,228.68,4,True
CUST000045,2016-07-28,1971,55,46-55,Female,Region-03,Region-03-City-2,BR003,Self-Employed,Clerical,<15K,11300.0,Master,Married,Individual,CH10,False,2016-07-28,8.43,Medium,True,False,False,False,Churned,True,Low,8,0.08,711.64,1,1,3,113,At Risk,33.3,Mass Affluent,Churned,Low Engagement,Medium,105.12,6,True
CUST000046,2018-02-13,1987,39,36-45,Male,Region-09,Region-09-City-2,BR025,Employed,Manual Labor,<15K,5900.0,High School,Single,Individual,CH10,False,2018-02-13,6.88,Medium,True,False,False,True,Dormant,False,Moderate,0,0.29,2845.94,3,1,5,315,Potential Loyalist,60.0,Affluent,Established,Deposit Heavy,Medium,229.93,4,True
CUST000047,2023-03-31,1968,58,56-65,Male,Region-06,Region-06-City-2,BR006,Student,Professional,<15K,1200.0,Diploma,Single,Individual,CH08,False,2023-03-31,1.75,Medium,True,False,False,False,Active,False,Low,0,1.0,205.18,3,3,1,331,Potential Loyalist,46.7,Affluent,Growing,Low Engagement,Medium,20.27,3,True
CUST000048,2017-08-04,1994,32,26-35,Female,Region-04,Region-04-City-3,BR024,Employed,Professional,<15K,6400.0,Diploma,Widowed,Individual,CH06,False,2017-08-04,7.41,High,True,True,False,True,Dormant,False,Moderate,0,0.04,562.22,3,1,3,313,Potential Loyalist,46.7,Affluent,Established,Digital First,High,63.72,2,True
CUST000049,2023-12-18,1952,74,66+,Male,Region-05,Region-05-City-1,BR013,Employed,Clerical,15K-30K,15500.0,Diploma,Married,Individual,CH02,True,2023-12-18,1.04,Medium,True,False,False,False,Active,False,Elevated,0,0.83,1202.32,3,3,4,334,Potential Loyalist,66.7,High Value,Growing,Low Engagement,Medium,104.76,3,True
CUST000050,2019-09-03,1950,76,66+,Female,Region-05,Region-05-City-1,BR001,Employed,Clerical,<15K,11000.0,Master,Single,Individual,CH05,True,2019-09-03,5.33,High,True,True,False,False,Active,False,Low,0,1.12,2051.36,3,3,5,335,Potential Loyalist,73.3,High Value,Loyal,Digital First,High,220.95,5,True
CUST000051,2020-06-26,1954,72,66+,Female,Region-09,Region-09-City-2,BR012,Employed,Manager,<15K,5000.0,PhD,Single,Individual,CH08,False,2020-06-26,4.51,High,True,True,False,False,Active,False,Low,0,2.38,1037.18,3,5,4,354,Potential Loyalist,80.0,High Value,Loyal,Digital First,High,119.01,2,True
CUST000052,2020-03-09,1964,62,56-65,Male,Region-03,Region-03-City-3,BR022,Self-Employed,Public Sector,<15K,5500.0,Bachelor,Divorced,Individual,CH02,True,2020-03-09,4.81,High,True,True,False,False,Active,False,Low,0,1.46,1193.88,3,4,4,344,Potential Loyalist,73.3,High Value,Loyal,Digital First,High,124.45,4,True
CUST000053,2020-04-15,1952,74,66+,Male,Region-03,Region-03-City-2,BR015,Employed,Business Owner,<15K,9500.0,Bachelor,Married,Individual,CH11,False,2020-04-15,4.71,Low,False,False,False,False,Active,False,High,0,0.58,1399.65,3,2,4,324,Potential Loyalist,60.0,Affluent,Established,Branch Dependent,Low,-10.83,3,True
CUST000054,2024-08-21,1970,56,56-65,Female,Region-05,Region-05-City-2,BR024,Employed,Manager,<15K,9800.0,High School,Married,Individual,CH12,False,2024-08-21,0.36,Medium,True,False,False,False,Active,False,Elevated,0,1.33,2740.67,3,4,5,345,Potential Loyalist,80.0,High Value,New,Deposit Heavy,Medium,151.9,3,True
CUST000055,2020-05-22,1951,75,66+,Female,Region-06,Region-06-City-2,BR020,Employed,Manual Labor,<15K,13600.0,High School,Married,Individual,CH02,False,2020-05-22,4.61,Medium,False,True,False,False,Active,False,Moderate,0,2.17,1282.67,3,5,4,354,Potential Loyalist,80.0,High Value,Loyal,Transaction Heavy,Medium,179.5,1,False
CUST000056,2016-07-27,1991,35,26-35,Male,Region-12,Region-12-City-3,BR023,Employed,Professional,<15K,1800.0,Bachelor,Single,Individual,CH02,False,2016-07-27,8.43,Low,False,False,False,False,Churned,True,Low,10,0.54,237.61,1,2,1,121,Lost,26.7,Mass Affluent,Churned,Branch Dependent,Low,20.43,3,True
CUST000057,2021-01-10,1958,68,66+,Male,Region-04,Region-04-City-1,BR021,Employed,Professional,<15K,10300.0,High School,Married,Individual,CH08,False,2021-01-10,3.97,High,True,True,False,True,Active,False,Low,0,1.5,1531.22,3,4,4,344,Potential Loyalist,73.3,High Value,Loyal,Digital First,High,178.53,2,True
CUST000058,2022-06-14,2003,23,18-25,Male,Region-11,Region-11-City-2,BR018,Employed,Professional,<15K,3200.0,Bachelor,Married,Small Business,CH07,False,2022-06-14,2.55,High,True,True,False,True,Active,False,Elevated,0,1.21,496.06,3,4,2,342,Potential Loyalist,60.0,Affluent,Loyal,Digital First,High,14.02,4,True
CUST000059,2016-01-20,1997,29,26-35,Female,Region-01,Region-01-City-2,BR007,Unemployed,Professional,<15K,1200.0,Bachelor,Single,Individual,CH01,True,2016-01-20,8.95,High,True,True,False,False,Active,False,Elevated,0,2.38,70.71,3,5,1,351,Potential Loyalist,60.0,Affluent,Loyal,Digital First,High,-3.45,4,True
CUST000060,2024-01-14,1988,38,36-45,Female,Region-07,Region-07-City-1,BR016,Retired,Clerical,<15K,1500.0,Bachelor,Widowed,Individual,CH07,False,2024-01-14,0.96,Medium,True,False,False,False,Active,False,Moderate,0,0.29,243.63,3,1,1,311,Potential Loyalist,33.3,Mass Affluent,Growing,Low Engagement,Medium,15.74,3,True
CUST000061,2020-08-02,1993,33,26-35,Female,Region-11,Region-11-City-1,BR007,Employed,Professional,<15K,4800.0,Bachelor,Divorced,Individual,CH08,False,2020-08-02,4.41,High,True,True,False,False,Active,False,Moderate,0,1.71,578.18,3,5,3,353,Potential Loyalist,73.3,High Value,Loyal,Digital First,High,75.04,5,True
CUST000062,2020-05-08,1992,34,26-35,Female,Region-04,Region-04-City-3,BR016,Employed,Manager,<15K,3700.0,High School,Married,Small Business,CH08,False,2020-05-08,4.65,High,True,True,False,True,Active,False,Low,0,0.67,413.66,3,2,2,322,Potential Loyalist,46.7,Affluent,Established,Digital First,High,45.85,3,True
CUST000063,2020-08-29,1996,30,26-35,Female,Region-03,Region-03-City-1,BR016,Employed,Manager,<15K,2500.0,Diploma,Widowed,Individual,CH01,False,2020-08-29,4.34,Medium,True,False,False,True,Active,False,Moderate,0,2.38,581.55,3,5,3,353,Potential Loyalist,73.3,High Value,Loyal,Transaction Heavy,Medium,69.74,1,False
CUST000064,2016-09-14,1980,46,46-55,Female,Region-08,Region-08-City-1,BR020,Employed,Manual Labor,<15K,7100.0,Bachelor,Married,Individual,CH06,True,2016-09-14,8.3,High,True,True,False,True,Churned,True,Low,17,0.5,189.93,1,2,1,121,Lost,26.7,Mass Affluent,Churned,Digital First,High,44.76,4,True
CUST000065,2021-02-28,1984,42,36-45,Male,Region-03,Region-03-City-2,BR010,Employed,Other,<15K,4800.0,Diploma,Single,Small Business,CH05,True,2021-02-28,3.84,High,True,True,False,True,Active,False,Moderate,0,0.46,1244.6,3,2,4,324,Potential Loyalist,60.0,Affluent,Established,Digital First,High,107.74,2,True
CUST000066,2016-03-30,1975,51,46-55,Female,Region-01,Region-01-City-1,BR008,Self-Employed,Manager,<15K,8200.0,High School,Married,Individual,CH08,False,2016-03-30,8.76,Medium,False,True,False,False,Active,False,Low,0,0.96,2218.95,3,3,5,335,Potential Loyalist,73.3,High Value,Established,Deposit Heavy,Medium,222.77,2,True
CUST000067,2024-04-28,1984,42,36-45,Female,Region-01,Region-01-City-1,BR024,Employed,Manager,<15K,3400.0,Bachelor,Married,Individual,CH03,False,2024-04-28,0.68,Medium,False,True,False,True,Active,False,Moderate,0,1.25,483.74,3,4,2,342,Potential Loyalist,60.0,Affluent,Growing,Low Engagement,Medium,54.07,7,True
CUST000068,2018-05-19,1970,56,56-65,Female,Region-06,Region-06-City-2,BR009,Employed,Professional,<15K,12000.0,Bachelor,Widowed,Individual,CH11,True,2018-05-19,6.62,High,True,True,False,True,Dormant,False,Low,0,0.38,1617.07,3,2,4,324,Potential Loyalist,60.0,Affluent,Established,Digital First,High,179.87,4,True
CUST000069,2019-08-20,1956,70,66+,Female,Region-07,Region-07-City-2,BR016,Employed,Other,<15K,6600.0,Master,Single,Individual,CH01,False,2019-08-20,5.37,Medium,False,True,False,False,Active,False,Moderate,0,1.25,1275.27,3,4,4,344,Potential Loyalist,73.3,High Value,Loyal,Low Engagement,Medium,128.47,6,True
CUST000070,2022-10-11,2001,25,18-25,Male,Region-01,Region-01-City-3,BR023,Unemployed,Business Owner,<15K,1200.0,Master,Married,Individual,CH11,False,2022-10-11,2.22,High,True,True,False,False,Churned,True,High,2,3.25,297.42,1,5,2,152,At Risk,53.3,Affluent,Churned,Digital First,High,-31.52,3,True
CUST000071,2022-11-20,1988,38,36-45,Female,Region-04,Region-04-City-2,BR007,Self-Employed,Clerical,<15K,4300.0,Master,Married,Individual,CH10,False,2022-11-20,2.11,High,True,True,False,False,Active,False,Moderate,0,1.83,473.05,3,5,2,352,Potential Loyalist,66.7,High Value,Loyal,Digital First,High,64.91,5,True
CUST000072,2018-07-04,1988,38,36-45,Female,Region-10,Region-10-City-1,BR010,Retired,Professional,<15K,1800.0,Master,Married,Individual,CH10,False,2018-07-04,6.49,Low,False,False,False,False,Active,False,Critical,0,0.38,293.46,3,2,2,322,Potential Loyalist,46.7,Affluent,Established,Branch Dependent,Low,-117.14,4,True
CUST000073,2019-03-28,1965,61,56-65,Female,Region-07,Region-07-City-2,BR003,Employed,Clerical,<15K,7100.0,Bachelor,Married,Individual,CH05,False,2019-03-28,5.76,High,True,True,False,True,Active,False,Low,0,0.12,1121.29,3,1,4,314,Potential Loyalist,53.3,Affluent,Established,Digital First,High,111.75,4,True
CUST000074,2019-06-22,1992,34,26-35,Male,Region-08,Region-08-City-1,BR005,Retired,Professional,<15K,1600.0,Master,Married,Individual,CH12,False,2019-06-22,5.53,High,True,True,False,False,Active,False,Low,0,0.42,165.04,3,2,1,321,Potential Loyalist,40.0,Mass Affluent,Established,Digital First,High,12.48,3,True
CUST000075,2024-06-19,1978,48,46-55,Female,Region-09,Region-09-City-1,BR019,Retired,Professional,<15K,3000.0,High School,Married,Individual,CH02,True,2024-06-19,0.53,High,True,True,False,False,Active,False,High,0,2.29,590.63,3,5,3,353,Potential Loyalist,73.3,High Value,Growing,Digital First,High,-31.2,3,True
CUST000076,2019-08-04,1954,72,66+,Female,Region-11,Region-11-City-1,BR003,Retired,Clerical,<15K,1600.0,Master,Married,Individual,CH12,False,2019-08-04,5.41,Medium,False,True,False,False,Active,False,Moderate,0,2.08,212.06,3,5,1,351,Potential Loyalist,60.0,Affluent,Loyal,Transaction Heavy,Medium,33.53,3,True
CUST000077,2016-03-04,2002,24,18-25,Female,Region-01,Region-01-City-1,BR009,Employed,Manual Labor,<15K,4400.0,Bachelor,Married,Individual,CH03,False,2016-03-04,8.83,High,True,True,False,True,Churned,True,High,16,0.46,218.07,1,2,1,121,Lost,26.7,Mass Affluent,Churned,Digital First,High,-46.18,1,False
CUST000078,2024-10-06,2004,22,18-25,Male,Region-06,Region-06-City-3,BR004,Employed,Public Sector,<15K,1900.0,High School,Married,Small Business,CH05,False,2024-10-06,0.24,High,True,True,False,False,Churned,True,Elevated,11,0.04,204.07,1,1,1,111,Lost,20.0,Mass,Churned,Digital First,High,-18.97,7,True
CUST000079,2020-09-27,1997,29,26-35,Female,Region-03,Region-03-City-2,BR005,Student,Manager,<15K,1200.0,Bachelor,Married,Individual,CH11,True,2020-09-27,4.26,High,True,True,False,False,Active,False,Moderate,0,0.92,95.13,3,3,1,331,Potential Loyalist,46.7,Affluent,Established,Digital First,High,10.23,4,True
CUST000080,2020-07-06,1976,50,46-55,Female,Region-09,Region-09-City-2,BR021,Employed,Clerical,<15K,2700.0,High School,Married,Individual,CH08,False,2020-07-06,4.49,High,True,True,False,True,Active,False,Low,0,0.75,912.45,3,2,3,323,Potential Loyalist,53.3,Affluent,Established,Digital First,High,79.7,3,True
