interaction_id,customer_id,interaction_date,interaction_type,channel,resolution_time_hours,satisfaction_score,repeat_contact_flag
INT000132,CUST017900,2023-08-02,Support Call,Chat,11.2,4.3,False
INT000133,CUST001416,2024-01-23,Email Inquiry,Phone,13.1,4.8,False
INT000134,CUST005890,2023-09-28,Branch Visit,Chat,9.5,4.6,False
INT000135,CUST005108,2024-06-12,Complaint,Chat,7.0,4.0,False
INT000136,CUST003769,2024-07-13,Branch Visit,Branch,7.8,2.2,True
INT000137,CUST015278,2024-03-10,Support Call,Mobile App,7.7,3.4,False
INT000138,CUST013903,2024-09-27,Complaint,Branch,4.5,3.6,False
INT000139,CUST001787,2023-05-25,Chat,Email,19.2,4.1,False
INT000140,CUST005666,2024-04-15,Chat,Branch,7.9,3.3,True
INT000141,CUST006547,2024-04-26,Support Call,Mobile App,12.2,2.9,False
INT000142,CUST009151,2023-09-19,Chat,Chat,14.9,3.9,False
INT000143,CUST000979,2023-01-16,Chat,Mobile App,4.5,4.4,False
INT000144,CUST001119,2024-08-10,Support Call,Email,7.0,3.3,False
INT000145,CUST004241,2024-04-30,Email Inquiry,Branch,8.8,3.9,False
INT000146,CUST006898,2024-10-05,Branch Visit,Phone,1.8,5.0,False
INT000147,CUST015680,2023-09-03,Chat,Branch,22.2,4.4,False
INT000148,CUST001656,2023-11-15,Branch Visit,Branch,24.3,2.5,False
INT000149,CUST016478,2024-03-25,Support Call,Mobile App,9.5,3.9,False
INT000150,CUST014788,2023-06-13,Support Call,Chat,10.9,3.7,False
INT000151,CUST006847,2024-12-06,Chat,Phone,22.7,2.4,False
INT000152,CUST019766,2024-11-07,Branch Visit,Branch,9.7,1.8,False
INT000153,CUST015269,2024-02-02,Branch Visit,Email,5.1,3.1,False
INT000154,CUST003643,2024-12-12,Branch Visit,Branch,5.2,3.5,False
INT000155,CUST002605,2023-10-08,Chat,Email,15.7,4.2,False
INT000156,CUST010792,2023-10-12,Email Inquiry,Phone,21.2,4.4,False
INT000157,CUST011998,2024-03-26,Branch Visit,Chat,6.1,3.4,False
INT000158,CUST009175,2024-04-28,Chat,Branch,7.5,3.9,True
INT000159,CUST000036,2023-12-06,Support Call,Branch,0.8,4.2,False
INT000160,CUST019996,2023-03-21,Support Call,Mobile App,6.3,3.4,False
INT000161,CUST016463,2023-03-13,Email Inquiry,Mobile App,30.0,4.3,False
INT000162,CUST018799,2023-10-27,Chat,Chat,10.5,2.1,False
INT000163,CUST013572,2024-07-27,Branch Visit,Mobile App,18.8,3.4,False
INT000164,CUST000801,2023-12-13,Email Inquiry,Branch,8.9,4.9,False
INT000165,CUST007175,2024-04-20,Support Call,Phone,6.4,3.7,False
INT000166,CUST002912,2024-01-06,Chat,Mobile App,11.1,3.1,False
INT000167,CUST011637,2024-06-28,Support Call,Chat,6.3,3.8,True
INT000168,CUST001185,2024-08-20,Email Inquiry,Email,7.3,3.8,False
INT000169,CUST007077,2023-04-18,Support Call,Chat,17.6,4.3,False
INT000170,CUST010950,2023-06-05,Branch Visit,Mobile App,31.1,3.7,False
INT000171,CUST010901,2023-12-03,Chat,Mobile App,10.1,3.8,False
INT000172,CUST002032,2023-05-01,Complaint,Phone,3.1,2.6,False
INT000173,CUST012837,2024-11-22,Support Call,Email,3.0,5.0,False
INT000174,CUST013249,2023-05-24,Email Inquiry,Chat,26.8,3.6,False
INT000175,CUST006346,2023-01-04,Support Call,Phone,1.2,2.3,False
INT000176,CUST008452,2024-01-03,Branch Visit,Email,31.5,3.6,False
INT000177,CUST018551,2023-01-14,Support Call,Branch,2.7,3.1,False
INT000178,CUST013896,2023-06-28,Branch Visit,Mobile App,12.9,4.1,False
INT000179,CUST010529,2023-06-02,Email Inquiry,Branch,5.2,2.0,False
INT000180,CUST009641,2024-03-18,Email Inquiry,Mobile App,10.7,3.5,False
INT000181,CUST015677,2023-06-20,Support Call,Mobile App,10.6,4.4,False
INT000182,CUST013557,2024-12-20,Chat,Mobile App,7.6,4.0,False
INT000183,CUST000772,2023-11-30,Complaint,Branch,4.8,3.2,False
INT000184,CUST010609,2024-02-10,Chat,Mobile App,5.8,3.9,False
INT000185,CUST000883,2024-09-05,Support Call,Phone,7.3,4.1,True
INT000186,CUST010514,2024-03-21,Chat,Chat,3.7,1.9,False
INT000187,CUST018081,2024-07-29,Chat,Mobile App,18.2,1.8,False
INT000188,CUST015788,2023-11-27,Email Inquiry,Mobile App,17.6,3.8,False
INT000189,CUST019608,2024-12-22,Support Call,Email,2.5,2.7,False
INT000190,CUST003847,2024-04-03,Support Call,Mobile App,11.0,3.7,False
INT000191,CUST011640,2024-02-25,Support Call,Branch,1.9,4.0,False
INT000192,CUST001432,2023-08-03,Branch Visit,Phone,7.7,2.9,False
INT000193,CUST000963,2023-07-23,Branch Visit,Chat,14.6,3.1,False
INT000194,CUST002846,2024-08-09,Branch Visit,Email,18.1,3.8,False
INT000195,CUST001640,2024-04-27,Branch Visit,Email,1.7,3.6,False
INT000196,CUST003001,2024-10-29,Support Call,Chat,2.4,3.2,False
INT000197,CUST008609,2024-05-21,Email Inquiry,Branch,4.3,4.8,False
INT000198,CUST009914,2023-04-16,Support Call,Email,13.9,3.4,False
INT000199,CUST010875,2023-09-29,Support Call,Phone,2.6,4.1,False
INT000200,CUST015019,2023-02-02,Complaint,Branch,15.0,3.7,False
INT000201,CUST013579,2023-08-25,Chat,Email,29.9,3.5,False
INT000202,CUST017066,2023-02-21,Branch Visit,Branch,30.2,2.7,False
INT000203,CUST017029,2024-05-23,Support Call,Email,7.2,3.9,False
INT000204,CUST002688,2024-07-10,Support Call,Branch,27.0,3.2,False
INT000205,CUST012445,2024-06-09,Chat,Phone,6.0,5.0,False
INT000206,CUST019879,2024-11-27,Support Call,Chat,9.9,3.2,False
INT000207,CUST001157,2023-10-01,Complaint,Branch,14.8,3.4,False
INT000208,CUST013227,2023-04-27,Chat,Email,8.6,4.2,False
INT000209,CUST019447,2023-03-08,Chat,Branch,26.5,4.3,False
INT000210,CUST005321,2024-12-06,Chat,Email,8.6,2.2,False
INT000211,CUST015448,2024-07-26,Chat,Email,10.0,4.6,False
INT000212,CUST019413,2023-08-16,Branch Visit,Email,15.9,3.6,True
INT000213,CUST007424,2024-02-24,Email Inquiry,Mobile App,9.5,4.3,False
INT000214,CUST016929,2023-04-21,Support Call,Phone,11.9,4.4,False
INT000215,CUST009254,2023-05-14,Complaint,Email,15.6,4.4,False
INT000216,CUST006256,2023-07-19,Support Call,Branch,13.9,3.3,False
INT000217,CUST013468,2023-02-05,Support Call,Branch,15.9,4.1,False
INT000218,CUST016010,2024-02-14,Chat,Mobile App,9.0,3.4,False
INT000219,CUST012058,2023-09-26,Complaint,Chat,0.5,3.4,False
INT000220,CUST003134,2024-03-02,Support Call,Chat,4.8,3.4,False
INT000221,CUST002028,2024-05-15,Support Call,Chat,30.9,3.1,False
INT000222,CUST017249,2023-03-28,Branch Visit,Branch,13.3,3.6,False
INT000223,CUST009702,2023-02-08,Chat,Email,1.7,2.0,False
INT000224,CUST009148,2023-10-17,Branch Visit,Email,7.9,2.1,False
INT000225,CUST012515,2023-07-16,Chat,Chat,38.3,3.9,False
INT000226,CUST004054,2023-10-11,Chat,Email,3.3,2.4,True
INT000227,CUST004026,2024-04-06,Support Call,Email,16.0,4.1,False
INT000228,CUST001256,2024-05-28,Complaint,Mobile App,22.7,3.3,False
INT000229,CUST015021,2024-07-11,Complaint,Phone,21.0,3.0,False
INT000230,CUST015351,2024-07-12,Support Call,Mobile App,1.1,4.1,True
INT000231,CUST006523,2023-05-09,Support Call,Chat,1.6,4.7,False
INT000232,CUST017536,2023-05-23,Support Call,Mobile App,7.7,3.8,False
INT000233,CUST010663,2023-01-07,Branch Visit,Chat,7.8,2.8,False
INT000234,CUST001698,2023-03-20,Complaint,Branch,5.7,3.7,True
INT000235,CUST004060,2023-01-30,Branch Visit,Phone,15.7,3.3,False
INT000236,CUST004473,2023-08-16,Branch Visit,Email,3.9,2.2,False
INT000237,CUST006719,2024-12-01,Chat,Mobile App,4.3,2.8,False
INT000238,CUST015947,2023-08-14,Branch Visit,Phone,9.2,3.7,False
INT000239,CUST004114,2024-12-30,Chat,Chat,20.0,3.8,False
INT000240,CUST009178,2024-11-28,Branch Visit,Phone,3.8,5.0,True
INT000241,CUST006650,2024-04-08,Branch Visit,Email,1.0,3.5,False
INT000242,CUST015504,2024-08-24,Branch Visit,Mobile App,21.0,2.8,False
INT000243,CUST016338,2023-09-05,Support Call,Chat,3.1,3.3,False
INT000244,CUST002106,2024-01-16,Support Call,Branch,16.0,3.4,False
INT000245,CUST005894,2023-07-02,Email Inquiry,Mobile App,24.7,2.5,False
INT000246,CUST002998,2024-01-31,Branch Visit,Email,6.4,2.6,False
INT000247,CUST004890,2024-11-01,Chat,Phone,4.0,3.6,False
INT000248,CUST002214,2024-09-19,Complaint,Email,10.3,3.8,False
INT000249,CUST014086,2023-03-12,Email Inquiry,Email,19.9,3.3,False
INT000250,CUST016902,2023-06-20,Branch Visit,Chat,6.2,1.9,False
INT000251,CUST011798,2023-12-14,Chat,Phone,6.9,4.6,False
INT000252,CUST019276,2024-09-11,Chat,Chat,8.5,4.3,False
INT000253,CUST019093,2024-03-26,Branch Visit,Phone,2.2,1.7,True
INT000254,CUST010219,2023-05-08,Support Call,Phone,3.2,2.4,False
INT000255,CUST004568,2023-01-26,Support Call,Phone,25.0,5.0,False
INT000256,CUST011583,2024-06-23,Branch Visit,Mobile App,12.6,2.3,True
INT000257,CUST008004,2024-11-09,Complaint,Email,11.1,3.1,False
INT000258,CUST008193,2024-06-04,Chat,Email,7.4,4.4,True
INT000259,CUST001812,2024-01-21,Chat,Branch,1.9,4.6,True
INT000260,CUST000405,2023-05-30,Chat,Phone,14.9,1.8,False
INT000261,CUST004510,2023-01-02,Complaint,Mobile App,0.8,3.4,True
INT000262,CUST008337,2023-02-19,Email Inquiry,Branch,23.4,4.0,False
INT000263,CUST002874,2023-06-16,Branch Visit,Phone,18.7,4.2,False
INT000264,CUST004500,2024-02-29,Support Call,Phone,14.5,3.6,False
INT000265,CUST007165,2024-07-23,Support Call,Phone,13.9,4.3,False
INT000266,CUST003089,2023-06-18,Branch Visit,Email,17.8,4.1,False
INT000267,CUST007398,2023-07-30,Branch Visit,Chat,10.5,4.2,False
INT000268,CUST007252,2023-12-08,Branch Visit,Chat,12.2,3.5,False
INT000269,CUST005570,2024-05-13,Chat,Email,17.7,2.5,True
INT000270,CUST000499,2024-10-28,Support Call,Phone,10.5,2.8,True
INT000271,CUST009608,2023-01-04,Support Call,Branch,10.7,2.5,True
INT000272,CUST000027,2024-03-12,Complaint,Phone,8.3,3.4,False
INT000273,CUST013149,2024-10-03,Branch Visit,Branch,6.9,3.5,False
INT000274,CUST005170,2024-04-10,Branch Visit,Chat,29.8,2.8,False
INT000275,CUST019265,2023-02-04,Support Call,Chat,14.2,4.7,False
INT000276,CUST002175,2024-01-03,Branch Visit,Mobile App,2.8,3.8,False
INT000277,CUST016365,2023-07-30,Support Call,Mobile App,1.3,2.2,False
INT000278,CUST008631,2024-03-04,Complaint,Mobile App,5.8,3.2,True
INT000279,CUST006171,2024-11-18,Chat,Mobile App,0.9,3.9,False
INT000280,CUST012635,2023-01-01,Branch Visit,Phone,4.3,5.0,True
INT000281,CUST014480,2024-05-13,Branch Visit,Chat,3.8,3.3,False
INT000282,CUST002802,2023-10-27,Chat,Email,21.4,4.2,True
INT000283,CUST018755,2024-10-14,Support Call,Phone,10.3,5.0,False
INT000284,CUST014472,2023-11-24,Chat,Mobile App,15.1,3.5,False
INT000285,CUST012085,2024-07-12,Chat,Phone,14.2,3.6,False
INT000286,CUST009905,2023-05-03,Chat,Phone,13.8,4.6,False
INT000287,CUST003217,2023-12-07,Branch Visit,Chat,2.7,2.9,False
INT000288,CUST005746,2023-02-20,Complaint,Mobile App,24.6,2.1,False
INT000289,CUST000334,2024-06-06,Branch Visit,Mobile App,22.2,2.6,False
INT000290,CUST001730,2023-10-13,Support Call,Phone,12.9,3.4,False
INT000291,CUST007216,2024-07-11,Complaint,Phone,2.1,1.1,False
INT000292,CUST015197,2024-07-23,Branch Visit,Mobile App,17.9,3.9,False
INT000293,CUST014035,2023-04-21,Email Inquiry,Mobile App,13.2,4.3,False
INT000294,CUST007662,2024-06-12,Complaint,Email,2.9,4.5,False
INT000295,CUST015161,2024-11-21,Complaint,Phone,38.7,5.0,False
INT000296,CUST008888,2024-01-20,Support Call,Phone,3.0,4.3,False
INT000297,CUST000380,2024-05-17,Support Call,Mobile App,11.0,4.0,False
INT000298,CUST017345,2023-07-27,Support Call,Branch,4.5,2.9,False
INT000299,CUST014046,2023-11-15,Branch Visit,Chat,1.0,3.3,False
INT000300,CUST001629,2024-03-14,Chat,Branch,10.0,4.2,False
INT000301,CUST000686,2023-10-09,Branch Visit,Email,1.5,4.0,False
INT000302,CUST001277,2024-05-06,Chat,Chat,24.5,4.0,False
INT000303,CUST005584,2024-12-09,Email Inquiry,Phone,4.5,3.6,False
INT000304,CUST008339,2023-12-26,Chat,Mobile App,13.1,2.9,False
INT000305,CUST004522,2023-06-20,Chat,Chat,2.8,3.9,False
INT000306,CUST011945,2023-07-21,Branch Visit,Phone,10.3,4.6,False
INT000307,CUST018956,2023-05-01,Support Call,Email,11.7,3.5,False
INT000308,CUST006706,2023-06-17,Complaint,Branch,1.5,5.0,False
INT000309,CUST007807,2024-10-16,Chat,Phone,7.4,4.2,False
INT000310,CUST014675,2024-04-01,Email Inquiry,Mobile App,5.4,3.8,False
INT000311,CUST018835,2024-06-21,Email Inquiry,Email,12.2,3.5,True
INT000312,CUST008461,2024-01-18,Email Inquiry,Phone,1.4,5.0,False
INT000313,CUST005682,2023-06-07,Chat,Mobile App,15.2,3.4,False
INT000314,CUST012738,2024-05-16,Support Call,Branch,10.1,3.9,False
INT000315,CUST016750,2024-09-21,Complaint,Branch,8.6,4.0,False
INT000316,CUST001561,2023-12-13,Chat,Branch,5.6,3.5,False
INT000317,CUST003109,2024-03-16,Complaint,Phone,7.6,5.0,False
INT000318,CUST000746,2023-07-31,Branch Visit,Branch,16.4,4.9,False
INT000319,CUST016622,2024-03-14,Branch Visit,Chat,23.5,2.8,False
INT000320,CUST011759,2024-03-21,Chat,Chat,16.6,3.2,False
INT000321,CUST013193,2024-06-28,Support Call,Phone,8.7,4.9,False
INT000322,CUST000935,2023-09-09,Support Call,Phone,20.7,4.0,False
INT000323,CUST004816,2024-01-30,Complaint,Email,2.6,2.0,False
INT000324,CUST018840,2023-11-17,Branch Visit,Email,7.5,2.0,True
INT000325,CUST017923,2024-02-20,Complaint,Chat,15.7,4.2,True
INT000326,CUST013759,2023-04-05,Chat,Branch,11.9,4.0,False
INT000327,CUST003185,2024-03-14,Chat,Email,11.2,3.4,True
INT000328,CUST007947,2024-05-28,Chat,Phone,26.7,4.3,False
INT000329,CUST019239,2023-07-24,Chat,Mobile App,10.0,2.4,False
INT000330,CUST002902,2024-01-03,Branch Visit,Email,6.8,3.8,False
INT000331,CUST019236,2024-01-04,Chat,Mobile App,13.6,3.5,False
INT000332,CUST012716,2023-01-03,Chat,Branch,11.0,4.6,False
INT000333,CUST016161,2023-07-28,Complaint,Mobile App,2.8,4.0,False
INT000334,CUST016945,2024-11-28,Complaint,Email,7.1,3.0,True
INT000335,CUST013481,2023-04-01,Support Call,Chat,1.0,3.3,False
INT000336,CUST010848,2023-03-04,Chat,Phone,6.5,3.8,False
INT000337,CUST012613,2024-03-19,Email Inquiry,Email,10.3,4.7,False
INT000338,CUST010057,2023-12-13,Chat,Phone,13.8,2.6,False
INT000339,CUST005062,2023-07-03,Support Call,Mobile App,25.1,1.6,False
INT000340,CUST010848,2024-04-12,Support Call,Email,4.3,1.9,False
INT000341,CUST000602,2023-02-09,Branch Visit,Chat,7.6,4.5,False
INT000342,CUST014933,2024-01-28,Chat,Chat,4.1,3.5,False
INT000343,CUST005302,2023-02-12,Branch Visit,Branch,17.2,4.7,False
INT000344,CUST019242,2024-02-19,Email Inquiry,Mobile App,14.0,4.4,False
INT000345,CUST017068,2023-06-16,Complaint,Email,24.7,2.2,False
INT000346,CUST011622,2023-03-01,Chat,Phone,21.3,3.0,False
INT000347,CUST000445,2024-03-06,Complaint,Phone,14.8,3.2,False
INT000348,CUST004821,2023-11-22,Support Call,Email,15.3,3.9,False
INT000349,CUST000561,2023-03-05,Support Call,Email,2.7,3.7,False
INT000350,CUST016130,2023-06-03,Support Call,Mobile App,20.3,3.9,True
INT000351,CUST019367,2023-11-20,Chat,Mobile App,22.6,3.3,False
INT000352,CUST006269,2024-02-12,Support Call,Email,7.4,4.4,False
INT000353,CUST001005,2023-12-16,Support Call,Email,4.4,3.4,False
INT000354,CUST019295,2023-05-18,Branch Visit,Phone,13.2,4.2,False
INT000355,CUST016511,2023-06-11,Complaint,Branch,9.7,3.4,False
INT000356,CUST011461,2024-10-29,Support Call,Chat,3.5,4.7,False
INT000357,CUST007128,2024-11-04,Branch Visit,Chat,16.2,5.0,False
INT000358,CUST000065,2024-10-19,Support Call,Chat,4.0,4.9,False
INT000359,CUST002740,2024-08-03,Chat,Branch,2.1,4.4,True
INT000360,CUST012559,2023-02-14,Support Call,Email,18.7,3.0,False
INT000361,CUST003001,2023-02-10,Chat,Chat,19.0,3.3,False
INT000362,CUST004309,2024-10-16,Chat,Email,10.1,3.6,True
INT000363,CUST009574,2024-02-23,Chat,Chat,6.4,4.1,False
INT000364,CUST001082,2024-01-29,Support Call,Branch,14.5,3.2,False
INT000365,CUST007533,2023-07-04,Chat,Branch,5.2,4.2,False
INT000366,CUST002221,2024-04-14,Support Call,Email,13.2,3.1,False
INT000367,CUST014792,2023-01-31,Branch Visit,Phone,10.6,3.8,False
INT000368,CUST001906,2024-10-29,Chat,Email,26.4,1.8,False
