month,total_balance,total_fee_income,total_interest_income_deposits,active_customers,total_transactions,loan_interest_income,deposit_interest_expense,net_interest_income,fee_income,card_revenue,other_operating_income,total_revenue,credit_loss,personnel_cost,branch_cost,technology_cost,marketing_cost,operations_cost,other_operating_costs,total_operating_cost,pre_provision_profit,operating_profit,profit_after_credit_costs,profit_margin,return_on_assets,return_on_equity,cost_to_income_ratio,net_interest_margin
2023-11,22482493.762311876,7700.44,187354.37,19090,20558,464014.47,37470.82,613898.02,7700.44,35190.44,24555.92,681344.82,70141.01,355434.26,106056.23,34067.24,42437.61,40880.69,13626.9,592502.93,88841.89,88841.89,18700.88,0.0274,0.0022,0.0221,0.8696,0.0725
2023-12,22982871.04358625,7834.48,191523.48,18917,20874,469888.07,38304.79,623106.76,7834.48,35635.89,24924.27,691501.4,69300.74,350596.73,107293.98,34575.07,39916.11,41490.08,13830.03,587702.0,103799.4,103799.4,34498.66,0.0499,0.0041,0.0406,0.8499,0.0733
2024-01,23614271.710642975,8086.52,196785.64,18768,21525,475761.67,39357.12,633190.19,8086.52,36081.34,25327.61,702685.66,65906.18,354563.62,106858.34,35134.28,39356.14,42161.14,14053.71,592127.23,110558.43,110558.43,44652.25,0.0635,0.0052,0.0522,0.8427,0.074
2024-02,24127518.30924668,8020.59,201062.95,18586,21392,481635.27,40212.53,642485.69,8020.59,36526.79,25699.43,712732.5,72968.01,344816.14,107916.4,35636.62,35082.74,42763.95,14254.65,580470.5,132262.0,132262.0,59293.99,0.0832,0.0069,0.0689,0.8144,0.0747
2024-03,24439182.39775041,8191.23,203659.49,18407,21753,487508.87,40731.97,650436.39,8191.23,36972.23,26017.46,721617.31,71485.59,341964.42,104277.94,36080.87,37709.66,43297.04,14432.35,577762.28,143855.03,143855.03,72369.44,0.1003,0.0084,0.0839,0.8006,0.0754
2024-04,24369563.631360985,7959.99,203079.72,18244,21319,493382.48,40615.94,655846.26,7959.99,37417.68,26233.85,727457.78,65167.47,353898.81,107666.1,36372.89,42578.7,43647.47,14549.16,598713.13,128744.65,128744.65,63577.18,0.0874,0.0074,0.0737,0.823,0.0761
2024-05,24008775.516923703,7789.39,200073.3,18065,20946,499256.08,40014.63,659314.75,7789.39,37863.13,26372.59,731339.86,69320.77,340386.83,107683.82,36566.99,40558.27,43880.39,14626.8,583703.1,147636.76,147636.76,78315.99,0.1071,0.0091,0.0912,0.7981,0.0767
2024-06,23427572.37940433,7601.11,195228.78,17876,20265,505129.68,39045.95,661312.51,7601.11,38308.58,26452.5,733674.7,70160.55,341701.79,102651.8,36683.74,44718.43,44020.48,14673.49,584449.73,149224.97,149224.97,79064.42,0.1078,0.0093,0.0926,0.7966,0.0774
2024-07,22811230.24974696,7233.25,190092.89,17677,19379,511003.28,38018.72,663077.45,7233.25,38754.03,26523.1,735587.83,75820.84,355695.7,107230.63,36779.39,34171.18,44135.27,14711.76,592723.93,142863.9,142863.9,67043.06,0.0911,0.0079,0.079,0.8058,0.0781
2024-08,22366029.068878125,7037.46,186383.36,17513,18634,516876.88,37276.72,665983.52,7037.46,39199.48,26639.34,738859.8,78459.88,360585.36,105230.3,36942.99,48942.02,44331.59,14777.2,610809.46,128050.34,128050.34,49590.46,0.0671,0.0059,0.0587,0.8267,0.0788
2024-09,22227804.405092314,6928.25,185231.66,17350,18480,522750.48,37046.34,670935.8,6928.25,39644.93,26837.43,744346.41,65440.66,357866.51,103855.92,37217.32,43369.76,44660.78,14886.93,601857.22,142489.19,142489.19,77048.53,0.1035,0.0091,0.0913,0.8086,0.0795
2024-10,22475517.43373863,6805.51,187296.3,17156,18053,528624.08,37459.2,678461.18,6805.51,40090.37,27138.45,752495.51,67497.76,340143.42,102680.88,37624.78,41251.59,45149.73,15049.91,581900.31,170595.2,170595.2,103097.44,0.137,0.0122,0.1218,0.7733,0.0802
2024-11,23125925.033051353,7086.42,192715.86,16985,18755,534497.68,38543.21,688670.33,7086.42,40535.82,27546.81,763839.38,73571.29,355232.26,106618.75,38191.97,41612.77,45830.36,15276.79,602762.9,161076.48,161076.48,87505.19,0.1146,0.0103,0.1027,0.7891,0.0809
2024-12,23964699.00783761,7194.34,199705.98,16804,19175,540371.28,39941.17,700136.09,7194.34,40981.27,28005.44,776317.14,77474.34,344221.39,105503.77,38815.86,40387.07,46579.03,15526.34,591033.46,185283.68,185283.68,107809.34,0.1389,0.0126,0.1256,0.7613,0.0815
