response_id,campaign_id,customer_id,response_date,responded_flag,converted_flag,revenue_generated
RESP000051,CMP015,CUST007271,2023-12-07,True,False,0.0
RESP000052,CMP020,CUST017725,2023-06-16,True,False,0.0
RESP000053,CMP022,CUST002125,2023-12-31,True,False,0.0
RESP000054,CMP020,CUST012228,2024-06-13,True,False,0.0
RESP000055,CMP020,CUST007725,2023-02-04,True,False,0.0
RESP000056,CMP014,CUST005910,2023-11-18,True,False,0.0
RESP000057,CMP002,CUST008413,2023-07-21,True,False,0.0
RESP000058,CMP012,CUST012200,2024-04-15,True,True,115.21
RESP000059,CMP005,CUST016899,2023-09-08,True,True,219.06
RESP000060,CMP010,CUST013102,2024-01-29,True,False,0.0
RESP000061,CMP010,CUST010299,2023-04-23,True,False,0.0
RESP000062,CMP010,CUST004114,2023-04-16,True,False,0.0
RESP000063,CMP018,CUST018773,2023-07-28,True,False,0.0
RESP000064,CMP022,CUST012805,2024-12-21,True,False,0.0
RESP000065,CMP020,CUST005273,2024-04-28,True,True,99.65
RESP000066,CMP021,CUST013410,2024-02-19,True,False,0.0
RESP000067,CMP021,CUST016170,2024-08-16,True,False,0.0
RESP000068,CMP024,CUST014985,2024-05-14,True,False,0.0
RESP000069,CMP008,CUST000702,2024-09-07,True,False,0.0
RESP000070,CMP022,CUST019804,2024-08-10,True,False,0.0
RESP000071,CMP016,CUST000040,2023-01-06,True,False,0.0
RESP000072,CMP005,CUST007656,2023-12-26,True,False,0.0
RESP000073,CMP002,CUST002259,2024-08-16,True,False,0.0
RESP000074,CMP015,CUST015722,2023-01-15,True,True,183.51
RESP000075,CMP015,CUST010791,2023-12-18,True,False,0.0
RESP000076,CMP020,CUST017038,2024-06-01,True,False,0.0
RESP000077,CMP020,CUST003973,2024-03-13,True,False,0.0
RESP000078,CMP010,CUST008210,2023-06-08,True,True,61.86
RESP000079,CMP001,CUST004446,2023-05-04,True,False,0.0
RESP000080,CMP006,CUST003053,2024-10-16,True,False,0.0
RESP000081,CMP012,CUST011129,2024-02-12,True,False,0.0
RESP000082,CMP020,CUST016394,2023-07-19,True,False,0.0
RESP000083,CMP013,CUST015564,2023-01-28,True,True,3.02
RESP000084,CMP001,CUST015388,2024-03-24,True,False,0.0
RESP000085,CMP019,CUST009578,2024-09-13,True,False,0.0
RESP000086,CMP011,CUST019270,2024-03-08,True,False,0.0
RESP000087,CMP011,CUST003878,2023-06-22,True,False,0.0
RESP000088,CMP005,CUST015169,2024-01-17,True,False,0.0
RESP000089,CMP008,CUST014259,2023-05-15,True,False,0.0
RESP000090,CMP014,CUST017986,2024-04-26,True,False,0.0
RESP000091,CMP022,CUST000733,2023-03-04,True,False,0.0
RESP000092,CMP001,CUST008099,2023-07-10,True,False,0.0
RESP000093,CMP011,CUST019142,2024-11-14,True,False,0.0
RESP000094,CMP020,CUST012790,2023-07-27,True,False,0.0
RESP000095,CMP014,CUST013440,2024-09-17,True,True,104.3
RESP000096,CMP001,CUST003956,2024-11-18,True,False,0.0
RESP000097,CMP005,CUST010209,2023-12-21,True,False,0.0
RESP000098,CMP002,CUST015760,2023-03-23,True,False,0.0
RESP000099,CMP011,CUST014655,2024-02-28,True,False,0.0
RESP000100,CMP023,CUST000364,2024-04-21,True,False,0.0
RESP000101,CMP023,CUST015926,2024-10-03,True,False,0.0
RESP000102,CMP012,CUST003355,2023-11-21,True,False,0.0
RESP000103,CMP007,CUST004121,2023-11-30,True,False,0.0
RESP000104,CMP011,CUST000738,2023-08-08,True,False,0.0
RESP000105,CMP005,CUST018602,2024-08-11,True,False,0.0
RESP000106,CMP003,CUST005442,2024-05-26,True,False,0.0
RESP000107,CMP007,CUST012298,2024-01-12,True,False,0.0
RESP000108,CMP011,CUST014168,2024-10-10,True,False,0.0
RESP000109,CMP010,CUST015758,2024-04-04,True,False,0.0
RESP000110,CMP017,CUST012125,2023-12-16,True,False,0.0
RESP000111,CMP011,CUST001818,2024-09-02,True,False,0.0
RESP000112,CMP009,CUST002349,2024-03-23,True,False,0.0
RESP000113,CMP005,CUST003448,2023-08-20,True,False,0.0
RESP000114,CMP021,CUST018210,2024-06-11,True,True,258.44
RESP000115,CMP020,CUST013010,2023-09-22,True,False,0.0
RESP000116,CMP016,CUST007911,2024-06-07,True,False,0.0
RESP000117,CMP013,CUST006914,2023-03-07,True,False,0.0
RESP000118,CMP023,CUST019799,2024-01-16,True,False,0.0
RESP000119,CMP014,CUST010323,2024-02-18,True,False,0.0
RESP000120,CMP020,CUST005293,2024-08-30,True,False,0.0
RESP000121,CMP015,CUST010562,2024-09-28,True,False,0.0
RESP000122,CMP005,CUST002757,2023-08-20,True,False,0.0
RESP000123,CMP012,CUST002758,2024-11-25,True,False,0.0
RESP000124,CMP018,CUST008717,2024-11-14,True,False,0.0
RESP000125,CMP002,CUST008429,2024-08-29,True,False,0.0
RESP000126,CMP006,CUST014199,2023-04-10,True,False,0.0
RESP000127,CMP024,CUST017731,2023-10-25,True,False,0.0
RESP000128,CMP002,CUST001638,2023-07-18,True,False,0.0
RESP000129,CMP010,CUST019686,2023-04-23,True,False,0.0
RESP000130,CMP002,CUST017941,2024-05-28,True,False,0.0
RESP000131,CMP007,CUST015770,2023-10-09,True,False,0.0
RESP000132,CMP014,CUST004722,2024-04-21,True,False,0.0
RESP000133,CMP006,CUST002713,2023-05-18,True,False,0.0
RESP000134,CMP009,CUST017707,2024-07-11,True,False,0.0
RESP000135,CMP005,CUST018368,2023-11-12,True,False,0.0
RESP000136,CMP007,CUST001080,2023-11-01,True,True,311.14
RESP000137,CMP009,CUST015726,2023-08-21,True,False,0.0
RESP000138,CMP015,CUST005002,2024-09-27,True,False,0.0
RESP000139,CMP008,CUST001022,2023-06-22,True,True,95.26
RESP000140,CMP009,CUST004603,2023-01-10,True,False,0.0
RESP000141,CMP022,CUST003639,2024-06-05,True,False,0.0
RESP000142,CMP009,CUST008282,2023-10-31,True,False,0.0
RESP000143,CMP007,CUST005934,2023-11-16,True,False,0.0
RESP000144,CMP017,CUST002160,2024-09-07,True,False,0.0
RESP000145,CMP006,CUST007884,2023-10-08,True,False,0.0
RESP000146,CMP018,CUST006497,2024-01-08,True,True,344.93
RESP000147,CMP024,CUST017009,2024-12-12,True,False,0.0
RESP000148,CMP013,CUST013991,2023-04-13,True,True,140.84
RESP000149,CMP021,CUST004686,2024-05-22,True,False,0.0
RESP000150,CMP021,CUST002908,2024-01-25,True,False,0.0
RESP000151,CMP010,CUST000004,2024-06-18,True,False,0.0
RESP000152,CMP003,CUST017739,2024-02-15,True,True,13.49
RESP000153,CMP010,CUST004961,2024-03-28,True,False,0.0
RESP000154,CMP024,CUST010403,2024-11-11,True,False,0.0
RESP000155,CMP019,CUST006186,2024-10-09,True,False,0.0
RESP000156,CMP007,CUST008229,2023-05-11,True,False,0.0
RESP000157,CMP009,CUST000885,2024-06-11,True,True,90.57
RESP000158,CMP009,CUST010712,2024-01-16,True,False,0.0
RESP000159,CMP014,CUST001669,2023-08-10,True,False,0.0
RESP000160,CMP011,CUST009730,2024-08-25,True,False,0.0
RESP000161,CMP014,CUST007929,2024-06-11,True,True,85.14
RESP000162,CMP019,CUST012306,2024-11-09,True,False,0.0
RESP000163,CMP007,CUST016673,2024-12-08,True,False,0.0
RESP000164,CMP020,CUST008062,2023-02-19,True,False,0.0
RESP000165,CMP012,CUST003595,2023-01-29,True,False,0.0
RESP000166,CMP007,CUST003665,2023-04-25,True,False,0.0
RESP000167,CMP005,CUST001194,2023-08-22,True,False,0.0
RESP000168,CMP019,CUST017423,2024-12-04,True,True,88.02
RESP000169,CMP006,CUST007954,2023-03-17,True,False,0.0
RESP000170,CMP003,CUST010741,2024-02-20,True,False,0.0
RESP000171,CMP010,CUST000036,2024-05-04,True,False,0.0
RESP000172,CMP002,CUST014208,2024-12-03,True,False,0.0
RESP000173,CMP021,CUST016425,2023-03-19,True,False,0.0
RESP000174,CMP021,CUST014754,2024-11-20,True,False,0.0
RESP000175,CMP013,CUST009665,2023-02-11,True,False,0.0
RESP000176,CMP001,CUST003665,2023-10-18,True,False,0.0
RESP000177,CMP002,CUST002250,2024-10-31,True,False,0.0
RESP000178,CMP017,CUST013047,2023-09-02,True,True,96.35
RESP000179,CMP005,CUST000075,2024-04-06,True,False,0.0
RESP000180,CMP017,CUST012979,2023-04-07,True,False,0.0
RESP000181,CMP006,CUST011317,2024-05-01,True,False,0.0
RESP000182,CMP010,CUST002859,2023-10-26,True,False,0.0
RESP000183,CMP007,CUST012933,2024-09-20,True,True,32.4
RESP000184,CMP006,CUST008847,2024-12-14,True,False,0.0
RESP000185,CMP005,CUST015861,2024-04-22,True,False,0.0
RESP000186,CMP024,CUST010008,2024-09-11,True,False,0.0
RESP000187,CMP021,CUST013988,2024-04-23,True,False,0.0
RESP000188,CMP004,CUST000110,2023-01-24,True,True,150.58
RESP000189,CMP022,CUST018007,2023-05-12,True,False,0.0
RESP000190,CMP011,CUST016550,2024-06-20,True,False,0.0
RESP000191,CMP004,CUST011221,2024-04-26,True,False,0.0
RESP000192,CMP005,CUST010897,2024-02-15,True,False,0.0
RESP000193,CMP004,CUST013399,2023-07-19,True,False,0.0
RESP000194,CMP016,CUST012794,2024-02-29,True,False,0.0
RESP000195,CMP014,CUST017506,2023-02-14,True,False,0.0
RESP000196,CMP009,CUST005422,2024-03-05,True,False,0.0
RESP000197,CMP014,CUST009739,2024-10-08,True,False,0.0
RESP000198,CMP019,CUST016314,2023-04-11,True,True,68.92
RESP000199,CMP011,CUST001607,2024-09-16,True,False,0.0
RESP000200,CMP001,CUST005765,2024-04-30,True,False,0.0
RESP000201,CMP022,CUST006632,2023-05-06,True,False,0.0
RESP000202,CMP003,CUST008274,2023-10-02,True,False,0.0
RESP000203,CMP019,CUST007194,2024-11-07,True,False,0.0
RESP000204,CMP009,CUST000551,2023-05-18,True,False,0.0
RESP000205,CMP023,CUST001688,2023-12-10,True,False,0.0
RESP000206,CMP002,CUST013221,2024-12-21,True,True,140.2
RESP000207,CMP002,CUST001085,2024-01-29,True,False,0.0
RESP000208,CMP021,CUST012195,2023-11-02,True,True,159.92
RESP000209,CMP011,CUST006359,2024-10-07,True,False,0.0
RESP000210,CMP007,CUST010705,2023-11-24,True,False,0.0
RESP000211,CMP003,CUST005948,2024-01-02,True,False,0.0
RESP000212,CMP013,CUST015041,2024-09-06,True,False,0.0
RESP000213,CMP018,CUST001086,2023-02-18,True,False,0.0
RESP000214,CMP010,CUST015216,2024-08-22,True,False,0.0
RESP000215,CMP009,CUST006241,2024-09-21,True,False,0.0
RESP000216,CMP020,CUST016550,2024-08-24,True,False,0.0
RESP000217,CMP003,CUST007058,2024-06-02,True,False,0.0
RESP000218,CMP017,CUST016154,2024-04-14,True,False,0.0
RESP000219,CMP006,CUST017448,2023-10-26,True,False,0.0
RESP000220,CMP001,CUST017321,2023-10-16,True,False,0.0
RESP000221,CMP003,CUST011494,2024-05-30,True,False,0.0
RESP000222,CMP019,CUST006457,2023-01-21,True,False,0.0
RESP000223,CMP023,CUST009461,2024-11-21,True,False,0.0
RESP000224,CMP014,CUST007511,2023-09-19,True,False,0.0
RESP000225,CMP008,CUST004979,2023-04-29,True,True,72.9
RESP000226,CMP001,CUST019291,2024-04-04,True,False,0.0
RESP000227,CMP020,CUST003538,2023-06-17,True,False,0.0
RESP000228,CMP012,CUST007274,2023-09-20,True,False,0.0
RESP000229,CMP024,CUST004232,2023-04-08,True,False,0.0
RESP000230,CMP018,CUST001650,2023-02-21,True,False,0.0
RESP000231,CMP006,CUST015587,2023-02-12,True,False,0.0
RESP000232,CMP009,CUST006293,2023-10-05,True,False,0.0
RESP000233,CMP015,CUST005840,2023-06-02,True,False,0.0
RESP000234,CMP015,CUST003449,2023-08-30,True,False,0.0
RESP000235,CMP013,CUST005579,2023-02-19,True,False,0.0
RESP000236,CMP014,CUST019747,2023-07-14,True,False,0.0
RESP000237,CMP021,CUST006237,2023-07-19,True,False,0.0
RESP000238,CMP005,CUST013498,2024-11-05,True,False,0.0
RESP000239,CMP021,CUST002413,2023-01-17,True,False,0.0
RESP000240,CMP004,CUST003065,2024-08-29,True,False,0.0
RESP000241,CMP009,CUST004322,2024-10-05,True,False,0.0
RESP000242,CMP017,CUST015923,2023-03-04,True,False,0.0
RESP000243,CMP009,CUST015398,2024-03-10,True,False,0.0
RESP000244,CMP019,CUST009023,2024-08-27,True,False,0.0
RESP000245,CMP010,CUST009122,2023-10-23,True,False,0.0
RESP000246,CMP004,CUST015936,2024-10-25,True,False,0.0
RESP000247,CMP007,CUST014000,2023-04-04,True,False,0.0
RESP000248,CMP003,CUST006928,2023-12-05,True,False,0.0
RESP000249,CMP023,CUST006342,2023-08-07,True,False,0.0
RESP000250,CMP017,CUST015014,2024-01-22,True,True,181.38
RESP000251,CMP017,CUST015080,2023-05-31,True,True,88.57
RESP000252,CMP016,CUST006991,2023-02-19,True,False,0.0
RESP000253,CMP012,CUST003705,2024-01-01,True,False,0.0
RESP000254,CMP008,CUST011741,2023-06-27,True,True,173.63
RESP000255,CMP018,CUST010479,2023-05-03,True,False,0.0
RESP000256,CMP020,CUST009469,2024-11-08,True,False,0.0
RESP000257,CMP012,CUST014818,2024-01-09,True,False,0.0
RESP000258,CMP016,CUST012529,2023-01-30,True,False,0.0
RESP000259,CMP007,CUST002169,2023-12-09,True,True,277.95
RESP000260,CMP002,CUST010075,2023-05-23,True,False,0.0
RESP000261,CMP024,CUST018031,2023-07-08,True,False,0.0
RESP000262,CMP005,CUST017728,2023-08-29,True,False,0.0
RESP000263,CMP007,CUST018544,2023-04-13,True,False,0.0
RESP000264,CMP011,CUST002257,2024-01-30,True,False,0.0
RESP000265,CMP003,CUST004788,2024-11-16,True,False,0.0
RESP000266,CMP012,CUST005592,2023-12-21,True,False,0.0
RESP000267,CMP015,CUST013213,2024-08-07,True,False,0.0
RESP000268,CMP017,CUST017421,2024-04-12,True,False,0.0
RESP000269,CMP001,CUST010327,2023-05-27,True,False,0.0
RESP000270,CMP007,CUST012379,2024-03-28,True,True,214.71
RESP000271,CMP009,CUST010150,2023-08-11,True,True,32.9
RESP000272,CMP006,CUST012799,2023-02-15,True,False,0.0
RESP000273,CMP020,CUST013772,2024-08-19,True,False,0.0
RESP000274,CMP007,CUST008699,2023-12-13,True,False,0.0
RESP000275,CMP002,CUST014135,2024-07-30,True,False,0.0
RESP000276,CMP006,CUST005673,2023-03-18,True,False,0.0
RESP000277,CMP007,CUST011836,2023-02-04,True,True,61.79
RESP000278,CMP009,CUST015819,2024-07-19,True,True,222.57
RESP000279,CMP017,CUST005953,2024-06-11,True,False,0.0
RESP000280,CMP016,CUST000413,2023-07-31,True,False,0.0
RESP000281,CMP011,CUST017814,2023-05-13,True,False,0.0
RESP000282,CMP022,CUST006444,2023-12-29,True,False,0.0
RESP000283,CMP006,CUST010794,2024-11-24,True,False,0.0
RESP000284,CMP003,CUST013085,2023-11-18,True,False,0.0
RESP000285,CMP006,CUST012298,2024-08-18,True,False,0.0
RESP000286,CMP005,CUST017792,2024-09-20,True,False,0.0
RESP000287,CMP006,CUST011822,2024-12-19,True,True,26.82
RESP000288,CMP020,CUST012659,2024-07-05,True,True,126.7
RESP000289,CMP020,CUST002184,2024-02-10,True,False,0.0
RESP000290,CMP021,CUST018178,2023-09-02,True,False,0.0
RESP000291,CMP013,CUST018262,2023-11-28,True,False,0.0
RESP000292,CMP008,CUST006337,2024-07-29,True,False,0.0
RESP000293,CMP020,CUST000578,2023-09-13,True,True,36.92
RESP000294,CMP006,CUST006966,2023-11-22,True,False,0.0
RESP000295,CMP003,CUST007985,2023-04-22,True,False,0.0
RESP000296,CMP020,CUST019464,2024-08-19,True,False,0.0
RESP000297,CMP018,CUST017785,2023-04-25,True,False,0.0
RESP000298,CMP019,CUST012134,2024-02-10,True,False,0.0
RESP000299,CMP014,CUST003773,2023-09-16,True,True,101.11
RESP000300,CMP003,CUST019669,2023-04-16,True,False,0.0
RESP000301,CMP008,CUST012196,2024-03-11,True,True,62.74
RESP000302,CMP015,CUST010122,2023-06-20,True,False,0.0
RESP000303,CMP010,CUST002152,2024-07-10,True,True,61.78
RESP000304,CMP007,CUST013867,2023-11-20,True,False,0.0
RESP000305,CMP004,CUST017251,2023-05-30,True,False,0.0
RESP000306,CMP003,CUST007858,2023-09-24,True,False,0.0
RESP000307,CMP017,CUST011837,2024-10-04,True,False,0.0
RESP000308,CMP013,CUST001834,2023-03-12,True,False,0.0
RESP000309,CMP018,CUST019120,2023-08-05,True,False,0.0
RESP000310,CMP024,CUST010426,2023-06-21,True,False,0.0
RESP000311,CMP022,CUST003690,2023-09-01,True,False,0.0
RESP000312,CMP017,CUST014967,2024-08-21,True,False,0.0
RESP000313,CMP003,CUST019814,2023-03-06,True,False,0.0
RESP000314,CMP008,CUST001775,2023-04-13,True,False,0.0
RESP000315,CMP022,CUST011787,2023-02-24,True,False,0.0
RESP000316,CMP011,CUST006966,2023-04-08,True,True,70.86
RESP000317,CMP009,CUST010144,2024-02-28,True,False,0.0
RESP000318,CMP006,CUST002692,2023-03-02,True,False,0.0
RESP000319,CMP019,CUST018107,2023-03-27,True,False,0.0
RESP000320,CMP002,CUST006715,2024-02-26,True,False,0.0
RESP000321,CMP019,CUST012001,2023-05-07,True,False,0.0
RESP000322,CMP010,CUST010101,2024-10-17,True,False,0.0
RESP000323,CMP019,CUST011112,2024-03-28,True,False,0.0
RESP000324,CMP015,CUST003330,2023-03-13,True,False,0.0
RESP000325,CMP020,CUST002385,2023-11-07,True,False,0.0
RESP000326,CMP015,CUST005739,2024-08-27,True,False,0.0
RESP000327,CMP008,CUST004504,2023-08-21,True,False,0.0
RESP000328,CMP001,CUST012577,2023-03-26,True,False,0.0
RESP000329,CMP017,CUST014337,2023-12-20,True,False,0.0
RESP000330,CMP020,CUST016356,2024-05-24,True,False,0.0
RESP000331,CMP001,CUST000640,2023-08-01,True,False,0.0
RESP000332,CMP002,CUST013915,2024-06-02,True,False,0.0
RESP000333,CMP016,CUST011456,2024-04-19,True,False,0.0
RESP000334,CMP004,CUST014156,2024-03-26,True,False,0.0
RESP000335,CMP018,CUST018857,2024-08-18,True,False,0.0
RESP000336,CMP001,CUST018758,2024-11-07,True,False,0.0
RESP000337,CMP018,CUST010125,2023-04-14,True,False,0.0
RESP000338,CMP002,CUST012855,2024-05-01,True,False,0.0
RESP000339,CMP016,CUST002011,2024-03-21,True,False,0.0
RESP000340,CMP017,CUST016010,2023-02-17,True,False,0.0
RESP000341,CMP024,CUST014680,2023-10-28,True,False,0.0
RESP000342,CMP007,CUST004644,2023-12-10,True,False,0.0
RESP000343,CMP017,CUST006015,2023-02-26,True,False,0.0
RESP000344,CMP001,CUST017686,2023-03-28,True,False,0.0
RESP000345,CMP004,CUST011331,2023-09-02,True,False,0.0
RESP000346,CMP017,CUST011099,2023-06-09,True,False,0.0
RESP000347,CMP023,CUST013674,2023-04-18,True,False,0.0
RESP000348,CMP012,CUST005625,2024-06-19,True,False,0.0
RESP000349,CMP018,CUST005637,2024-11-18,True,False,0.0
RESP000350,CMP020,CUST016856,2023-12-21,True,False,0.0
RESP000351,CMP021,CUST005268,2024-11-09,True,False,0.0
RESP000352,CMP011,CUST011888,2023-03-05,True,False,0.0
RESP000353,CMP009,CUST000128,2023-10-03,True,True,62.37
RESP000354,CMP007,CUST010755,2024-06-14,True,False,0.0
RESP000355,CMP009,CUST003015,2023-01-06,True,True,242.43
RESP000356,CMP019,CUST007638,2023-06-25,True,True,73.38
RESP000357,CMP001,CUST016436,2024-05-29,True,False,0.0
RESP000358,CMP009,CUST004892,2023-06-24,True,False,0.0
RESP000359,CMP007,CUST013079,2024-11-27,True,False,0.0
RESP000360,CMP004,CUST005096,2023-03-15,True,True,203.89
RESP000361,CMP024,CUST004455,2023-10-09,True,False,0.0
RESP000362,CMP010,CUST005996,2023-02-04,True,True,227.0
RESP000363,CMP013,CUST004372,2023-06-17,True,True,61.5
RESP000364,CMP001,CUST011781,2024-02-09,True,False,0.0
RESP000365,CMP022,CUST005264,2024-01-26,True,False,0.0
RESP000366,CMP016,CUST012390,2024-05-07,True,False,0.0
RESP000367,CMP018,CUST008789,2023-11-29,True,False,0.0
RESP000368,CMP014,CUST006859,2023-02-04,True,False,0.0
RESP000369,CMP007,CUST016453,2023-04-08,True,False,0.0
RESP000370,CMP024,CUST008335,2024-07-04,True,False,0.0
RESP000371,CMP022,CUST005938,2024-05-09,True,False,0.0
RESP000372,CMP012,CUST018761,2024-08-17,True,False,0.0
RESP000373,CMP003,CUST014050,2024-07-12,True,False,0.0
RESP000374,CMP005,CUST014821,2024-08-20,True,False,0.0
RESP000375,CMP011,CUST017201,2024-07-24,True,False,0.0
RESP000376,CMP004,CUST000903,2023-12-06,True,False,0.0
RESP000377,CMP011,CUST010154,2024-05-23,True,False,0.0
RESP000378,CMP014,CUST009869,2024-04-16,True,False,0.0
RESP000379,CMP012,CUST016338,2024-02-18,True,False,0.0
RESP000380,CMP001,CUST015431,2023-10-30,True,False,0.0
RESP000381,CMP006,CUST008026,2024-06-11,True,False,0.0
RESP000382,CMP007,CUST018023,2023-11-24,True,False,0.0
RESP000383,CMP014,CUST003291,2023-02-16,True,False,0.0
RESP000384,CMP020,CUST006225,2024-04-15,True,False,0.0
RESP000385,CMP014,CUST013432,2024-07-04,True,False,0.0
RESP000386,CMP009,CUST006771,2024-05-09,True,False,0.0
RESP000387,CMP016,CUST005568,2024-01-29,True,False,0.0
RESP000388,CMP013,CUST004293,2024-08-04,True,False,0.0
RESP000389,CMP004,CUST001866,2023-10-03,True,False,0.0
RESP000390,CMP014,CUST019518,2023-09-20,True,True,257.19
RESP000391,CMP023,CUST015955,2023-08-27,True,False,0.0
RESP000392,CMP015,CUST009759,2023-10-27,True,False,0.0
RESP000393,CMP015,CUST000260,2024-03-30,True,True,387.61
RESP000394,CMP018,CUST018643,2024-05-26,True,False,0.0
RESP000395,CMP008,CUST017849,2024-01-03,True,True,28.41
RESP000396,CMP019,CUST011956,2024-03-17,True,True,265.63
RESP000397,CMP009,CUST007971,2024-11-19,True,True,41.36
RESP000398,CMP022,CUST002983,2023-11-02,True,False,0.0
RESP000399,CMP011,CUST013758,2024-05-10,True,False,0.0
RESP000400,CMP022,CUST001236,2023-11-17,True,False,0.0
RESP000401,CMP013,CUST008636,2024-06-23,True,False,0.0
RESP000402,CMP004,CUST000596,2023-04-14,True,False,0.0
RESP000403,CMP001,CUST010315,2023-07-10,True,True,83.97
RESP000404,CMP022,CUST013465,2023-09-25,True,False,0.0
RESP000405,CMP010,CUST018186,2023-01-27,True,True,421.3
RESP000406,CMP008,CUST014903,2024-11-03,True,True,31.79
RESP000407,CMP002,CUST015424,2024-07-10,True,True,63.95
RESP000408,CMP023,CUST012180,2024-06-23,True,False,0.0
RESP000409,CMP003,CUST019424,2024-03-10,True,False,0.0
RESP000410,CMP013,CUST006408,2023-07-25,True,False,0.0
RESP000411,CMP017,CUST015833,2024-07-16,True,False,0.0
RESP000412,CMP016,CUST000890,2024-07-03,True,False,0.0
RESP000413,CMP024,CUST018398,2024-04-22,True,False,0.0
RESP000414,CMP016,CUST016745,2024-10-15,True,False,0.0
RESP000415,CMP005,CUST010718,2024-05-16,True,False,0.0
RESP000416,CMP005,CUST014649,2024-10-17,True,False,0.0
RESP000417,CMP010,CUST014482,2023-07-07,True,True,233.21
RESP000418,CMP001,CUST010539,2024-02-14,True,False,0.0
RESP000419,CMP007,CUST001318,2023-08-16,True,False,0.0
RESP000420,CMP014,CUST019424,2024-01-08,True,False,0.0
RESP000421,CMP009,CUST014363,2023-07-25,True,False,0.0
RESP000422,CMP016,CUST010406,2023-05-28,True,False,0.0
RESP000423,CMP020,CUST008661,2023-11-26,True,True,61.8
RESP000424,CMP015,CUST002553,2023-06-25,True,False,0.0
RESP000425,CMP009,CUST004035,2023-07-30,True,False,0.0
RESP000426,CMP020,CUST007188,2023-03-30,True,False,0.0
RESP000427,CMP023,CUST004934,2024-07-06,True,False,0.0
RESP000428,CMP024,CUST002611,2024-03-08,True,False,0.0
RESP000429,CMP023,CUST018785,2024-08-20,True,False,0.0
RESP000430,CMP019,CUST019011,2024-03-23,True,False,0.0
RESP000431,CMP019,CUST005471,2023-07-15,True,False,0.0
RESP000432,CMP020,CUST000474,2024-10-01,True,False,0.0
RESP000433,CMP024,CUST007684,2023-04-20,True,False,0.0
RESP000434,CMP007,CUST003983,2023-01-28,True,False,0.0
RESP000435,CMP008,CUST008488,2024-04-02,True,False,0.0
