credit_event_id,loan_id,customer_id,event_date,event_type,outstanding_at_event,risk_bucket
CE00042,LN000391,CUST000483,2024-09-02,Delinquency Notice - 30 Days,341.01,High
CE00043,LN000434,CUST000535,2024-11-17,Delinquency Notice - 60 Days,1493.67,Low
CE00044,LN000452,CUST000558,2024-11-08,Delinquency Notice - 60 Days,5590.59,Elevated
CE00045,LN000453,CUST000559,2024-07-23,Delinquency Notice - 60 Days,4981.92,Moderate
CE00046,LN000465,CUST000577,2024-08-18,Delinquency Notice - 60 Days,1389.73,High
CE00047,LN000472,CUST000587,2024-10-19,Delinquency Notice - 30 Days,1044.29,Critical
CE00048,LN000473,CUST000589,2024-06-14,Default / Write-off Review,1860.34,Critical
CE00049,LN000478,CUST000593,2024-10-21,Delinquency Notice - 60 Days,10616.25,Elevated
CE00050,LN000515,CUST000646,2024-08-17,Default / Write-off Review,6730.74,Critical
CE00051,LN000520,CUST000649,2024-11-05,Delinquency Notice - 60 Days,7647.31,Elevated
CE00052,LN000524,CUST000657,2024-07-27,Delinquency Notice - 60 Days,16770.12,Elevated
CE00053,LN000530,CUST000663,2024-06-03,Delinquency Notice - 30 Days,3853.46,Moderate
CE00054,LN000542,CUST000680,2024-12-04,Delinquency Notice - 30 Days,8152.12,Low
CE00055,LN000547,CUST000686,2024-06-15,Delinquency Notice - 60 Days,563.09,High
CE00056,LN000559,CUST000706,2024-10-21,Delinquency Notice - 60 Days,654.69,Elevated
CE00057,LN000573,CUST000715,2024-07-05,Delinquency Notice - 60 Days,2584.04,Low
CE00058,LN000574,CUST000716,2024-08-16,Delinquency Notice - 30 Days,789.39,Low
CE00059,LN000578,CUST000730,2024-09-13,Delinquency Notice - 30 Days,6308.76,Moderate
CE00060,LN000604,CUST000766,2024-07-24,Delinquency Notice - 30 Days,3913.57,High
CE00061,LN000619,CUST000788,2024-06-16,Delinquency Notice - 60 Days,7093.67,Elevated
CE00062,LN000623,CUST000793,2024-11-28,Delinquency Notice - 60 Days,6426.0,Low
CE00063,LN000652,CUST000830,2024-07-27,Default / Write-off Review,536.83,Elevated
CE00064,LN000656,CUST000834,2024-08-14,Delinquency Notice - 30 Days,1008.39,Elevated
CE00065,LN000658,CUST000835,2024-06-30,Delinquency Notice - 30 Days,2719.8,Elevated
CE00066,LN000662,CUST000838,2024-09-20,Delinquency Notice - 30 Days,3203.36,High
CE00067,LN000670,CUST000847,2024-10-15,Delinquency Notice - 30 Days,6297.93,Moderate
CE00068,LN000671,CUST000847,2024-09-02,Delinquency Notice - 30 Days,5818.72,Moderate
CE00069,LN000675,CUST000850,2024-10-17,Delinquency Notice - 60 Days,2748.91,High
CE00070,LN000676,CUST000850,2024-11-12,Default / Write-off Review,1754.47,High
CE00071,LN000694,CUST000877,2024-08-29,Default / Write-off Review,638.61,Critical
CE00072,LN000701,CUST000891,2024-11-23,Delinquency Notice - 30 Days,35742.98,Critical
CE00073,LN000711,CUST000902,2024-12-17,Delinquency Notice - 30 Days,23830.98,High
CE00074,LN000722,CUST000927,2024-12-04,Delinquency Notice - 60 Days,869.23,Moderate
CE00075,LN000731,CUST000938,2024-10-21,Delinquency Notice - 30 Days,14834.83,Low
CE00076,LN000734,CUST000943,2024-08-19,Default / Write-off Review,1011.21,Moderate
CE00077,LN000741,CUST000948,2024-09-11,Delinquency Notice - 30 Days,3074.65,Elevated
CE00078,LN000742,CUST000951,2024-08-16,Delinquency Notice - 30 Days,1138.84,Low
CE00079,LN000743,CUST000952,2024-11-25,Default / Write-off Review,1714.24,Moderate
CE00080,LN000748,CUST000955,2024-06-14,Default / Write-off Review,10407.64,Elevated
CE00081,LN000757,CUST000966,2024-10-14,Delinquency Notice - 30 Days,35882.63,Moderate
CE00082,LN000785,CUST001013,2024-11-01,Delinquency Notice - 30 Days,3325.74,Low
CE00083,LN000792,CUST001017,2024-11-14,Default / Write-off Review,929.41,Moderate
CE00084,LN000794,CUST001020,2024-12-23,Delinquency Notice - 30 Days,868.56,Critical
CE00085,LN000812,CUST001047,2024-12-02,Default / Write-off Review,6526.71,Low
CE00086,LN000825,CUST001059,2024-07-30,Default / Write-off Review,21751.2,Low
CE00087,LN000848,CUST001086,2024-11-30,Delinquency Notice - 30 Days,1493.84,Moderate
CE00088,LN000875,CUST001127,2024-08-24,Delinquency Notice - 60 Days,31444.54,Moderate
CE00089,LN000876,CUST001128,2024-06-17,Delinquency Notice - 60 Days,5610.0,Moderate
CE00090,LN000882,CUST001139,2024-12-04,Delinquency Notice - 60 Days,1122.05,High
CE00091,LN000888,CUST001144,2024-08-04,Default / Write-off Review,6400.01,High
CE00092,LN000911,CUST001171,2024-11-08,Delinquency Notice - 30 Days,10712.38,Low
CE00093,LN000939,CUST001203,2024-09-15,Delinquency Notice - 30 Days,1240.26,Moderate
CE00094,LN000959,CUST001234,2024-10-25,Delinquency Notice - 30 Days,28412.48,High
CE00095,LN000974,CUST001245,2024-11-12,Delinquency Notice - 30 Days,902.9,Elevated
CE00096,LN000982,CUST001257,2024-09-28,Delinquency Notice - 30 Days,2661.49,Moderate
CE00097,LN000993,CUST001271,2024-08-04,Delinquency Notice - 30 Days,9044.66,Elevated
CE00098,LN000995,CUST001272,2024-11-26,Delinquency Notice - 60 Days,328.14,Elevated
CE00099,LN000998,CUST001274,2024-11-01,Delinquency Notice - 30 Days,2660.75,High
CE00100,LN001013,CUST001296,2024-11-10,Delinquency Notice - 30 Days,26569.49,Elevated
CE00101,LN001019,CUST001309,2024-07-22,Delinquency Notice - 30 Days,10311.28,Low
CE00102,LN001038,CUST001333,2024-11-26,Delinquency Notice - 30 Days,425.01,Moderate
CE00103,LN001045,CUST001342,2024-07-11,Delinquency Notice - 30 Days,2597.41,Elevated
CE00104,LN001050,CUST001349,2024-10-02,Default / Write-off Review,12371.52,Elevated
CE00105,LN001062,CUST001361,2024-12-17,Delinquency Notice - 30 Days,8813.85,Moderate
CE00106,LN001067,CUST001371,2024-12-02,Default / Write-off Review,282.35,Low
CE00107,LN001074,CUST001378,2024-08-28,Default / Write-off Review,7193.56,Elevated
CE00108,LN001077,CUST001380,2024-12-17,Delinquency Notice - 30 Days,77336.33,Elevated
CE00109,LN001104,CUST001411,2024-10-10,Delinquency Notice - 60 Days,22977.24,Low
CE00110,LN001119,CUST001434,2024-12-21,Delinquency Notice - 30 Days,1191.07,Low
CE00111,LN001122,CUST001441,2024-12-08,Delinquency Notice - 60 Days,4524.09,Moderate
CE00112,LN001123,CUST001442,2024-10-23,Delinquency Notice - 60 Days,22367.31,Moderate
CE00113,LN001129,CUST001453,2024-11-15,Delinquency Notice - 30 Days,3812.0,Elevated
CE00114,LN001143,CUST001471,2024-12-23,Delinquency Notice - 30 Days,1099.63,Elevated
CE00115,LN001150,CUST001479,2024-08-05,Delinquency Notice - 60 Days,5474.25,High
CE00116,LN001183,CUST001517,2024-06-10,Delinquency Notice - 30 Days,947.65,Moderate
CE00117,LN001198,CUST001529,2024-11-14,Delinquency Notice - 60 Days,2453.76,Elevated
CE00118,LN001204,CUST001535,2024-09-25,Default / Write-off Review,8217.12,Elevated
CE00119,LN001205,CUST001536,2024-12-15,Delinquency Notice - 60 Days,16264.42,Elevated
CE00120,LN001215,CUST001546,2024-10-30,Delinquency Notice - 30 Days,3084.3,Moderate
CE00121,LN001228,CUST001564,2024-12-08,Default / Write-off Review,655.04,Elevated
CE00122,LN001229,CUST001564,2024-10-19,Delinquency Notice - 30 Days,5490.39,Elevated
CE00123,LN001233,CUST001572,2024-08-23,Default / Write-off Review,7664.87,Moderate
CE00124,LN001241,CUST001580,2024-10-18,Delinquency Notice - 30 Days,1212.82,Moderate
CE00125,LN001243,CUST001585,2024-08-20,Delinquency Notice - 30 Days,698.85,High
CE00126,LN001248,CUST001591,2024-09-19,Delinquency Notice - 30 Days,1555.76,Low
CE00127,LN001263,CUST001621,2024-09-14,Delinquency Notice - 30 Days,4305.14,High
CE00128,LN001272,CUST001638,2024-11-27,Delinquency Notice - 60 Days,2572.28,High
CE00129,LN001302,CUST001676,2024-07-25,Delinquency Notice - 30 Days,13471.61,Low
CE00130,LN001305,CUST001678,2024-06-21,Delinquency Notice - 30 Days,27521.53,High
CE00131,LN001308,CUST001679,2024-10-03,Delinquency Notice - 30 Days,1475.76,Moderate
CE00132,LN001309,CUST001680,2024-11-24,Delinquency Notice - 30 Days,5267.23,High
CE00133,LN001320,CUST001694,2024-12-04,Default / Write-off Review,6254.97,Moderate
CE00134,LN001331,CUST001713,2024-11-20,Default / Write-off Review,4192.88,Elevated
CE00135,LN001333,CUST001714,2024-10-02,Delinquency Notice - 30 Days,7426.82,Moderate
CE00136,LN001334,CUST001715,2024-06-28,Default / Write-off Review,58605.33,Elevated
CE00137,LN001348,CUST001729,2024-07-24,Delinquency Notice - 30 Days,967.88,Low
CE00138,LN001351,CUST001730,2024-08-20,Delinquency Notice - 60 Days,45544.16,Elevated
CE00139,LN001353,CUST001731,2024-08-11,Default / Write-off Review,1940.34,Low
CE00140,LN001358,CUST001737,2024-09-01,Delinquency Notice - 30 Days,15142.03,Moderate
CE00141,LN001364,CUST001745,2024-11-11,Delinquency Notice - 30 Days,4443.01,High
CE00142,LN001369,CUST001750,2024-08-22,Delinquency Notice - 30 Days,1486.7,Elevated
CE00143,LN001373,CUST001754,2024-08-18,Delinquency Notice - 60 Days,3638.0,Elevated
CE00144,LN001407,CUST001795,2024-12-26,Delinquency Notice - 30 Days,2616.8,Elevated
CE00145,LN001413,CUST001800,2024-12-22,Delinquency Notice - 30 Days,9463.73,Elevated
CE00146,LN001430,CUST001824,2024-07-28,Default / Write-off Review,10881.72,Moderate
CE00147,LN001449,CUST001839,2024-09-09,Default / Write-off Review,26074.38,Elevated
CE00148,LN001454,CUST001843,2024-09-25,Default / Write-off Review,7817.66,Low
CE00149,LN001459,CUST001849,2024-08-19,Default / Write-off Review,3076.36,Moderate
CE00150,LN001460,CUST001851,2024-06-23,Delinquency Notice - 60 Days,2175.42,High
CE00151,LN001490,CUST001892,2024-11-30,Delinquency Notice - 30 Days,6343.54,Moderate
CE00152,LN001500,CUST001906,2024-09-14,Delinquency Notice - 30 Days,29893.4,Elevated
CE00153,LN001507,CUST001920,2024-07-06,Delinquency Notice - 30 Days,3414.44,Elevated
CE00154,LN001518,CUST001933,2024-10-16,Delinquency Notice - 30 Days,8861.0,Moderate
CE00155,LN001520,CUST001935,2024-07-08,Delinquency Notice - 60 Days,1190.38,Low
CE00156,LN001532,CUST001946,2024-08-30,Delinquency Notice - 30 Days,53169.65,High
CE00157,LN001539,CUST001954,2024-11-18,Delinquency Notice - 60 Days,1606.69,High
CE00158,LN001544,CUST001964,2024-10-19,Default / Write-off Review,9711.31,Critical
CE00159,LN001563,CUST001989,2024-07-12,Delinquency Notice - 60 Days,6005.58,Moderate
CE00160,LN001576,CUST002005,2024-09-02,Default / Write-off Review,8056.63,High
CE00161,LN001577,CUST002005,2024-10-03,Delinquency Notice - 30 Days,2182.6,High
CE00162,LN001587,CUST002019,2024-11-22,Default / Write-off Review,4834.64,High
CE00163,LN001603,CUST002041,2024-06-06,Delinquency Notice - 30 Days,29882.46,Moderate
CE00164,LN001607,CUST002046,2024-10-21,Delinquency Notice - 30 Days,2371.26,Low
CE00165,LN001628,CUST002074,2024-11-07,Delinquency Notice - 30 Days,3073.13,Moderate
CE00166,LN001661,CUST002111,2024-10-07,Default / Write-off Review,268.83,Low
CE00167,LN001671,CUST002118,2024-06-29,Delinquency Notice - 30 Days,231.35,Low
CE00168,LN001676,CUST002123,2024-11-01,Default / Write-off Review,21049.89,Elevated
CE00169,LN001683,CUST002138,2024-09-06,Delinquency Notice - 60 Days,8371.59,Moderate
CE00170,LN001684,CUST002138,2024-06-20,Default / Write-off Review,10234.52,Moderate
CE00171,LN001691,CUST002156,2024-09-04,Default / Write-off Review,1423.55,Moderate
CE00172,LN001700,CUST002166,2024-07-16,Delinquency Notice - 30 Days,47511.17,High
CE00173,LN001703,CUST002169,2024-08-31,Delinquency Notice - 60 Days,1767.78,Elevated
CE00174,LN001708,CUST002176,2024-12-09,Delinquency Notice - 60 Days,17870.9,Elevated
CE00175,LN001718,CUST002190,2024-12-05,Delinquency Notice - 60 Days,8920.07,Moderate
CE00176,LN001729,CUST002201,2024-11-07,Delinquency Notice - 30 Days,1251.67,Elevated
CE00177,LN001741,CUST002207,2024-12-14,Delinquency Notice - 60 Days,3944.02,Moderate
CE00178,LN001742,CUST002208,2024-10-16,Delinquency Notice - 30 Days,8103.13,Elevated
CE00179,LN001764,CUST002237,2024-12-13,Delinquency Notice - 30 Days,777.45,Critical
CE00180,LN001766,CUST002239,2024-11-22,Delinquency Notice - 60 Days,3627.68,High
CE00181,LN001771,CUST002247,2024-11-11,Delinquency Notice - 60 Days,648.44,Moderate
CE00182,LN001787,CUST002273,2024-07-15,Delinquency Notice - 60 Days,4951.35,Moderate
CE00183,LN001789,CUST002275,2024-07-11,Delinquency Notice - 60 Days,771.58,Low
CE00184,LN001792,CUST002280,2024-07-09,Default / Write-off Review,44179.81,Low
CE00185,LN001798,CUST002287,2024-07-10,Delinquency Notice - 60 Days,439.73,High
CE00186,LN001804,CUST002300,2024-10-30,Delinquency Notice - 60 Days,37248.98,High
CE00187,LN001810,CUST002305,2024-12-04,Default / Write-off Review,13217.47,Elevated
CE00188,LN001815,CUST002310,2024-09-12,Delinquency Notice - 60 Days,4516.25,Elevated
CE00189,LN001821,CUST002318,2024-11-24,Delinquency Notice - 60 Days,2519.99,Low
CE00190,LN001833,CUST002332,2024-12-23,Delinquency Notice - 60 Days,4403.88,Elevated
CE00191,LN001844,CUST002347,2024-10-19,Delinquency Notice - 30 Days,5709.65,Moderate
CE00192,LN001850,CUST002354,2024-11-22,Delinquency Notice - 30 Days,3964.5,Low
CE00193,LN001869,CUST002376,2024-09-13,Delinquency Notice - 30 Days,3507.1,Elevated
CE00194,LN001881,CUST002395,2024-09-04,Delinquency Notice - 60 Days,5426.55,Elevated
CE00195,LN001889,CUST002412,2024-10-24,Delinquency Notice - 60 Days,22550.3,Elevated
CE00196,LN001890,CUST002414,2024-07-20,Delinquency Notice - 30 Days,7177.44,Moderate
CE00197,LN001891,CUST002414,2024-12-24,Delinquency Notice - 30 Days,29269.35,Moderate
CE00198,LN001906,CUST002438,2024-09-07,Default / Write-off Review,678.91,High
CE00199,LN001907,CUST002438,2024-09-25,Delinquency Notice - 60 Days,3735.85,High
CE00200,LN001910,CUST002440,2024-08-15,Delinquency Notice - 30 Days,7168.18,Elevated
CE00201,LN001915,CUST002449,2024-10-05,Delinquency Notice - 30 Days,2180.33,High
CE00202,LN001919,CUST002455,2024-12-06,Delinquency Notice - 30 Days,63226.44,Elevated
CE00203,LN001920,CUST002456,2024-10-01,Default / Write-off Review,27217.67,Low
CE00204,LN001927,CUST002461,2024-12-11,Delinquency Notice - 30 Days,4402.82,Low
CE00205,LN001932,CUST002469,2024-11-20,Default / Write-off Review,4351.91,Moderate
CE00206,LN001934,CUST002470,2024-08-11,Default / Write-off Review,387.38,High
CE00207,LN001941,CUST002475,2024-07-28,Delinquency Notice - 30 Days,15667.88,Low
CE00208,LN001944,CUST002484,2024-11-06,Delinquency Notice - 30 Days,6543.41,Moderate
CE00209,LN001948,CUST002488,2024-07-24,Default / Write-off Review,2466.76,High
CE00210,LN001959,CUST002506,2024-06-12,Delinquency Notice - 60 Days,8644.83,Moderate
CE00211,LN001965,CUST002509,2024-10-02,Delinquency Notice - 60 Days,3499.35,Low
CE00212,LN001980,CUST002523,2024-08-27,Delinquency Notice - 30 Days,404.13,Elevated
CE00213,LN001998,CUST002538,2024-09-16,Delinquency Notice - 30 Days,1496.08,Elevated
CE00214,LN002006,CUST002544,2024-07-14,Delinquency Notice - 30 Days,16780.47,Moderate
CE00215,LN002007,CUST002546,2024-08-12,Delinquency Notice - 60 Days,1361.71,Moderate
CE00216,LN002008,CUST002548,2024-08-03,Delinquency Notice - 30 Days,1894.22,Elevated
CE00217,LN002010,CUST002550,2024-09-06,Default / Write-off Review,7976.26,Moderate
CE00218,LN002017,CUST002562,2024-06-13,Delinquency Notice - 60 Days,4480.9,Moderate
CE00219,LN002020,CUST002570,2024-07-27,Delinquency Notice - 30 Days,4286.66,High
CE00220,LN002027,CUST002583,2024-12-16,Delinquency Notice - 30 Days,1191.03,Moderate
CE00221,LN002030,CUST002585,2024-12-21,Default / Write-off Review,2148.45,High
CE00222,LN002033,CUST002592,2024-08-14,Default / Write-off Review,580.03,Moderate
CE00223,LN002054,CUST002615,2024-12-26,Delinquency Notice - 30 Days,310.79,Elevated
CE00224,LN002081,CUST002653,2024-11-11,Delinquency Notice - 60 Days,9369.53,Low
CE00225,LN002085,CUST002657,2024-06-01,Delinquency Notice - 30 Days,12024.91,Moderate
CE00226,LN002088,CUST002660,2024-11-29,Delinquency Notice - 60 Days,13727.98,High
CE00227,LN002089,CUST002661,2024-08-01,Delinquency Notice - 30 Days,1113.99,Low
CE00228,LN002097,CUST002668,2024-08-08,Delinquency Notice - 30 Days,8702.95,Moderate
CE00229,LN002102,CUST002671,2024-06-30,Delinquency Notice - 30 Days,4129.49,Moderate
CE00230,LN002107,CUST002674,2024-06-29,Delinquency Notice - 30 Days,5702.2,Low
CE00231,LN002123,CUST002692,2024-10-19,Delinquency Notice - 30 Days,4405.55,Elevated
CE00232,LN002127,CUST002697,2024-10-20,Delinquency Notice - 60 Days,1037.29,Elevated
CE00233,LN002131,CUST002699,2024-12-15,Delinquency Notice - 60 Days,20438.72,Elevated
CE00234,LN002137,CUST002716,2024-08-17,Delinquency Notice - 60 Days,3584.83,Elevated
CE00235,LN002158,CUST002749,2024-08-13,Default / Write-off Review,20457.55,Elevated
CE00236,LN002195,CUST002822,2024-12-25,Default / Write-off Review,696.77,Moderate
CE00237,LN002207,CUST002833,2024-11-22,Delinquency Notice - 30 Days,2585.06,Moderate
CE00238,LN002226,CUST002863,2024-11-16,Delinquency Notice - 60 Days,2528.02,High
CE00239,LN002247,CUST002887,2024-08-23,Delinquency Notice - 30 Days,901.14,Elevated
CE00240,LN002264,CUST002923,2024-10-24,Default / Write-off Review,25854.66,Moderate
CE00241,LN002275,CUST002936,2024-10-07,Delinquency Notice - 60 Days,75049.58,Moderate
CE00242,LN002284,CUST002953,2024-08-20,Default / Write-off Review,3614.85,High
CE00243,LN002287,CUST002960,2024-08-09,Delinquency Notice - 30 Days,1606.81,Critical
CE00244,LN002303,CUST002977,2024-08-16,Delinquency Notice - 30 Days,184.64,High
CE00245,LN002308,CUST002988,2024-12-06,Default / Write-off Review,16596.83,Low
CE00246,LN002312,CUST002996,2024-12-25,Default / Write-off Review,27437.3,Elevated
CE00247,LN002313,CUST002999,2024-08-30,Delinquency Notice - 60 Days,544.68,High
CE00248,LN002326,CUST003019,2024-11-24,Delinquency Notice - 30 Days,1135.15,Moderate
CE00249,LN002340,CUST003035,2024-12-19,Default / Write-off Review,680.63,High
CE00250,LN002341,CUST003037,2024-11-18,Delinquency Notice - 60 Days,3146.22,Moderate
CE00251,LN002345,CUST003041,2024-11-02,Delinquency Notice - 60 Days,2816.18,Low
CE00252,LN002366,CUST003062,2024-12-04,Delinquency Notice - 60 Days,9956.73,Elevated
CE00253,LN002367,CUST003063,2024-10-06,Delinquency Notice - 30 Days,3921.86,Elevated
CE00254,LN002369,CUST003064,2024-07-29,Default / Write-off Review,6258.01,Low
CE00255,LN002381,CUST003086,2024-09-17,Delinquency Notice - 60 Days,330.79,High
CE00256,LN002399,CUST003101,2024-10-11,Default / Write-off Review,3467.45,Low
CE00257,LN002401,CUST003102,2024-06-03,Delinquency Notice - 30 Days,7968.04,Moderate
CE00258,LN002402,CUST003105,2024-09-09,Delinquency Notice - 30 Days,1490.08,High
CE00259,LN002406,CUST003116,2024-07-29,Delinquency Notice - 30 Days,2135.28,Moderate
CE00260,LN002415,CUST003121,2024-11-27,Delinquency Notice - 60 Days,4978.78,Elevated
CE00261,LN002423,CUST003134,2024-06-22,Delinquency Notice - 60 Days,1548.75,High
CE00262,LN002426,CUST003138,2024-08-05,Default / Write-off Review,15157.04,Low
CE00263,LN002428,CUST003140,2024-12-03,Delinquency Notice - 60 Days,1874.98,High
CE00264,LN002429,CUST003141,2024-07-03,Delinquency Notice - 30 Days,4954.7,Elevated
CE00265,LN002442,CUST003150,2024-07-04,Delinquency Notice - 30 Days,3906.42,Elevated
CE00266,LN002455,CUST003163,2024-08-31,Delinquency Notice - 60 Days,7658.99,Moderate
CE00267,LN002474,CUST003188,2024-10-03,Delinquency Notice - 60 Days,9330.45,Elevated
CE00268,LN002484,CUST003204,2024-12-12,Default / Write-off Review,1405.93,Critical
CE00269,LN002488,CUST003207,2024-09-09,Delinquency Notice - 30 Days,5194.15,Moderate
CE00270,LN002504,CUST003235,2024-12-19,Delinquency Notice - 60 Days,3514.81,Elevated
CE00271,LN002518,CUST003250,2024-06-30,Delinquency Notice - 60 Days,7062.83,Moderate
CE00272,LN002526,CUST003256,2024-12-04,Default / Write-off Review,2968.48,High
CE00273,LN002536,CUST003264,2024-08-03,Delinquency Notice - 30 Days,5759.13,Elevated
CE00274,LN002566,CUST003295,2024-09-05,Default / Write-off Review,33116.36,Elevated
CE00275,LN002576,CUST003305,2024-09-10,Delinquency Notice - 30 Days,6356.82,Moderate
CE00276,LN002578,CUST003306,2024-08-02,Delinquency Notice - 60 Days,535.69,Moderate
CE00277,LN002596,CUST003329,2024-09-04,Delinquency Notice - 60 Days,2978.1,Low
CE00278,LN002598,CUST003332,2024-06-07,Delinquency Notice - 30 Days,10604.89,High
CE00279,LN002608,CUST003339,2024-09-05,Delinquency Notice - 60 Days,1675.46,Elevated
CE00280,LN002622,CUST003351,2024-09-18,Default / Write-off Review,11511.4,Moderate
CE00281,LN002632,CUST003362,2024-07-12,Delinquency Notice - 60 Days,4197.67,Moderate
CE00282,LN002636,CUST003365,2024-12-26,Delinquency Notice - 60 Days,784.24,Low
CE00283,LN002638,CUST003367,2024-07-12,Delinquency Notice - 30 Days,1396.65,Elevated
CE00284,LN002644,CUST003379,2024-08-28,Delinquency Notice - 60 Days,6168.11,High
CE00285,LN002645,CUST003379,2024-07-29,Delinquency Notice - 60 Days,3365.15,High
CE00286,LN002646,CUST003379,2024-11-12,Default / Write-off Review,33221.81,High
CE00287,LN002655,CUST003389,2024-10-10,Delinquency Notice - 60 Days,1207.77,Low
CE00288,LN002660,CUST003393,2024-07-26,Delinquency Notice - 60 Days,14920.75,High
CE00289,LN002662,CUST003396,2024-06-18,Delinquency Notice - 30 Days,10269.72,Critical
CE00290,LN002665,CUST003397,2024-12-16,Delinquency Notice - 30 Days,4971.3,High
CE00291,LN002681,CUST003420,2024-10-22,Delinquency Notice - 30 Days,24429.92,Low
CE00292,LN002691,CUST003433,2024-06-30,Delinquency Notice - 60 Days,34375.89,Moderate
CE00293,LN002710,CUST003452,2024-11-25,Delinquency Notice - 60 Days,1309.37,Low
CE00294,LN002717,CUST003458,2024-12-17,Delinquency Notice - 30 Days,2665.07,Critical
CE00295,LN002728,CUST003469,2024-10-22,Default / Write-off Review,1686.98,Moderate
CE00296,LN002735,CUST003478,2024-09-13,Delinquency Notice - 30 Days,9748.08,Low
CE00297,LN002738,CUST003480,2024-06-28,Default / Write-off Review,8795.45,Moderate
CE00298,LN002757,CUST003507,2024-07-01,Delinquency Notice - 30 Days,412.11,Moderate
CE00299,LN002765,CUST003522,2024-07-31,Delinquency Notice - 60 Days,1094.87,High
CE00300,LN002773,CUST003539,2024-08-18,Delinquency Notice - 60 Days,9430.64,Low
CE00301,LN002789,CUST003557,2024-09-14,Delinquency Notice - 30 Days,3543.8,Elevated
CE00302,LN002807,CUST003583,2024-09-15,Delinquency Notice - 60 Days,772.78,Low
CE00303,LN002808,CUST003584,2024-11-04,Delinquency Notice - 60 Days,586.41,High
CE00304,LN002831,CUST003618,2024-09-01,Delinquency Notice - 30 Days,2192.68,High
CE00305,LN002838,CUST003624,2024-09-04,Delinquency Notice - 60 Days,8871.61,Elevated
