card_id,customer_id,product_id,card_type,issue_date,credit_limit,credit_utilization,monthly_spend,avg_transaction_value,is_active,digital_wallet_enabled,late_payment_flag
CARD000051,CUST000079,PRD03,Credit Card,2022-05-01,11850.0,0.184,158.9,59.88,True,True,False
CARD000052,CUST000080,PRD04,Debit Card,2020-09-06,0.0,,343.1,52.81,True,False,False
CARD000053,CUST000080,PRD03,Credit Card,2024-01-06,12040.0,0.311,339.22,73.32,True,True,True
CARD000054,CUST000082,PRD03,Credit Card,2024-05-01,14010.0,0.453,75.0,17.13,True,False,False
CARD000055,CUST000082,PRD04,Debit Card,2023-11-27,0.0,,157.87,18.2,True,False,False
CARD000056,CUST000084,PRD03,Credit Card,2020-03-16,14410.0,0.132,25.51,81.89,True,False,False
CARD000057,CUST000088,PRD04,Debit Card,2024-10-26,0.0,,274.51,23.87,True,False,False
CARD000058,CUST000088,PRD03,Credit Card,2024-11-12,14180.0,0.635,498.94,18.38,True,False,False
CARD000059,CUST000090,PRD03,Credit Card,2018-10-07,4140.0,0.512,59.59,48.19,True,False,False
CARD000060,CUST000091,PRD03,Credit Card,2023-03-02,14830.0,0.312,98.43,31.1,True,True,False
CARD000061,CUST000093,PRD03,Credit Card,2021-10-09,11850.0,0.201,283.65,78.29,True,True,False
CARD000062,CUST000097,PRD03,Credit Card,2023-07-02,4210.0,0.199,73.43,45.61,True,True,False
CARD000063,CUST000098,PRD04,Debit Card,2020-10-01,0.0,,132.96,37.72,True,False,False
CARD000064,CUST000100,PRD03,Credit Card,2024-05-06,13780.0,0.236,92.58,51.92,True,True,False
CARD000065,CUST000101,PRD03,Credit Card,2022-01-12,5040.0,0.4,49.23,25.48,True,True,False
CARD000066,CUST000102,PRD03,Credit Card,2024-11-11,12690.0,0.068,11.21,23.73,True,True,False
CARD000067,CUST000103,PRD04,Debit Card,2023-01-07,0.0,,104.53,13.87,True,True,False
CARD000068,CUST000104,PRD04,Debit Card,2021-01-24,0.0,,231.83,59.71,True,True,False
CARD000069,CUST000106,PRD03,Credit Card,2019-09-30,10490.0,0.295,171.69,63.42,True,True,False
CARD000070,CUST000106,PRD04,Debit Card,2023-09-28,0.0,,225.43,42.03,True,False,False
CARD000071,CUST000109,PRD03,Credit Card,2022-04-14,4930.0,0.212,202.68,35.22,True,False,False
CARD000072,CUST000110,PRD04,Debit Card,2021-08-02,0.0,,152.89,60.04,True,False,False
CARD000073,CUST000116,PRD03,Credit Card,2024-10-21,13160.0,0.366,174.32,31.01,True,False,False
CARD000074,CUST000119,PRD04,Debit Card,2021-04-01,0.0,,239.61,22.37,True,False,False
CARD000075,CUST000120,PRD04,Debit Card,2023-12-12,0.0,,146.84,82.05,True,False,False
CARD000076,CUST000122,PRD03,Credit Card,2023-01-13,9640.0,0.228,225.55,85.4,True,False,True
CARD000077,CUST000125,PRD04,Debit Card,2024-06-10,0.0,,218.23,82.29,True,False,False
CARD000078,CUST000126,PRD03,Credit Card,2023-05-14,5690.0,0.536,164.5,62.7,True,False,False
CARD000079,CUST000127,PRD04,Debit Card,2024-09-03,0.0,,323.36,22.71,True,True,False
CARD000080,CUST000127,PRD03,Credit Card,2023-10-16,2300.0,0.22,40.76,75.37,True,True,False
CARD000081,CUST000129,PRD03,Credit Card,2020-12-12,10960.0,0.042,208.83,84.55,True,True,False
CARD000082,CUST000129,PRD04,Debit Card,2023-02-27,0.0,,228.59,34.64,True,False,False
CARD000083,CUST000131,PRD03,Credit Card,2018-07-06,9920.0,0.12,143.79,38.29,True,False,False
CARD000084,CUST000135,PRD03,Credit Card,2023-07-01,4620.0,0.534,73.84,63.24,True,False,False
CARD000085,CUST000137,PRD03,Credit Card,2024-11-16,5590.0,0.047,194.08,60.17,True,True,True
CARD000086,CUST000139,PRD03,Credit Card,2017-04-26,10150.0,0.083,230.4,28.89,True,True,True
CARD000087,CUST000143,PRD04,Debit Card,2023-08-23,0.0,,92.4,10.87,True,True,False
CARD000088,CUST000144,PRD04,Debit Card,2023-07-22,0.0,,90.46,14.89,True,True,False
CARD000089,CUST000147,PRD04,Debit Card,2022-06-07,0.0,,292.6,48.26,True,True,False
CARD000090,CUST000148,PRD04,Debit Card,2023-12-15,0.0,,250.86,12.51,True,True,False
CARD000091,CUST000150,PRD03,Credit Card,2022-07-15,7310.0,0.365,144.47,35.16,True,False,False
CARD000092,CUST000151,PRD04,Debit Card,2022-03-28,0.0,,396.59,56.09,True,False,False
CARD000093,CUST000154,PRD03,Credit Card,2019-08-07,9790.0,0.265,266.82,20.22,True,True,False
CARD000094,CUST000162,PRD03,Credit Card,2022-12-12,13940.0,0.259,33.83,19.59,True,False,False
CARD000095,CUST000163,PRD03,Credit Card,2024-08-10,9540.0,0.14,459.14,38.84,True,False,False
CARD000096,CUST000164,PRD03,Credit Card,2023-07-12,3340.0,0.225,105.62,77.06,True,True,False
CARD000097,CUST000164,PRD04,Debit Card,2023-12-17,0.0,,253.55,27.58,True,True,False
CARD000098,CUST000167,PRD03,Credit Card,2024-11-13,6640.0,0.047,207.79,78.23,True,False,False
CARD000099,CUST000168,PRD03,Credit Card,2019-09-09,10000.0,0.23,70.26,61.15,True,True,False
CARD000100,CUST000169,PRD03,Credit Card,2020-03-19,840.0,0.565,168.34,61.0,False,True,False
CARD000101,CUST000169,PRD04,Debit Card,2022-01-24,0.0,,206.24,57.03,True,False,False
CARD000102,CUST000171,PRD04,Debit Card,2022-01-23,0.0,,43.65,89.16,True,True,False
CARD000103,CUST000171,PRD03,Credit Card,2020-06-13,14030.0,0.11,470.24,48.07,True,True,True
CARD000104,CUST000172,PRD03,Credit Card,2023-10-23,4170.0,0.474,198.94,57.65,True,True,False
CARD000105,CUST000176,PRD03,Credit Card,2024-09-09,10540.0,0.153,185.41,71.76,True,False,False
CARD000106,CUST000177,PRD03,Credit Card,2021-02-18,3070.0,0.441,46.74,50.25,True,True,False
CARD000107,CUST000178,PRD04,Debit Card,2021-03-13,0.0,,269.94,33.13,True,False,False
CARD000108,CUST000179,PRD04,Debit Card,2022-01-29,0.0,,215.07,40.48,True,True,False
CARD000109,CUST000183,PRD03,Credit Card,2022-11-02,3010.0,0.489,111.43,49.32,True,True,False
CARD000110,CUST000184,PRD04,Debit Card,2022-02-05,0.0,,10.8,33.13,True,False,False
CARD000111,CUST000185,PRD03,Credit Card,2021-01-13,9720.0,0.21,117.54,85.92,True,True,False
CARD000112,CUST000188,PRD03,Credit Card,2022-12-03,7480.0,0.236,126.0,68.1,False,True,False
CARD000113,CUST000188,PRD04,Debit Card,2024-02-19,0.0,,169.69,33.97,True,False,False
CARD000114,CUST000189,PRD03,Credit Card,2022-06-24,6880.0,0.45,93.45,52.82,True,True,False
CARD000115,CUST000191,PRD03,Credit Card,2023-09-29,1720.0,0.542,252.97,56.79,True,False,False
CARD000116,CUST000192,PRD04,Debit Card,2023-08-26,0.0,,107.75,37.24,True,False,False
CARD000117,CUST000193,PRD04,Debit Card,2022-11-01,0.0,,315.23,40.44,True,True,False
CARD000118,CUST000196,PRD03,Credit Card,2021-10-21,8920.0,0.208,184.74,88.18,True,False,False
CARD000119,CUST000196,PRD04,Debit Card,2021-11-20,0.0,,263.0,33.27,True,False,False
CARD000120,CUST000197,PRD04,Debit Card,2023-10-20,0.0,,92.85,36.28,True,False,False
CARD000121,CUST000199,PRD04,Debit Card,2022-01-14,0.0,,22.84,67.37,True,False,False
CARD000122,CUST000201,PRD03,Credit Card,2024-04-08,4890.0,0.292,96.21,23.46,True,False,False
CARD000123,CUST000204,PRD03,Credit Card,2022-12-01,8590.0,0.256,315.97,80.54,True,True,False
CARD000124,CUST000208,PRD03,Credit Card,2024-09-11,9810.0,0.318,285.15,26.2,True,False,False
CARD000125,CUST000212,PRD03,Credit Card,2024-05-26,11130.0,0.555,125.37,38.39,True,False,False
CARD000126,CUST000212,PRD04,Debit Card,2021-04-28,0.0,,108.02,49.57,True,True,False
CARD000127,CUST000217,PRD04,Debit Card,2022-02-10,0.0,,57.37,11.4,True,True,False
CARD000128,CUST000218,PRD03,Credit Card,2022-03-21,11110.0,0.484,195.14,51.2,True,False,False
CARD000129,CUST000219,PRD03,Credit Card,2023-07-30,9500.0,0.681,451.5,41.92,True,True,False
CARD000130,CUST000222,PRD03,Credit Card,2024-10-08,2530.0,0.315,56.71,46.63,True,False,False
CARD000131,CUST000223,PRD04,Debit Card,2019-05-22,0.0,,142.82,71.25,True,True,False
CARD000132,CUST000225,PRD03,Credit Card,2023-10-07,1940.0,0.408,297.91,10.0,False,True,False
CARD000133,CUST000227,PRD03,Credit Card,2021-03-10,12120.0,0.309,227.7,18.19,True,True,False
CARD000134,CUST000229,PRD04,Debit Card,2024-08-09,0.0,,155.72,47.08,True,True,False
CARD000135,CUST000229,PRD03,Credit Card,2022-05-01,11690.0,0.146,117.88,54.97,True,False,False
CARD000136,CUST000230,PRD04,Debit Card,2018-01-21,0.0,,480.61,78.56,True,True,False
CARD000137,CUST000232,PRD04,Debit Card,2024-04-05,0.0,,137.84,49.48,True,False,False
CARD000138,CUST000238,PRD03,Credit Card,2021-09-30,4880.0,0.495,80.97,15.56,True,False,False
CARD000139,CUST000243,PRD03,Credit Card,2022-04-09,1660.0,0.6,242.26,32.86,True,True,False
CARD000140,CUST000244,PRD04,Debit Card,2021-11-12,0.0,,121.53,54.79,False,True,False
CARD000141,CUST000246,PRD03,Credit Card,2023-12-12,12250.0,0.588,424.14,24.21,True,False,False
CARD000142,CUST000248,PRD04,Debit Card,2022-03-19,0.0,,291.9,86.54,True,True,False
CARD000143,CUST000249,PRD03,Credit Card,2022-12-24,960.0,0.256,208.65,59.75,True,True,False
CARD000144,CUST000250,PRD03,Credit Card,2020-10-01,14390.0,0.049,147.01,52.7,False,True,False
CARD000145,CUST000251,PRD03,Credit Card,2021-03-18,11190.0,0.348,236.61,41.77,True,True,False
CARD000146,CUST000252,PRD04,Debit Card,2024-02-09,0.0,,62.64,48.39,True,False,False
CARD000147,CUST000253,PRD03,Credit Card,2024-06-04,8130.0,0.386,385.84,37.66,True,True,False
CARD000148,CUST000255,PRD03,Credit Card,2023-04-19,10660.0,0.469,139.35,16.77,True,False,False
CARD000149,CUST000256,PRD04,Debit Card,2023-06-23,0.0,,91.08,27.34,True,True,False
CARD000150,CUST000258,PRD03,Credit Card,2024-09-25,5720.0,0.553,286.04,53.61,True,True,False
CARD000151,CUST000259,PRD04,Debit Card,2021-06-01,0.0,,285.3,25.78,False,True,False
CARD000152,CUST000262,PRD03,Credit Card,2024-06-03,10410.0,0.146,233.24,18.2,True,False,True
CARD000153,CUST000265,PRD04,Debit Card,2017-10-24,0.0,,199.16,24.81,True,True,False
CARD000154,CUST000266,PRD03,Credit Card,2024-04-02,3630.0,0.319,339.59,30.3,True,True,False
CARD000155,CUST000268,PRD03,Credit Card,2024-05-14,780.0,0.221,113.65,43.73,True,True,True
CARD000156,CUST000268,PRD04,Debit Card,2024-04-18,0.0,,255.72,70.84,True,True,False
CARD000157,CUST000269,PRD03,Credit Card,2022-03-10,11380.0,0.476,425.46,69.23,True,False,False
CARD000158,CUST000269,PRD04,Debit Card,2024-11-28,0.0,,119.32,23.12,True,True,False
CARD000159,CUST000271,PRD03,Credit Card,2022-07-29,3720.0,0.265,381.68,71.7,True,True,False
CARD000160,CUST000272,PRD04,Debit Card,2021-07-22,0.0,,243.54,24.62,True,True,False
CARD000161,CUST000272,PRD03,Credit Card,2024-02-20,5720.0,0.689,129.07,80.59,True,True,False
CARD000162,CUST000277,PRD04,Debit Card,2023-10-06,0.0,,100.37,31.04,True,True,False
CARD000163,CUST000279,PRD03,Credit Card,2023-07-19,13220.0,0.407,484.81,84.2,True,True,False
CARD000164,CUST000281,PRD03,Credit Card,2023-01-23,2380.0,0.599,39.77,54.37,True,False,False
CARD000165,CUST000282,PRD04,Debit Card,2024-10-24,0.0,,369.35,84.56,True,True,False
CARD000166,CUST000286,PRD03,Credit Card,2020-08-13,11450.0,0.106,206.33,73.2,True,False,False
CARD000167,CUST000288,PRD04,Debit Card,2019-11-17,0.0,,229.52,13.89,True,False,False
CARD000168,CUST000289,PRD04,Debit Card,2022-11-23,0.0,,114.19,87.15,True,True,False
CARD000169,CUST000291,PRD04,Debit Card,2024-07-10,0.0,,194.95,82.82,True,True,False
CARD000170,CUST000292,PRD04,Debit Card,2024-06-14,0.0,,117.3,89.99,True,False,False
CARD000171,CUST000294,PRD04,Debit Card,2024-12-29,0.0,,337.7,77.31,True,True,False
CARD000172,CUST000295,PRD03,Credit Card,2023-05-15,12530.0,0.638,51.65,62.49,True,False,False
CARD000173,CUST000296,PRD03,Credit Card,2021-07-08,12600.0,0.2,78.51,37.64,True,False,False
CARD000174,CUST000297,PRD04,Debit Card,2024-08-02,0.0,,106.93,42.93,True,True,False
CARD000175,CUST000298,PRD03,Credit Card,2021-11-26,1730.0,0.593,379.32,26.67,True,True,False
CARD000176,CUST000299,PRD03,Credit Card,2024-06-18,4380.0,0.257,214.67,73.92,True,False,False
CARD000177,CUST000301,PRD03,Credit Card,2023-02-17,10010.0,0.186,206.29,24.38,True,True,False
CARD000178,CUST000301,PRD04,Debit Card,2018-08-07,0.0,,189.25,85.49,False,False,False
CARD000179,CUST000302,PRD03,Credit Card,2019-07-21,6260.0,0.012,584.38,89.72,True,True,False
CARD000180,CUST000303,PRD03,Credit Card,2023-10-11,13760.0,0.52,160.78,61.09,True,True,False
CARD000181,CUST000304,PRD03,Credit Card,2017-06-28,1460.0,0.159,110.74,28.55,True,True,False
CARD000182,CUST000306,PRD04,Debit Card,2018-12-10,0.0,,232.36,9.27,True,True,False
CARD000183,CUST000307,PRD04,Debit Card,2024-01-14,0.0,,152.4,33.27,True,False,False
CARD000184,CUST000309,PRD04,Debit Card,2023-04-23,0.0,,502.67,57.93,True,False,False
CARD000185,CUST000312,PRD03,Credit Card,2021-08-21,12010.0,0.177,122.87,75.66,True,True,False
CARD000186,CUST000316,PRD03,Credit Card,2021-11-23,11980.0,0.352,381.53,49.78,True,False,False
CARD000187,CUST000316,PRD04,Debit Card,2023-02-23,0.0,,232.19,88.73,True,True,False
CARD000188,CUST000318,PRD03,Credit Card,2024-01-10,6440.0,0.618,105.61,18.47,True,False,False
CARD000189,CUST000319,PRD03,Credit Card,2023-09-30,4050.0,0.32,181.56,66.78,True,False,False
CARD000190,CUST000320,PRD03,Credit Card,2024-12-27,10400.0,0.121,148.71,41.53,True,True,False
CARD000191,CUST000321,PRD04,Debit Card,2023-11-09,0.0,,156.65,38.37,True,True,False
CARD000192,CUST000323,PRD03,Credit Card,2021-08-17,6220.0,0.29,118.63,63.03,True,False,True
CARD000193,CUST000323,PRD04,Debit Card,2022-01-27,0.0,,123.35,62.86,True,True,False
CARD000194,CUST000324,PRD04,Debit Card,2021-09-02,0.0,,294.92,40.22,True,False,False
CARD000195,CUST000324,PRD03,Credit Card,2023-05-04,11770.0,0.599,287.72,12.81,True,True,False
CARD000196,CUST000326,PRD04,Debit Card,2022-01-20,0.0,,162.18,59.57,True,False,False
CARD000197,CUST000327,PRD04,Debit Card,2019-09-13,0.0,,206.28,40.93,True,True,False
CARD000198,CUST000328,PRD04,Debit Card,2020-03-24,0.0,,104.08,86.24,True,True,False
CARD000199,CUST000329,PRD04,Debit Card,2024-06-07,0.0,,355.11,22.15,True,True,False
CARD000200,CUST000332,PRD03,Credit Card,2022-10-26,1270.0,0.269,111.42,89.51,True,True,True
CARD000201,CUST000333,PRD03,Credit Card,2019-09-05,14080.0,0.25,74.18,47.04,True,False,False
CARD000202,CUST000335,PRD04,Debit Card,2024-08-08,0.0,,121.43,43.03,True,True,False
CARD000203,CUST000336,PRD03,Credit Card,2023-04-21,9800.0,0.124,62.34,8.88,True,False,False
CARD000204,CUST000337,PRD04,Debit Card,2024-12-21,0.0,,202.82,54.88,True,False,False
CARD000205,CUST000339,PRD03,Credit Card,2021-12-05,12900.0,0.678,114.68,62.11,True,True,False
CARD000206,CUST000343,PRD03,Credit Card,2024-08-20,9100.0,0.173,115.12,28.69,True,True,False
CARD000207,CUST000343,PRD04,Debit Card,2024-10-13,0.0,,132.63,62.67,True,True,False
CARD000208,CUST000345,PRD03,Credit Card,2023-11-12,13470.0,0.38,134.15,16.54,True,True,False
CARD000209,CUST000346,PRD04,Debit Card,2021-04-24,0.0,,177.05,73.66,True,True,False
CARD000210,CUST000350,PRD03,Credit Card,2024-04-03,13440.0,0.06,109.44,86.51,True,False,True
CARD000211,CUST000351,PRD03,Credit Card,2024-05-28,10510.0,0.159,213.74,28.76,False,True,False
CARD000212,CUST000353,PRD03,Credit Card,2024-09-16,12750.0,0.374,50.53,30.59,True,True,False
CARD000213,CUST000354,PRD03,Credit Card,2023-10-17,3480.0,0.096,170.69,32.08,True,False,False
CARD000214,CUST000357,PRD04,Debit Card,2022-11-15,0.0,,606.19,85.04,True,False,False
CARD000215,CUST000360,PRD03,Credit Card,2023-05-22,580.0,0.157,225.67,34.87,False,False,False
CARD000216,CUST000361,PRD04,Debit Card,2023-04-30,0.0,,251.98,42.84,True,True,False
CARD000217,CUST000363,PRD04,Debit Card,2021-10-23,0.0,,81.34,68.4,True,False,False
CARD000218,CUST000365,PRD03,Credit Card,2021-07-25,690.0,0.227,121.33,16.61,True,False,False
CARD000219,CUST000365,PRD04,Debit Card,2023-09-10,0.0,,179.88,80.02,True,True,False
CARD000220,CUST000366,PRD03,Credit Card,2019-09-11,6250.0,0.285,125.23,20.8,True,False,False
CARD000221,CUST000366,PRD04,Debit Card,2022-07-09,0.0,,84.07,59.25,False,True,False
CARD000222,CUST000374,PRD04,Debit Card,2024-06-01,0.0,,193.44,19.46,True,False,False
CARD000223,CUST000375,PRD03,Credit Card,2021-04-20,8760.0,0.466,286.19,49.93,True,False,False
CARD000224,CUST000376,PRD04,Debit Card,2022-02-07,0.0,,124.34,23.42,False,False,False
CARD000225,CUST000377,PRD04,Debit Card,2021-10-27,0.0,,297.62,10.74,True,True,False
CARD000226,CUST000378,PRD04,Debit Card,2024-05-13,0.0,,373.55,12.67,True,False,False
CARD000227,CUST000379,PRD03,Credit Card,2022-11-15,2570.0,0.334,345.11,29.97,True,True,False
CARD000228,CUST000379,PRD04,Debit Card,2024-05-15,0.0,,193.98,77.35,True,True,False
CARD000229,CUST000383,PRD04,Debit Card,2020-12-26,0.0,,190.31,47.29,True,True,False
CARD000230,CUST000386,PRD04,Debit Card,2022-03-11,0.0,,89.17,50.57,True,False,False
CARD000231,CUST000387,PRD03,Credit Card,2024-06-12,10380.0,0.265,174.42,47.87,True,False,False
CARD000232,CUST000388,PRD03,Credit Card,2021-08-08,2730.0,0.626,91.13,53.3,True,True,False
CARD000233,CUST000388,PRD04,Debit Card,2024-04-27,0.0,,521.8,50.98,True,True,False
CARD000234,CUST000389,PRD04,Debit Card,2022-11-30,0.0,,147.3,28.12,True,True,False
CARD000235,CUST000390,PRD03,Credit Card,2024-01-22,8510.0,0.258,101.0,86.72,True,False,False
CARD000236,CUST000392,PRD03,Credit Card,2024-03-21,3070.0,0.634,203.72,48.63,True,True,False
CARD000237,CUST000393,PRD04,Debit Card,2023-04-24,0.0,,277.61,80.08,True,False,False
CARD000238,CUST000397,PRD03,Credit Card,2024-10-07,8790.0,0.17,33.79,64.66,True,True,False
CARD000239,CUST000398,PRD03,Credit Card,2024-02-26,12330.0,0.495,45.37,67.1,True,False,False
CARD000240,CUST000399,PRD03,Credit Card,2022-08-11,3190.0,0.309,57.71,68.75,True,True,False
CARD000241,CUST000400,PRD03,Credit Card,2023-07-16,10360.0,0.271,140.37,32.92,True,True,True
CARD000242,CUST000405,PRD04,Debit Card,2023-01-19,0.0,,386.12,40.5,True,False,False
CARD000243,CUST000409,PRD03,Credit Card,2024-09-24,10210.0,0.517,231.42,79.45,True,True,False
CARD000244,CUST000409,PRD04,Debit Card,2024-08-22,0.0,,279.57,80.58,True,True,False
CARD000245,CUST000413,PRD04,Debit Card,2024-11-29,0.0,,367.6,77.25,True,False,False
CARD000246,CUST000416,PRD04,Debit Card,2020-09-04,0.0,,62.52,85.28,True,True,False
CARD000247,CUST000420,PRD03,Credit Card,2021-04-15,8460.0,0.364,203.61,48.03,True,False,False
CARD000248,CUST000420,PRD04,Debit Card,2022-11-12,0.0,,83.87,47.79,True,True,False
CARD000249,CUST000425,PRD03,Credit Card,2024-10-04,12500.0,0.317,127.86,21.44,True,False,False
CARD000250,CUST000429,PRD04,Debit Card,2019-03-30,0.0,,45.01,57.85,True,False,False
CARD000251,CUST000433,PRD04,Debit Card,2018-01-27,0.0,,148.07,21.48,True,False,False
CARD000252,CUST000436,PRD04,Debit Card,2024-11-11,0.0,,461.25,46.37,True,True,False
CARD000253,CUST000438,PRD03,Credit Card,2024-05-11,12270.0,0.223,106.94,12.57,True,True,False
CARD000254,CUST000440,PRD03,Credit Card,2024-02-18,1120.0,0.252,129.05,38.19,True,True,False
CARD000255,CUST000441,PRD04,Debit Card,2024-06-22,0.0,,326.32,80.33,True,True,False
CARD000256,CUST000441,PRD03,Credit Card,2024-07-13,10620.0,0.872,102.3,81.49,True,True,False
CARD000257,CUST000443,PRD03,Credit Card,2023-10-06,7210.0,0.436,412.43,46.44,True,False,False
CARD000258,CUST000447,PRD03,Credit Card,2021-11-09,9560.0,0.141,551.22,82.95,True,False,False
CARD000259,CUST000452,PRD04,Debit Card,2024-08-10,0.0,,44.89,88.93,False,False,False
CARD000260,CUST000453,PRD03,Credit Card,2022-07-11,9190.0,0.486,271.94,34.44,True,False,False
CARD000261,CUST000454,PRD03,Credit Card,2024-12-09,2820.0,0.447,185.91,84.91,True,True,False
CARD000262,CUST000455,PRD04,Debit Card,2024-02-01,0.0,,158.19,14.68,True,True,False
CARD000263,CUST000457,PRD03,Credit Card,2020-05-21,1960.0,0.474,110.76,56.46,True,False,False
CARD000264,CUST000460,PRD03,Credit Card,2024-08-26,9810.0,0.136,70.41,10.94,True,False,False
CARD000265,CUST000464,PRD04,Debit Card,2018-07-10,0.0,,130.57,77.87,True,True,False
CARD000266,CUST000466,PRD03,Credit Card,2024-10-09,1730.0,0.49,370.78,23.45,True,True,False
CARD000267,CUST000467,PRD03,Credit Card,2019-12-16,8470.0,0.664,176.58,40.76,True,True,False
CARD000268,CUST000469,PRD04,Debit Card,2020-02-01,0.0,,104.63,71.48,True,True,False
CARD000269,CUST000471,PRD04,Debit Card,2024-12-25,0.0,,41.48,38.94,True,True,False
CARD000270,CUST000472,PRD03,Credit Card,2023-10-17,14290.0,0.191,98.63,17.9,True,True,False
