fraud_id,customer_id,event_date,fraud_category,channel,amount_at_risk,loss_amount,detected_flag,false_positive_flag,region
FRD00030,CUST006657,2024-03-13,Card Fraud,Branch,1149.4,82.2,True,False,Region-03
FRD00031,CUST001226,2024-04-17,Card Fraud,Online Banking,324.62,111.83,True,False,Region-04
FRD00032,CUST013687,2023-04-27,Card Fraud,ATM,286.82,586.87,False,False,Region-03
FRD00033,CUST002977,2024-04-09,Suspicious Transfer,Branch,51.08,8.9,True,False,Region-03
FRD00034,CUST003124,2023-09-06,ATM Fraud,Card Network,500.5,88.73,True,False,Region-04
FRD00035,CUST001988,2023-12-12,Suspicious Transfer,Branch,1598.68,888.28,False,False,Region-03
FRD00036,CUST017777,2024-12-11,Unusual Transaction Pattern,Branch,514.59,554.72,False,False,Region-06
FRD00037,CUST018588,2024-04-11,Identity-related Anomaly,Mobile App,314.23,69.75,True,False,Region-12
FRD00038,CUST018668,2024-03-09,Unusual Transaction Pattern,ATM,1744.82,35.66,True,False,Region-02
FRD00039,CUST003236,2023-08-03,Unusual Transaction Pattern,Online Banking,133.81,14.92,True,False,Region-05
FRD00040,CUST019507,2024-02-09,Suspicious Transfer,Mobile App,472.55,47.51,True,False,Region-09
FRD00041,CUST016189,2023-12-22,Unusual Transaction Pattern,Branch,485.41,92.6,True,False,Region-08
FRD00042,CUST006639,2024-08-29,Account Takeover,Branch,258.91,18.43,True,False,Region-04
FRD00043,CUST015963,2023-05-24,Card Fraud,Branch,128.05,235.89,True,False,Region-04
FRD00044,CUST004423,2023-10-01,Unusual Transaction Pattern,Online Banking,400.38,90.13,True,False,Region-01
FRD00045,CUST016203,2023-09-18,Card Fraud,ATM,167.63,70.4,True,False,Region-03
FRD00046,CUST014451,2024-12-16,Card Fraud,Mobile App,140.66,24.58,True,False,Region-11
FRD00047,CUST002388,2023-09-05,Card Fraud,Branch,1912.53,23.28,True,False,Region-02
FRD00048,CUST019122,2024-12-02,Card Fraud,Branch,127.12,38.16,True,False,Region-03
FRD00049,CUST002190,2023-07-21,Card Fraud,Branch,51.25,474.11,False,True,Region-02
FRD00050,CUST014051,2024-01-28,Card Fraud,Card Network,392.83,45.24,True,False,Region-09
FRD00051,CUST014898,2023-01-29,Suspicious Transfer,Card Network,726.58,86.97,True,False,Region-11
FRD00052,CUST000193,2023-11-28,ATM Fraud,Mobile App,31.96,154.53,True,False,Region-01
FRD00053,CUST015612,2023-04-07,Identity-related Anomaly,Branch,633.93,22.85,True,False,Region-07
FRD00054,CUST017830,2023-03-10,Unusual Transaction Pattern,Branch,339.68,31.79,True,False,Region-11
FRD00055,CUST015187,2024-04-16,Card Fraud,Branch,987.47,31.59,True,False,Region-09
FRD00056,CUST001035,2024-08-24,ATM Fraud,Mobile App,205.5,621.69,False,False,Region-08
FRD00057,CUST011493,2023-12-11,Suspicious Transfer,Card Network,521.58,42.71,True,False,Region-02
FRD00058,CUST000484,2023-02-06,ATM Fraud,Branch,2451.59,15.09,True,False,Region-04
FRD00059,CUST010913,2024-12-03,Suspicious Transfer,ATM,206.29,1228.17,False,False,Region-03
FRD00060,CUST004907,2023-10-31,Card Fraud,ATM,289.91,213.15,True,False,Region-05
FRD00061,CUST003265,2023-12-09,ATM Fraud,Mobile App,114.55,65.33,True,False,Region-05
FRD00062,CUST001706,2024-11-02,Card Fraud,Branch,324.47,108.29,True,False,Region-05
FRD00063,CUST009199,2023-07-04,Account Takeover,ATM,366.63,27.59,True,False,Region-07
FRD00064,CUST000710,2024-09-10,Card Fraud,ATM,481.16,1.13,True,False,Region-11
FRD00065,CUST016853,2023-09-03,Suspicious Transfer,ATM,216.22,13.5,True,False,Region-07
FRD00066,CUST007201,2024-08-13,Account Takeover,Mobile App,499.71,155.19,True,False,Region-10
FRD00067,CUST001996,2024-11-26,Suspicious Transfer,Card Network,851.18,101.92,True,False,Region-12
FRD00068,CUST009568,2023-09-26,Suspicious Transfer,Mobile App,326.74,458.6,False,False,Region-04
FRD00069,CUST010284,2024-10-27,Unusual Transaction Pattern,Mobile App,280.83,177.12,True,False,Region-11
FRD00070,CUST017391,2024-03-28,Suspicious Transfer,ATM,469.98,26.47,True,False,Region-11
FRD00071,CUST007410,2023-04-25,Card Fraud,ATM,611.94,207.31,True,False,Region-03
FRD00072,CUST018695,2024-08-01,Suspicious Transfer,Mobile App,304.44,26.33,True,False,Region-11
FRD00073,CUST015773,2023-11-21,Card Fraud,Mobile App,636.3,38.58,True,False,Region-04
FRD00074,CUST015913,2024-08-23,Suspicious Transfer,Mobile App,337.05,508.0,False,True,Region-11
FRD00075,CUST013134,2023-08-31,ATM Fraud,ATM,351.44,10.49,True,False,Region-02
FRD00076,CUST014348,2024-07-29,Card Fraud,Online Banking,322.41,24.3,True,False,Region-09
FRD00077,CUST013091,2023-12-07,Suspicious Transfer,Branch,363.17,38.83,True,False,Region-11
FRD00078,CUST005322,2023-08-01,Card Fraud,Branch,308.58,2029.54,False,False,Region-02
FRD00079,CUST002673,2023-06-09,Identity-related Anomaly,Branch,1265.1,239.72,True,False,Region-11
FRD00080,CUST005726,2024-08-13,ATM Fraud,Online Banking,69.31,45.31,True,False,Region-01
FRD00081,CUST016387,2023-06-05,Suspicious Transfer,Online Banking,233.39,19.47,True,False,Region-09
FRD00082,CUST002360,2023-08-30,Card Fraud,Card Network,843.13,9.53,True,False,Region-04
FRD00083,CUST001695,2024-11-14,Card Fraud,Mobile App,868.17,156.25,False,False,Region-08
FRD00084,CUST017916,2023-04-16,Card Fraud,Card Network,1226.53,19.29,True,False,Region-02
FRD00085,CUST014026,2023-11-03,Suspicious Transfer,ATM,429.56,176.17,True,False,Region-07
FRD00086,CUST013275,2024-10-24,Card Fraud,Online Banking,1121.73,110.67,True,False,Region-06
FRD00087,CUST008211,2024-12-30,Identity-related Anomaly,Online Banking,256.8,109.4,True,False,Region-08
FRD00088,CUST018028,2023-07-20,Account Takeover,Mobile App,972.7,85.57,True,False,Region-12
FRD00089,CUST012416,2023-04-25,Card Fraud,Branch,912.36,230.28,True,False,Region-03
FRD00090,CUST002989,2023-05-15,Suspicious Transfer,ATM,843.68,11.47,True,False,Region-04
FRD00091,CUST001298,2024-03-10,Suspicious Transfer,Online Banking,978.55,38.57,True,False,Region-09
FRD00092,CUST017736,2024-10-21,Card Fraud,ATM,111.24,56.46,True,False,Region-01
FRD00093,CUST000378,2023-08-08,Card Fraud,Online Banking,372.05,172.24,True,False,Region-12
FRD00094,CUST010550,2023-01-09,Account Takeover,Card Network,367.26,1.45,True,False,Region-03
FRD00095,CUST010821,2023-10-21,Unusual Transaction Pattern,ATM,1009.5,44.21,True,False,Region-02
FRD00096,CUST008376,2023-06-30,Suspicious Transfer,ATM,1015.13,60.27,True,False,Region-01
FRD00097,CUST012701,2023-05-30,Card Fraud,Branch,451.18,151.43,True,False,Region-05
FRD00098,CUST014924,2024-04-20,Card Fraud,Online Banking,662.99,80.7,True,False,Region-11
FRD00099,CUST012642,2023-12-29,Card Fraud,Mobile App,139.64,20.83,True,False,Region-11
FRD00100,CUST003247,2023-03-20,Suspicious Transfer,Branch,185.68,53.69,True,False,Region-04
FRD00101,CUST014935,2024-08-20,Card Fraud,ATM,307.01,159.81,True,False,Region-10
FRD00102,CUST009920,2024-07-04,Identity-related Anomaly,ATM,418.34,42.14,True,False,Region-07
FRD00103,CUST007034,2024-01-23,Account Takeover,Mobile App,278.07,6.26,True,False,Region-03
FRD00104,CUST009447,2023-06-27,Card Fraud,ATM,774.75,8.89,True,False,Region-02
FRD00105,CUST017723,2024-03-01,Suspicious Transfer,ATM,88.84,207.25,True,False,Region-11
FRD00106,CUST019075,2023-01-09,Card Fraud,Online Banking,946.52,443.8,True,False,Region-07
FRD00107,CUST001342,2024-12-22,Identity-related Anomaly,Branch,310.74,19.28,True,False,Region-04
FRD00108,CUST001849,2024-08-30,Identity-related Anomaly,Mobile App,222.88,3.4,True,False,Region-09
FRD00109,CUST004590,2023-08-10,Card Fraud,Online Banking,292.12,16.0,True,False,Region-07
FRD00110,CUST019670,2024-06-28,ATM Fraud,Online Banking,438.64,75.51,True,False,Region-01
FRD00111,CUST006230,2024-12-12,Card Fraud,Online Banking,63.39,42.12,True,False,Region-01
FRD00112,CUST017515,2024-04-16,Account Takeover,Branch,2447.77,153.46,True,False,Region-05
FRD00113,CUST017499,2024-01-25,Identity-related Anomaly,Online Banking,1753.64,42.28,True,False,Region-04
FRD00114,CUST004860,2024-06-20,Identity-related Anomaly,Mobile App,238.93,67.15,True,False,Region-06
FRD00115,CUST018256,2023-08-01,Card Fraud,Card Network,702.38,474.41,False,True,Region-03
FRD00116,CUST011856,2024-04-05,ATM Fraud,Card Network,423.31,6.37,True,False,Region-07
FRD00117,CUST001803,2023-11-26,Card Fraud,Mobile App,186.95,24.24,True,False,Region-01
FRD00118,CUST013896,2024-03-02,Unusual Transaction Pattern,Online Banking,355.61,5.56,True,False,Region-02
FRD00119,CUST013675,2023-05-13,Card Fraud,Card Network,707.72,84.11,True,False,Region-07
FRD00120,CUST016090,2024-06-10,Suspicious Transfer,Card Network,154.83,61.62,True,False,Region-09
FRD00121,CUST018169,2024-12-20,Identity-related Anomaly,ATM,840.95,1.72,True,False,Region-06
FRD00122,CUST003992,2024-05-18,Account Takeover,ATM,477.93,47.17,True,False,Region-12
FRD00123,CUST012205,2024-03-02,Suspicious Transfer,Branch,522.53,832.31,False,True,Region-05
FRD00124,CUST013024,2023-05-12,Card Fraud,Branch,149.71,120.06,True,False,Region-09
FRD00125,CUST004330,2024-12-21,Identity-related Anomaly,Card Network,126.94,35.2,True,False,Region-07
FRD00126,CUST003452,2023-03-18,ATM Fraud,Branch,222.05,276.56,True,False,Region-04
FRD00127,CUST014135,2023-06-29,Identity-related Anomaly,Branch,1273.26,68.85,True,False,Region-11
FRD00128,CUST005363,2023-11-12,Card Fraud,Online Banking,371.41,12.08,True,False,Region-10
FRD00129,CUST014508,2023-06-27,Identity-related Anomaly,ATM,251.4,258.06,True,False,Region-07
FRD00130,CUST009567,2024-03-18,Card Fraud,Card Network,327.13,608.66,False,False,Region-03
FRD00131,CUST006025,2024-09-14,Unusual Transaction Pattern,Branch,410.01,37.13,True,False,Region-07
FRD00132,CUST003547,2024-12-20,Unusual Transaction Pattern,Card Network,487.48,53.24,True,False,Region-11
FRD00133,CUST000461,2024-01-16,Unusual Transaction Pattern,Online Banking,1167.1,35.38,True,False,Region-10
FRD00134,CUST017657,2023-10-28,Account Takeover,ATM,812.89,263.15,False,False,Region-07
FRD00135,CUST019479,2024-02-03,Unusual Transaction Pattern,ATM,327.96,77.01,True,False,Region-10
FRD00136,CUST000224,2023-04-23,Suspicious Transfer,Card Network,1004.74,41.8,True,False,Region-03
FRD00137,CUST002243,2023-08-28,Suspicious Transfer,ATM,466.3,11.65,True,False,Region-07
FRD00138,CUST015039,2024-01-11,Suspicious Transfer,Branch,705.36,200.43,False,False,Region-08
FRD00139,CUST019263,2023-07-21,Suspicious Transfer,Mobile App,542.09,307.54,False,True,Region-12
FRD00140,CUST016249,2023-07-30,Suspicious Transfer,Online Banking,919.13,16.86,True,False,Region-03
FRD00141,CUST001320,2024-03-28,Card Fraud,Branch,479.86,48.23,True,False,Region-01
FRD00142,CUST005919,2024-04-01,Account Takeover,Card Network,208.18,85.55,True,False,Region-09
FRD00143,CUST010526,2023-10-20,Unusual Transaction Pattern,Online Banking,972.79,41.14,True,False,Region-05
FRD00144,CUST006695,2024-10-09,ATM Fraud,Branch,464.99,208.04,True,False,Region-02
FRD00145,CUST016755,2024-09-30,ATM Fraud,Card Network,1579.89,88.95,True,False,Region-11
FRD00146,CUST007647,2024-08-22,Suspicious Transfer,Online Banking,841.81,15.08,True,False,Region-12
FRD00147,CUST014963,2024-06-14,Card Fraud,Online Banking,324.64,248.44,True,False,Region-05
FRD00148,CUST008169,2024-07-19,Suspicious Transfer,Branch,805.64,37.87,True,False,Region-12
FRD00149,CUST007214,2024-03-12,Suspicious Transfer,Mobile App,1265.4,948.79,False,False,Region-01
FRD00150,CUST015352,2024-04-21,Account Takeover,ATM,833.97,5.23,True,False,Region-05
FRD00151,CUST018858,2024-11-22,Card Fraud,Mobile App,423.49,97.85,True,False,Region-02
FRD00152,CUST010476,2023-04-21,Card Fraud,ATM,866.67,24.24,True,False,Region-02
FRD00153,CUST012540,2023-07-19,ATM Fraud,Mobile App,135.98,269.4,True,False,Region-11
FRD00154,CUST004893,2023-11-07,ATM Fraud,Card Network,1756.04,55.52,True,False,Region-10
FRD00155,CUST013572,2023-07-01,Card Fraud,Branch,462.62,111.95,True,False,Region-07
FRD00156,CUST004289,2024-09-30,Suspicious Transfer,Mobile App,393.32,34.43,True,False,Region-02
FRD00157,CUST000352,2023-05-13,Card Fraud,Online Banking,356.22,137.24,True,False,Region-01
FRD00158,CUST014954,2023-09-02,ATM Fraud,Mobile App,657.27,15.7,True,False,Region-02
FRD00159,CUST017121,2023-09-23,Unusual Transaction Pattern,Card Network,211.79,109.84,True,False,Region-11
FRD00160,CUST012315,2024-07-01,ATM Fraud,Mobile App,525.02,28.16,True,False,Region-09
FRD00161,CUST019888,2024-06-26,ATM Fraud,ATM,338.15,19.1,True,False,Region-05
FRD00162,CUST015043,2024-01-01,Unusual Transaction Pattern,Online Banking,724.92,80.18,True,False,Region-07
FRD00163,CUST013436,2024-05-30,Card Fraud,Card Network,979.13,28.91,True,False,Region-03
FRD00164,CUST018044,2023-05-03,Account Takeover,Mobile App,745.86,75.6,True,False,Region-10
FRD00165,CUST000990,2024-11-11,Unusual Transaction Pattern,ATM,669.09,120.97,True,False,Region-01
FRD00166,CUST006156,2024-03-03,Account Takeover,Branch,351.77,17.9,True,False,Region-06
FRD00167,CUST013836,2024-05-30,Unusual Transaction Pattern,Branch,549.33,117.14,True,False,Region-02
FRD00168,CUST016438,2023-07-03,Unusual Transaction Pattern,Card Network,1555.92,54.45,True,False,Region-03
FRD00169,CUST002057,2023-08-08,Card Fraud,ATM,479.1,125.15,False,False,Region-02
FRD00170,CUST012713,2023-11-16,Card Fraud,Online Banking,636.91,32.48,True,False,Region-12
FRD00171,CUST019550,2023-09-23,Card Fraud,Online Banking,1364.82,64.6,False,False,Region-07
FRD00172,CUST008359,2023-10-29,Card Fraud,ATM,949.57,40.02,True,False,Region-05
FRD00173,CUST016993,2024-03-28,Suspicious Transfer,Mobile App,674.1,60.88,True,False,Region-11
FRD00174,CUST004875,2024-04-28,Suspicious Transfer,Card Network,899.24,96.44,True,False,Region-04
FRD00175,CUST011150,2024-08-31,Card Fraud,Branch,1683.03,125.27,True,False,Region-02
FRD00176,CUST003886,2023-10-11,Card Fraud,Card Network,690.09,102.77,True,False,Region-08
FRD00177,CUST003063,2024-12-02,Unusual Transaction Pattern,Mobile App,518.01,35.28,True,False,Region-09
FRD00178,CUST008453,2024-08-16,ATM Fraud,Card Network,1991.4,97.01,True,False,Region-04
FRD00179,CUST007280,2023-01-28,Suspicious Transfer,Mobile App,716.7,141.96,True,False,Region-02
FRD00180,CUST016549,2024-12-28,Card Fraud,Card Network,1221.26,121.0,True,False,Region-07
FRD00181,CUST005065,2023-09-19,Card Fraud,Online Banking,93.17,249.63,True,False,Region-11
FRD00182,CUST016451,2024-06-01,Account Takeover,Mobile App,88.04,411.31,False,True,Region-10
FRD00183,CUST010135,2023-11-09,Card Fraud,ATM,962.35,76.42,True,False,Region-03
FRD00184,CUST012155,2024-09-04,Card Fraud,Card Network,1195.08,257.1,True,False,Region-10
FRD00185,CUST002426,2024-09-03,Card Fraud,ATM,401.19,48.45,True,False,Region-07
FRD00186,CUST000893,2023-11-18,Card Fraud,Card Network,276.76,1022.13,False,False,Region-03
FRD00187,CUST007397,2023-01-16,ATM Fraud,Mobile App,1592.58,772.43,False,False,Region-09
FRD00188,CUST017209,2024-07-24,Identity-related Anomaly,Card Network,796.53,164.41,True,False,Region-04
FRD00189,CUST004839,2024-10-17,ATM Fraud,Online Banking,912.77,25.76,True,False,Region-05
FRD00190,CUST006892,2024-05-01,Suspicious Transfer,Card Network,63.08,20.33,True,False,Region-10
FRD00191,CUST003575,2023-05-15,Account Takeover,Online Banking,193.52,116.9,True,False,Region-05
FRD00192,CUST006226,2023-05-31,Unusual Transaction Pattern,ATM,672.14,160.14,True,False,Region-05
FRD00193,CUST012000,2024-12-28,ATM Fraud,Online Banking,210.61,30.29,True,False,Region-12
FRD00194,CUST003882,2023-07-17,Account Takeover,Branch,713.65,1075.47,False,True,Region-09
FRD00195,CUST006544,2023-05-26,Unusual Transaction Pattern,ATM,317.12,64.85,True,False,Region-10
FRD00196,CUST018398,2023-06-09,Card Fraud,Mobile App,576.53,31.12,True,False,Region-11
FRD00197,CUST006611,2023-08-31,Card Fraud,Mobile App,501.84,6.53,True,False,Region-02
FRD00198,CUST007248,2024-11-21,Suspicious Transfer,Branch,206.82,32.78,True,False,Region-11
FRD00199,CUST008454,2024-06-05,ATM Fraud,Mobile App,709.65,42.04,True,False,Region-05
FRD00200,CUST010336,2023-07-11,Suspicious Transfer,Mobile App,87.16,114.29,True,False,Region-09
FRD00201,CUST012909,2023-08-06,Unusual Transaction Pattern,Online Banking,826.14,284.0,True,False,Region-07
FRD00202,CUST012404,2023-10-23,Unusual Transaction Pattern,ATM,1276.53,83.74,True,False,Region-02
FRD00203,CUST013660,2023-09-03,Card Fraud,ATM,74.15,787.07,False,True,Region-05
FRD00204,CUST010288,2023-07-05,ATM Fraud,Mobile App,426.73,7.55,True,False,Region-03
FRD00205,CUST010859,2023-05-09,ATM Fraud,Card Network,690.22,608.13,False,True,Region-08
FRD00206,CUST011947,2024-12-29,Account Takeover,ATM,480.67,63.04,True,False,Region-05
FRD00207,CUST013754,2024-02-04,Account Takeover,Online Banking,382.93,16.1,True,False,Region-08
FRD00208,CUST001487,2023-08-11,ATM Fraud,ATM,539.62,157.99,True,False,Region-11
FRD00209,CUST017598,2023-07-13,Unusual Transaction Pattern,Online Banking,504.82,58.69,True,False,Region-08
FRD00210,CUST009363,2024-07-02,Account Takeover,Branch,1688.12,152.12,True,False,Region-04
FRD00211,CUST001870,2024-07-19,Unusual Transaction Pattern,Card Network,319.61,539.38,False,False,Region-02
FRD00212,CUST017936,2024-02-18,Identity-related Anomaly,ATM,761.48,638.87,False,False,Region-03
FRD00213,CUST001291,2024-03-26,Account Takeover,Branch,596.77,1196.7,False,True,Region-11
FRD00214,CUST013720,2024-07-24,Suspicious Transfer,ATM,1556.67,5.5,True,False,Region-06
FRD00215,CUST018985,2024-04-16,Card Fraud,Card Network,557.08,345.61,False,True,Region-08
FRD00216,CUST003210,2024-08-30,Account Takeover,Mobile App,518.97,100.08,True,False,Region-03
FRD00217,CUST006034,2023-09-19,ATM Fraud,Online Banking,587.75,56.18,True,False,Region-11
FRD00218,CUST008995,2023-12-20,Identity-related Anomaly,Branch,251.96,60.71,True,False,Region-10
FRD00219,CUST007120,2023-12-28,Unusual Transaction Pattern,Mobile App,428.85,130.37,True,False,Region-01
FRD00220,CUST016991,2023-12-06,Account Takeover,Branch,1087.55,129.56,True,False,Region-09
FRD00221,CUST018883,2024-12-23,Account Takeover,Online Banking,695.22,15.33,True,False,Region-09
FRD00222,CUST011994,2024-01-13,ATM Fraud,Mobile App,197.78,12.52,True,False,Region-01
FRD00223,CUST009162,2023-03-26,Unusual Transaction Pattern,Branch,1579.58,220.47,True,False,Region-09
FRD00224,CUST002195,2023-10-22,Card Fraud,Card Network,131.24,25.63,True,False,Region-03
FRD00225,CUST012882,2023-08-26,Identity-related Anomaly,Card Network,451.08,136.8,True,False,Region-04
FRD00226,CUST016099,2023-02-04,Suspicious Transfer,Online Banking,446.2,25.6,True,False,Region-12
FRD00227,CUST014803,2024-11-26,Card Fraud,Branch,1747.3,1454.29,False,False,Region-04
FRD00228,CUST016632,2023-02-14,Card Fraud,Branch,752.41,106.41,True,False,Region-09
FRD00229,CUST004506,2023-05-15,Account Takeover,Branch,1545.91,116.44,True,False,Region-12
FRD00230,CUST011082,2024-07-30,Identity-related Anomaly,Card Network,281.65,72.03,True,False,Region-10
FRD00231,CUST012414,2023-03-16,ATM Fraud,Card Network,305.04,139.09,True,False,Region-09
FRD00232,CUST001879,2023-06-05,Account Takeover,Branch,1548.37,91.57,True,False,Region-12
FRD00233,CUST012828,2024-10-23,Card Fraud,ATM,451.96,1485.95,False,True,Region-11
FRD00234,CUST007069,2023-05-19,Suspicious Transfer,Card Network,538.21,18.86,True,False,Region-06
FRD00235,CUST004435,2024-01-29,Suspicious Transfer,ATM,1198.0,33.53,True,False,Region-11
FRD00236,CUST016020,2023-05-13,Account Takeover,Branch,449.11,165.19,True,False,Region-09
FRD00237,CUST016699,2024-05-11,Card Fraud,Mobile App,1176.62,8.46,True,False,Region-06
FRD00238,CUST013658,2023-04-03,Identity-related Anomaly,Branch,610.15,132.61,True,False,Region-08
FRD00239,CUST007879,2023-02-17,ATM Fraud,Card Network,926.69,40.12,True,False,Region-01
FRD00240,CUST009045,2024-03-30,Account Takeover,Online Banking,244.32,6.44,True,False,Region-05
FRD00241,CUST009773,2024-06-16,Card Fraud,ATM,146.21,13.14,True,False,Region-09
FRD00242,CUST008412,2023-10-14,Identity-related Anomaly,ATM,737.88,58.39,True,False,Region-10
FRD00243,CUST001322,2023-06-20,Unusual Transaction Pattern,Card Network,129.24,44.9,True,False,Region-12
FRD00244,CUST013465,2023-06-28,Card Fraud,Card Network,507.09,201.66,True,False,Region-11
FRD00245,CUST003234,2023-02-08,Unusual Transaction Pattern,Branch,490.18,39.21,True,False,Region-06
FRD00246,CUST009897,2023-03-26,Identity-related Anomaly,Branch,884.2,40.55,True,False,Region-02
FRD00247,CUST000542,2023-03-27,Unusual Transaction Pattern,Branch,816.05,20.61,True,False,Region-03
FRD00248,CUST017838,2023-10-29,ATM Fraud,ATM,477.16,21.5,True,False,Region-10
FRD00249,CUST005537,2024-11-13,Card Fraud,Branch,488.44,167.09,True,False,Region-01
FRD00250,CUST018008,2024-03-07,Card Fraud,Online Banking,101.15,55.52,True,False,Region-09
FRD00251,CUST005810,2023-07-11,Unusual Transaction Pattern,Mobile App,732.74,134.52,False,False,Region-06
FRD00252,CUST009886,2024-07-24,Card Fraud,Card Network,1046.57,55.33,True,False,Region-08
FRD00253,CUST011431,2023-01-28,Card Fraud,Online Banking,855.08,2.49,True,False,Region-02
FRD00254,CUST017236,2024-11-02,ATM Fraud,Branch,672.41,20.03,True,False,Region-03
FRD00255,CUST001348,2023-04-20,Suspicious Transfer,Branch,402.49,540.48,False,True,Region-01
FRD00256,CUST008503,2024-06-19,Unusual Transaction Pattern,ATM,441.81,24.19,True,False,Region-02
FRD00257,CUST008652,2023-01-16,Unusual Transaction Pattern,ATM,509.05,36.64,True,False,Region-04
FRD00258,CUST006152,2023-06-30,Suspicious Transfer,ATM,723.97,87.61,True,False,Region-01
FRD00259,CUST011864,2024-10-22,Account Takeover,Card Network,1102.51,124.78,True,False,Region-06
FRD00260,CUST012430,2024-02-05,Account Takeover,Card Network,499.28,121.41,True,False,Region-11
FRD00261,CUST017886,2024-04-19,ATM Fraud,Card Network,366.91,8.78,True,False,Region-08
FRD00262,CUST011534,2023-04-08,Card Fraud,Mobile App,454.24,25.8,True,False,Region-09
FRD00263,CUST007723,2024-08-04,Card Fraud,ATM,525.45,114.77,True,False,Region-12
FRD00264,CUST019262,2023-02-14,Identity-related Anomaly,Branch,350.51,255.57,True,False,Region-10
FRD00265,CUST011716,2023-11-28,Card Fraud,ATM,368.94,20.94,True,False,Region-06
FRD00266,CUST016478,2023-09-27,Suspicious Transfer,Online Banking,283.04,36.38,True,False,Region-02
FRD00267,CUST013245,2024-11-12,Unusual Transaction Pattern,ATM,86.9,35.6,True,False,Region-02
FRD00268,CUST003438,2024-05-15,ATM Fraud,Branch,448.91,95.0,True,False,Region-06
FRD00269,CUST005777,2024-10-19,Card Fraud,Mobile App,912.42,31.5,True,False,Region-03
FRD00270,CUST014386,2023-04-21,Card Fraud,Branch,551.62,23.1,True,False,Region-08
FRD00271,CUST017244,2024-01-05,Suspicious Transfer,ATM,217.56,47.82,True,False,Region-05
FRD00272,CUST019007,2023-04-23,Unusual Transaction Pattern,Online Banking,428.41,115.41,True,False,Region-06
FRD00273,CUST010058,2023-05-25,Card Fraud,Branch,757.34,7.75,True,False,Region-01
FRD00274,CUST004968,2023-01-12,Account Takeover,Online Banking,200.86,79.99,True,False,Region-04
FRD00275,CUST010747,2023-07-04,Card Fraud,Branch,644.73,52.92,True,False,Region-03
FRD00276,CUST011170,2023-11-14,Account Takeover,Branch,320.72,214.17,False,False,Region-02
FRD00277,CUST017195,2023-07-14,Unusual Transaction Pattern,Branch,966.89,13.99,True,False,Region-06
