employee_id,branch_id,role,hire_date,performance_score
EMP00094,BR005,Personal Banker,2017-02-19,85.4
EMP00095,BR005,Teller,2017-05-06,62.4
EMP00096,BR005,Teller,2016-09-03,90.6
EMP00097,BR005,Credit Officer,2022-07-10,89.1
EMP00098,BR005,Personal Banker,2017-12-04,95.9
EMP00099,BR005,Relationship Manager,2014-06-29,71.4
EMP00100,BR005,Personal Banker,2021-11-28,66.6
EMP00101,BR005,Relationship Manager,2012-06-07,84.4
EMP00102,BR005,Branch Manager,2014-06-29,75.8
EMP00103,BR005,Personal Banker,2019-11-02,96.8
EMP00104,BR005,Teller,2013-03-03,56.1
EMP00105,BR005,Teller,2023-10-29,68.8
EMP00106,BR005,Personal Banker,2023-10-24,82.7
EMP00107,BR005,Relationship Manager,2023-06-23,75.4
EMP00108,BR005,Personal Banker,2023-08-28,66.9
EMP00109,BR005,Personal Banker,2014-01-24,88.9
EMP00110,BR005,Personal Banker,2014-02-09,47.5
EMP00111,BR005,Personal Banker,2020-12-18,80.0
EMP00112,BR005,Personal Banker,2021-05-30,50.2
EMP00113,BR005,Credit Officer,2022-05-30,56.0
EMP00114,BR005,Teller,2013-06-22,79.4
EMP00115,BR005,Personal Banker,2023-05-10,84.8
EMP00116,BR005,Teller,2021-07-16,77.8
EMP00117,BR005,Relationship Manager,2019-10-26,64.6
EMP00118,BR006,Teller,2015-05-02,73.2
EMP00119,BR006,Teller,2013-01-23,62.3
EMP00120,BR006,Personal Banker,2023-07-14,92.8
EMP00121,BR006,Personal Banker,2023-09-10,77.4
EMP00122,BR006,Personal Banker,2023-07-14,75.1
EMP00123,BR006,Credit Officer,2012-01-23,85.1
EMP00124,BR006,Teller,2020-11-03,102.9
EMP00125,BR006,Personal Banker,2013-07-06,94.3
EMP00126,BR006,Relationship Manager,2013-07-02,76.3
EMP00127,BR006,Personal Banker,2020-11-25,60.0
EMP00128,BR006,Personal Banker,2022-03-03,65.5
EMP00129,BR006,Teller,2018-05-08,78.3
EMP00130,BR006,Teller,2023-04-25,47.3
EMP00131,BR006,Branch Manager,2020-06-07,80.5
EMP00132,BR006,Teller,2015-07-01,76.7
EMP00133,BR006,Teller,2020-05-21,81.4
EMP00134,BR006,Teller,2023-01-19,72.8
EMP00135,BR006,Relationship Manager,2021-12-16,70.3
EMP00136,BR006,Relationship Manager,2014-06-10,71.8
EMP00137,BR006,Teller,2013-12-04,51.1
EMP00138,BR006,Relationship Manager,2012-08-20,57.2
EMP00139,BR006,Branch Manager,2015-01-06,84.0
EMP00140,BR006,Credit Officer,2012-09-14,77.4
EMP00141,BR006,Relationship Manager,2022-02-06,74.2
EMP00142,BR006,Teller,2022-04-28,73.8
EMP00143,BR007,Relationship Manager,2018-10-03,65.0
EMP00144,BR007,Teller,2019-10-06,57.2
EMP00145,BR007,Teller,2012-03-11,84.6
EMP00146,BR007,Credit Officer,2015-05-03,58.4
EMP00147,BR007,Teller,2012-11-11,80.7
EMP00148,BR007,Branch Manager,2019-08-05,53.0
EMP00149,BR007,Teller,2016-07-28,68.6
EMP00150,BR007,Credit Officer,2013-02-16,67.1
EMP00151,BR007,Relationship Manager,2015-02-19,78.9
EMP00152,BR007,Teller,2019-11-03,90.8
EMP00153,BR007,Teller,2017-02-25,87.8
EMP00154,BR007,Personal Banker,2019-02-14,88.4
EMP00155,BR007,Teller,2017-09-08,79.2
EMP00156,BR007,Personal Banker,2018-04-06,99.9
EMP00157,BR007,Teller,2023-09-05,87.9
EMP00158,BR007,Personal Banker,2015-06-05,79.0
EMP00159,BR007,Personal Banker,2023-12-20,65.0
EMP00160,BR007,Teller,2017-01-27,50.1
EMP00161,BR007,Teller,2023-05-05,71.5
EMP00162,BR007,Personal Banker,2012-06-11,88.3
EMP00163,BR007,Personal Banker,2016-04-27,70.1
EMP00164,BR007,Personal Banker,2018-12-20,77.2
EMP00165,BR007,Teller,2015-01-13,87.8
EMP00166,BR007,Personal Banker,2021-09-13,75.1
EMP00167,BR008,Personal Banker,2023-11-06,92.2
EMP00168,BR008,Branch Manager,2018-04-26,82.0
EMP00169,BR008,Personal Banker,2021-01-13,65.6
EMP00170,BR008,Teller,2018-05-30,64.8
EMP00171,BR008,Personal Banker,2012-07-06,83.0
EMP00172,BR008,Branch Manager,2013-06-05,79.4
EMP00173,BR008,Teller,2018-12-18,71.3
EMP00174,BR008,Teller,2016-02-12,53.0
EMP00175,BR008,Teller,2017-05-19,57.1
EMP00176,BR009,Personal Banker,2022-03-11,85.7
EMP00177,BR009,Personal Banker,2020-03-27,39.4
EMP00178,BR009,Credit Officer,2013-06-22,104.0
EMP00179,BR009,Relationship Manager,2017-03-25,80.6
EMP00180,BR009,Relationship Manager,2015-10-31,71.4
EMP00181,BR009,Personal Banker,2016-02-10,84.5
EMP00182,BR009,Personal Banker,2012-02-18,83.0
EMP00183,BR009,Teller,2017-02-22,94.5
EMP00184,BR009,Personal Banker,2022-04-21,64.3
EMP00185,BR009,Credit Officer,2020-01-08,91.8
EMP00186,BR009,Personal Banker,2013-09-29,92.5
EMP00187,BR009,Relationship Manager,2012-07-04,93.8
EMP00188,BR009,Teller,2017-05-06,63.7
EMP00189,BR009,Credit Officer,2023-08-04,56.2
EMP00190,BR009,Teller,2012-07-19,68.5
EMP00191,BR009,Personal Banker,2020-11-28,65.6
EMP00192,BR009,Teller,2018-01-28,65.1
EMP00193,BR009,Personal Banker,2018-11-07,72.0
EMP00194,BR009,Relationship Manager,2019-12-31,77.4
EMP00195,BR009,Personal Banker,2021-02-28,83.0
EMP00196,BR009,Branch Manager,2018-08-24,81.7
EMP00197,BR009,Relationship Manager,2020-06-28,74.0
EMP00198,BR009,Credit Officer,2022-07-01,66.0
EMP00199,BR009,Branch Manager,2016-09-24,64.3
EMP00200,BR009,Personal Banker,2016-03-12,79.0
EMP00201,BR010,Personal Banker,2016-10-27,85.8
EMP00202,BR010,Teller,2014-03-09,73.1
EMP00203,BR010,Credit Officer,2020-07-05,77.3
EMP00204,BR010,Personal Banker,2017-07-09,74.2
EMP00205,BR010,Teller,2014-02-05,77.3
EMP00206,BR010,Credit Officer,2020-08-29,91.0
EMP00207,BR010,Personal Banker,2024-02-18,79.4
EMP00208,BR010,Relationship Manager,2021-05-19,61.1
EMP00209,BR010,Relationship Manager,2017-09-04,83.6
EMP00210,BR010,Relationship Manager,2022-09-05,60.9
EMP00211,BR010,Personal Banker,2023-11-05,94.3
EMP00212,BR010,Credit Officer,2020-01-22,78.0
EMP00213,BR010,Relationship Manager,2023-12-15,69.9
EMP00214,BR010,Teller,2021-03-28,59.6
EMP00215,BR010,Relationship Manager,2023-11-13,84.8
EMP00216,BR010,Personal Banker,2018-01-12,53.7
EMP00217,BR010,Personal Banker,2012-11-29,90.3
EMP00218,BR010,Personal Banker,2021-10-11,67.4
EMP00219,BR010,Credit Officer,2017-06-23,80.4
EMP00220,BR010,Personal Banker,2022-02-18,81.5
EMP00221,BR010,Teller,2023-06-24,57.9
EMP00222,BR010,Relationship Manager,2020-04-26,65.3
EMP00223,BR010,Relationship Manager,2016-11-05,77.9
EMP00224,BR010,Teller,2021-11-12,92.4
EMP00225,BR010,Branch Manager,2017-06-19,78.2
EMP00226,BR010,Relationship Manager,2012-01-21,80.7
EMP00227,BR010,Personal Banker,2020-08-15,91.4
EMP00228,BR010,Teller,2023-01-13,46.0
EMP00229,BR010,Teller,2021-08-09,70.1
EMP00230,BR010,Personal Banker,2022-07-07,71.3
EMP00231,BR010,Teller,2018-10-09,61.6
EMP00232,BR010,Teller,2022-12-03,81.3
EMP00233,BR010,Relationship Manager,2017-03-26,99.6
EMP00234,BR011,Teller,2021-12-12,71.0
EMP00235,BR011,Teller,2013-06-21,54.2
EMP00236,BR011,Personal Banker,2019-01-30,70.3
EMP00237,BR011,Personal Banker,2016-03-28,95.0
EMP00238,BR011,Teller,2013-08-27,82.0
EMP00239,BR011,Teller,2015-09-20,77.1
EMP00240,BR011,Teller,2017-08-01,71.1
EMP00241,BR011,Credit Officer,2023-11-09,64.2
EMP00242,BR011,Teller,2021-04-06,74.0
EMP00243,BR011,Teller,2018-11-27,80.8
EMP00244,BR011,Personal Banker,2016-01-04,44.2
EMP00245,BR011,Personal Banker,2019-08-21,66.4
EMP00246,BR011,Teller,2020-01-19,85.0
EMP00247,BR011,Teller,2016-04-10,79.6
EMP00248,BR011,Personal Banker,2022-10-09,79.7
EMP00249,BR011,Relationship Manager,2019-10-28,82.5
EMP00250,BR012,Credit Officer,2017-05-26,68.7
EMP00251,BR012,Relationship Manager,2020-04-10,69.8
EMP00252,BR012,Teller,2023-02-13,84.5
EMP00253,BR012,Teller,2017-04-06,69.9
EMP00254,BR012,Personal Banker,2020-01-17,72.1
EMP00255,BR012,Teller,2023-07-23,65.1
EMP00256,BR012,Teller,2023-10-28,47.2
EMP00257,BR012,Teller,2024-02-17,72.6
EMP00258,BR012,Teller,2017-08-10,72.1
EMP00259,BR012,Teller,2019-10-31,87.6
EMP00260,BR012,Relationship Manager,2016-09-26,64.1
EMP00261,BR012,Teller,2018-01-16,82.8
EMP00262,BR012,Teller,2016-11-08,83.4
EMP00263,BR012,Branch Manager,2014-01-01,72.5
EMP00264,BR012,Personal Banker,2012-01-06,56.2
EMP00265,BR012,Personal Banker,2018-10-16,62.7
EMP00266,BR012,Teller,2021-08-13,88.5
EMP00267,BR012,Teller,2023-04-06,63.9
EMP00268,BR012,Teller,2017-11-29,78.4
EMP00269,BR012,Credit Officer,2017-12-11,61.6
EMP00270,BR012,Relationship Manager,2012-08-06,75.7
EMP00271,BR012,Teller,2015-12-06,78.3
EMP00272,BR012,Teller,2013-09-13,84.3
EMP00273,BR012,Teller,2013-11-22,48.0
EMP00274,BR012,Teller,2013-05-12,89.3
EMP00275,BR012,Personal Banker,2020-06-20,76.2
EMP00276,BR013,Branch Manager,2022-06-19,96.6
EMP00277,BR013,Teller,2023-01-18,64.3
EMP00278,BR013,Teller,2021-07-10,71.4
EMP00279,BR013,Personal Banker,2023-12-06,96.4
EMP00280,BR013,Personal Banker,2019-06-08,63.9
EMP00281,BR013,Teller,2018-10-02,80.3
EMP00282,BR013,Teller,2021-11-05,82.6
EMP00283,BR014,Teller,2022-02-21,79.1
EMP00284,BR014,Teller,2012-12-17,76.0
EMP00285,BR014,Teller,2020-02-14,95.2
EMP00286,BR014,Relationship Manager,2020-12-07,91.3
EMP00287,BR014,Branch Manager,2013-10-27,75.1
EMP00288,BR014,Teller,2019-04-26,61.9
EMP00289,BR014,Teller,2021-10-14,59.4
EMP00290,BR014,Teller,2018-04-01,74.0
EMP00291,BR014,Credit Officer,2019-02-13,75.1
EMP00292,BR014,Branch Manager,2019-03-15,75.5
EMP00293,BR014,Personal Banker,2014-01-14,73.2
EMP00294,BR014,Teller,2019-08-30,60.0
EMP00295,BR014,Teller,2016-03-25,53.6
EMP00296,BR014,Teller,2020-03-05,86.9
EMP00297,BR014,Teller,2022-06-10,75.5
EMP00298,BR014,Personal Banker,2022-10-07,62.0
EMP00299,BR014,Personal Banker,2021-04-05,90.4
EMP00300,BR015,Personal Banker,2020-05-07,73.4
EMP00301,BR015,Credit Officer,2013-11-05,77.6
EMP00302,BR015,Teller,2017-03-01,68.1
EMP00303,BR015,Personal Banker,2017-04-10,67.5
EMP00304,BR015,Branch Manager,2017-01-09,70.2
EMP00305,BR015,Relationship Manager,2017-10-10,61.3
EMP00306,BR015,Teller,2013-11-03,92.3
EMP00307,BR015,Branch Manager,2024-02-12,61.1
EMP00308,BR015,Personal Banker,2023-03-30,52.7
EMP00309,BR015,Branch Manager,2019-12-16,73.6
EMP00310,BR015,Relationship Manager,2016-09-01,42.9
EMP00311,BR015,Relationship Manager,2023-09-13,61.5
EMP00312,BR015,Credit Officer,2019-01-08,66.0
EMP00313,BR015,Relationship Manager,2018-03-12,92.1
EMP00314,BR015,Relationship Manager,2013-03-25,71.0
EMP00315,BR015,Credit Officer,2024-03-04,96.0
EMP00316,BR015,Branch Manager,2016-08-24,76.6
EMP00317,BR015,Teller,2016-04-15,85.2
EMP00318,BR015,Personal Banker,2019-07-02,86.6
EMP00319,BR015,Credit Officer,2018-03-19,85.9
EMP00320,BR016,Personal Banker,2017-10-05,78.3
EMP00321,BR016,Teller,2016-02-04,80.1
EMP00322,BR016,Teller,2014-01-02,83.0
EMP00323,BR016,Teller,2014-06-10,74.3
EMP00324,BR016,Branch Manager,2013-03-21,66.7
EMP00325,BR016,Teller,2024-01-08,70.1
EMP00326,BR016,Personal Banker,2014-04-15,74.4
EMP00327,BR016,Teller,2012-02-08,83.7
EMP00328,BR016,Relationship Manager,2017-12-06,52.3
EMP00329,BR016,Teller,2014-11-19,72.3
EMP00330,BR016,Relationship Manager,2015-02-09,74.7
EMP00331,BR016,Credit Officer,2013-04-18,61.7
EMP00332,BR016,Credit Officer,2024-02-17,61.9
EMP00333,BR016,Teller,2023-08-06,69.8
EMP00334,BR016,Teller,2015-10-02,54.6
EMP00335,BR016,Personal Banker,2016-12-16,70.1
EMP00336,BR016,Teller,2018-09-06,71.3
EMP00337,BR016,Branch Manager,2016-08-14,64.7
EMP00338,BR016,Teller,2019-03-14,56.6
EMP00339,BR016,Personal Banker,2013-05-14,73.2
EMP00340,BR016,Teller,2021-05-13,67.5
EMP00341,BR016,Teller,2014-11-14,59.7
EMP00342,BR016,Teller,2023-01-15,62.1
EMP00343,BR016,Teller,2020-01-07,81.7
EMP00344,BR016,Teller,2017-02-04,86.8
EMP00345,BR016,Branch Manager,2019-01-28,63.4
EMP00346,BR016,Personal Banker,2022-10-10,91.4
EMP00347,BR016,Teller,2015-08-25,64.6
EMP00348,BR016,Branch Manager,2013-12-26,68.1
EMP00349,BR016,Personal Banker,2015-06-23,73.0
EMP00350,BR016,Personal Banker,2018-01-16,72.2
EMP00351,BR016,Teller,2016-06-06,80.4
EMP00352,BR016,Personal Banker,2013-07-19,94.8
EMP00353,BR016,Teller,2016-08-03,61.2
EMP00354,BR016,Teller,2018-10-30,86.3
EMP00355,BR016,Teller,2013-12-07,85.6
EMP00356,BR016,Personal Banker,2023-04-18,89.4
EMP00357,BR016,Personal Banker,2018-07-06,79.0
EMP00358,BR016,Credit Officer,2018-07-21,79.6
EMP00359,BR017,Relationship Manager,2016-07-26,80.4
EMP00360,BR017,Credit Officer,2017-10-10,61.1
EMP00361,BR017,Teller,2023-06-25,69.2
EMP00362,BR017,Personal Banker,2016-03-20,75.0
EMP00363,BR017,Relationship Manager,2022-03-11,76.6
EMP00364,BR017,Personal Banker,2014-08-11,73.7
EMP00365,BR017,Teller,2018-10-22,71.9
EMP00366,BR017,Teller,2024-03-28,86.1
EMP00367,BR017,Teller,2017-05-07,73.7
EMP00368,BR017,Personal Banker,2013-11-16,82.4
EMP00369,BR017,Teller,2017-02-05,88.3
EMP00370,BR017,Relationship Manager,2020-12-11,58.0
EMP00371,BR017,Personal Banker,2019-07-25,56.6
EMP00372,BR018,Teller,2023-09-15,83.8
EMP00373,BR018,Branch Manager,2019-03-11,58.1
EMP00374,BR018,Branch Manager,2012-06-30,71.4
EMP00375,BR018,Relationship Manager,2014-02-14,92.8
EMP00376,BR018,Personal Banker,2015-09-23,90.8
EMP00377,BR018,Personal Banker,2023-01-07,84.2
EMP00378,BR018,Personal Banker,2018-12-03,76.6
EMP00379,BR018,Personal Banker,2014-05-02,66.2
EMP00380,BR018,Personal Banker,2019-12-21,82.6
EMP00381,BR018,Teller,2022-03-11,83.0
EMP00382,BR018,Relationship Manager,2013-02-16,84.1
EMP00383,BR018,Teller,2022-12-07,92.3
EMP00384,BR018,Relationship Manager,2016-01-09,55.1
EMP00385,BR018,Teller,2023-04-02,75.6
EMP00386,BR018,Teller,2020-03-24,71.0
EMP00387,BR019,Teller,2015-06-18,78.8
EMP00388,BR019,Teller,2020-04-24,82.4
EMP00389,BR019,Relationship Manager,2021-06-22,48.8
EMP00390,BR019,Teller,2023-09-28,74.9
EMP00391,BR019,Teller,2020-11-04,77.4
EMP00392,BR019,Relationship Manager,2024-01-10,80.8
EMP00393,BR019,Personal Banker,2020-08-19,86.8
EMP00394,BR019,Personal Banker,2022-10-12,84.7
EMP00395,BR019,Branch Manager,2016-01-16,86.7
EMP00396,BR019,Personal Banker,2015-12-20,76.2
EMP00397,BR019,Teller,2021-12-20,68.5
EMP00398,BR019,Credit Officer,2015-01-03,63.5
EMP00399,BR019,Credit Officer,2012-04-04,72.6
EMP00400,BR019,Relationship Manager,2021-03-06,104.3
EMP00401,BR019,Personal Banker,2020-08-15,76.8
EMP00402,BR019,Teller,2014-12-17,76.4
EMP00403,BR019,Personal Banker,2016-06-19,92.4
EMP00404,BR019,Relationship Manager,2017-01-18,88.6
EMP00405,BR019,Teller,2016-07-04,62.1
EMP00406,BR020,Relationship Manager,2012-02-03,92.3
EMP00407,BR020,Teller,2020-08-15,61.6
EMP00408,BR020,Personal Banker,2021-07-16,55.9
EMP00409,BR020,Teller,2023-08-27,90.8
EMP00410,BR020,Personal Banker,2013-11-23,68.0
EMP00411,BR020,Credit Officer,2019-10-17,73.2
EMP00412,BR020,Relationship Manager,2012-11-09,75.7
EMP00413,BR020,Branch Manager,2014-10-03,58.2
EMP00414,BR020,Branch Manager,2020-03-04,82.8
EMP00415,BR020,Personal Banker,2018-03-28,75.1
EMP00416,BR020,Relationship Manager,2018-10-20,77.2
EMP00417,BR020,Credit Officer,2012-04-16,74.2
EMP00418,BR020,Teller,2024-04-24,80.9
EMP00419,BR020,Credit Officer,2015-12-13,88.6
EMP00420,BR020,Personal Banker,2015-12-03,82.2
EMP00421,BR020,Relationship Manager,2021-05-26,83.4
EMP00422,BR020,Branch Manager,2016-05-09,65.5
EMP00423,BR020,Personal Banker,2016-11-11,92.8
EMP00424,BR020,Relationship Manager,2015-12-17,61.2
EMP00425,BR020,Branch Manager,2015-04-18,75.9
EMP00426,BR020,Teller,2013-10-09,70.7
EMP00427,BR020,Personal Banker,2015-06-16,80.4
EMP00428,BR020,Teller,2012-10-30,66.0
EMP00429,BR020,Relationship Manager,2013-03-20,71.8
EMP00430,BR020,Relationship Manager,2012-06-05,73.8
EMP00431,BR020,Teller,2012-10-20,64.3
EMP00432,BR020,Personal Banker,2022-08-09,66.8
EMP00433,BR020,Teller,2017-03-20,90.5
EMP00434,BR020,Teller,2016-11-10,75.4
EMP00435,BR020,Personal Banker,2018-08-21,95.6
EMP00436,BR020,Personal Banker,2021-03-30,51.0
EMP00437,BR020,Teller,2019-12-29,83.3
EMP00438,BR020,Teller,2021-04-04,70.4
EMP00439,BR020,Teller,2012-07-16,77.2
EMP00440,BR020,Credit Officer,2022-02-20,78.3
EMP00441,BR020,Relationship Manager,2014-03-19,76.3
EMP00442,BR020,Branch Manager,2017-07-12,92.7
EMP00443,BR020,Branch Manager,2017-08-07,60.8
EMP00444,BR020,Relationship Manager,2014-05-15,71.9
EMP00445,BR021,Relationship Manager,2012-01-30,64.7
EMP00446,BR021,Relationship Manager,2018-12-23,96.6
EMP00447,BR021,Teller,2018-07-15,61.2
EMP00448,BR021,Personal Banker,2012-08-10,73.6
EMP00449,BR021,Personal Banker,2015-03-09,55.8
EMP00450,BR021,Personal Banker,2021-05-03,76.8
EMP00451,BR021,Teller,2013-08-18,59.2
EMP00452,BR021,Personal Banker,2018-06-06,65.4
EMP00453,BR021,Teller,2016-06-18,58.5
EMP00454,BR021,Branch Manager,2012-01-05,79.4
EMP00455,BR021,Teller,2022-05-07,93.4
EMP00456,BR021,Personal Banker,2022-12-20,71.9
EMP00457,BR021,Teller,2016-03-10,98.5
EMP00458,BR021,Teller,2014-08-26,63.9
EMP00459,BR021,Teller,2022-12-29,59.1
EMP00460,BR021,Personal Banker,2013-03-22,80.0
EMP00461,BR021,Teller,2020-01-10,66.9
EMP00462,BR021,Personal Banker,2022-08-07,64.4
EMP00463,BR021,Personal Banker,2016-03-20,85.6
EMP00464,BR021,Teller,2015-04-06,72.8
EMP00465,BR021,Credit Officer,2020-08-13,58.5
EMP00466,BR021,Teller,2013-03-25,48.0
EMP00467,BR021,Teller,2014-06-15,74.5
EMP00468,BR021,Relationship Manager,2022-07-02,79.9
EMP00469,BR021,Credit Officer,2017-06-14,81.3
EMP00470,BR021,Teller,2012-07-17,68.1
EMP00471,BR021,Personal Banker,2023-04-13,68.4
EMP00472,BR021,Credit Officer,2021-12-06,60.8
EMP00473,BR021,Personal Banker,2015-07-28,76.0
EMP00474,BR021,Personal Banker,2023-12-17,65.5
EMP00475,BR021,Teller,2020-01-24,82.4
EMP00476,BR021,Teller,2015-12-15,90.3
EMP00477,BR021,Personal Banker,2019-02-11,68.6
EMP00478,BR021,Personal Banker,2016-06-02,75.8
EMP00479,BR021,Credit Officer,2021-11-18,72.9
EMP00480,BR022,Teller,2023-06-29,86.6
EMP00481,BR022,Personal Banker,2016-09-22,78.6
EMP00482,BR022,Personal Banker,2017-09-09,67.5
EMP00483,BR022,Teller,2012-11-13,95.9
EMP00484,BR022,Teller,2016-08-30,87.0
EMP00485,BR022,Personal Banker,2022-08-20,69.6
EMP00486,BR022,Relationship Manager,2014-08-23,73.6
EMP00487,BR023,Relationship Manager,2023-12-16,82.8
EMP00488,BR023,Relationship Manager,2023-06-05,93.4
EMP00489,BR023,Credit Officer,2022-06-09,79.5
EMP00490,BR023,Personal Banker,2016-11-01,75.3
EMP00491,BR023,Teller,2023-07-12,79.4
EMP00492,BR023,Teller,2020-05-19,89.3
EMP00493,BR023,Branch Manager,2014-12-13,84.6
EMP00494,BR023,Teller,2018-02-11,78.0
EMP00495,BR023,Teller,2022-11-06,99.0
EMP00496,BR023,Personal Banker,2022-10-29,77.0
EMP00497,BR023,Teller,2017-05-10,49.4
EMP00498,BR023,Personal Banker,2021-07-19,85.1
EMP00499,BR023,Credit Officer,2021-10-03,61.1
EMP00500,BR024,Personal Banker,2022-07-17,75.6
EMP00501,BR024,Personal Banker,2013-06-11,82.4
EMP00502,BR024,Personal Banker,2013-03-30,72.0
EMP00503,BR024,Credit Officer,2020-12-26,89.8
EMP00504,BR024,Personal Banker,2019-06-25,70.8
EMP00505,BR024,Teller,2022-11-09,66.9
EMP00506,BR024,Teller,2021-10-16,81.8
EMP00507,BR024,Branch Manager,2012-10-24,79.5
EMP00508,BR024,Personal Banker,2012-04-17,89.3
EMP00509,BR024,Teller,2019-09-20,74.7
EMP00510,BR024,Personal Banker,2020-03-26,77.7
EMP00511,BR024,Personal Banker,2023-11-03,55.9
EMP00512,BR024,Teller,2018-06-08,83.9
EMP00513,BR024,Teller,2014-04-15,85.5
EMP00514,BR024,Personal Banker,2013-03-11,79.9
EMP00515,BR024,Credit Officer,2015-01-08,82.9
EMP00516,BR024,Branch Manager,2012-12-29,72.4
EMP00517,BR024,Personal Banker,2013-08-24,80.3
