product_id,month,active_customers,new_customers,product_name,fee_rate,interest_rate,monthly_fee,revenue
PRD09,2023-10,1985,62,Term Deposit,0.0,0.06,0.0,248.12
PRD10,2023-10,1835,59,Investment Account,0.012,0.0,0.0,330.3
PRD11,2023-10,1924,49,Overdraft Facility,0.015,0.2,2.0,5082.57
PRD12,2023-10,1932,64,Bancassurance,0.1,0.0,0.0,2898.0
PRD01,2023-11,12618,369,Checking Account,0.0,0.001,3.0,37880.29
PRD02,2023-11,4789,152,Savings Account,0.0,0.015,0.0,149.66
PRD03,2023-11,3583,117,Credit Card,0.02,0.24,0.0,2866.4
PRD04,2023-11,3632,99,Debit Card,0.005,0.0,0.0,272.4
PRD05,2023-11,2006,68,Personal Loan,0.01,0.16,0.0,969.57
PRD06,2023-11,1964,59,Auto Loan,0.008,0.11,0.0,685.76
PRD07,2023-11,1989,71,Mortgage,0.005,0.085,0.0,501.39
PRD08,2023-11,1952,66,Consumer Loan,0.01,0.18,0.0,1024.8
PRD09,2023-11,2040,55,Term Deposit,0.0,0.06,0.0,255.0
PRD10,2023-11,1894,59,Investment Account,0.012,0.0,0.0,340.92
PRD11,2023-11,1981,57,Overdraft Facility,0.015,0.2,2.0,5233.14
PRD12,2023-11,1997,65,Bancassurance,0.1,0.0,0.0,2995.5
PRD01,2023-12,13051,433,Checking Account,0.0,0.001,3.0,39180.19
PRD02,2023-12,4945,156,Savings Account,0.0,0.015,0.0,154.53
PRD03,2023-12,3682,99,Credit Card,0.02,0.24,0.0,2945.6
PRD04,2023-12,3736,104,Debit Card,0.005,0.0,0.0,280.2
PRD05,2023-12,2072,66,Personal Loan,0.01,0.16,0.0,1001.47
PRD06,2023-12,2010,46,Auto Loan,0.008,0.11,0.0,701.82
PRD07,2023-12,2052,63,Mortgage,0.005,0.085,0.0,517.28
PRD08,2023-12,2025,73,Consumer Loan,0.01,0.18,0.0,1063.12
PRD09,2023-12,2095,55,Term Deposit,0.0,0.06,0.0,261.88
PRD10,2023-12,1952,58,Investment Account,0.012,0.0,0.0,351.36
PRD11,2023-12,2044,63,Overdraft Facility,0.015,0.2,2.0,5399.57
PRD12,2023-12,2069,72,Bancassurance,0.1,0.0,0.0,3103.5
PRD01,2024-01,13500,449,Checking Account,0.0,0.001,3.0,40528.12
PRD02,2024-01,5127,182,Savings Account,0.0,0.015,0.0,160.22
PRD03,2024-01,3815,133,Credit Card,0.02,0.24,0.0,3052.0
PRD04,2024-01,3861,125,Debit Card,0.005,0.0,0.0,289.58
PRD05,2024-01,2133,61,Personal Loan,0.01,0.16,0.0,1030.95
PRD06,2024-01,2077,67,Auto Loan,0.008,0.11,0.0,725.22
PRD07,2024-01,2126,74,Mortgage,0.005,0.085,0.0,535.93
PRD08,2024-01,2080,55,Consumer Loan,0.01,0.18,0.0,1092.0
PRD09,2024-01,2160,65,Term Deposit,0.0,0.06,0.0,270.0
PRD10,2024-01,2017,65,Investment Account,0.012,0.0,0.0,363.06
PRD11,2024-01,2113,69,Overdraft Facility,0.015,0.2,2.0,5581.84
PRD12,2024-01,2133,64,Bancassurance,0.1,0.0,0.0,3199.5
PRD01,2024-02,13877,377,Checking Account,0.0,0.001,3.0,41659.91
PRD02,2024-02,5303,176,Savings Account,0.0,0.015,0.0,165.72
PRD03,2024-02,3953,138,Credit Card,0.02,0.24,0.0,3162.4
PRD04,2024-02,3961,100,Debit Card,0.005,0.0,0.0,297.08
PRD05,2024-02,2204,71,Personal Loan,0.01,0.16,0.0,1065.27
PRD06,2024-02,2135,58,Auto Loan,0.008,0.11,0.0,745.47
PRD07,2024-02,2184,58,Mortgage,0.005,0.085,0.0,550.55
PRD08,2024-02,2147,67,Consumer Loan,0.01,0.18,0.0,1127.18
PRD09,2024-02,2234,74,Term Deposit,0.0,0.06,0.0,279.25
PRD10,2024-02,2076,59,Investment Account,0.012,0.0,0.0,373.68
PRD11,2024-02,2174,61,Overdraft Facility,0.015,0.2,2.0,5742.98
PRD12,2024-02,2195,62,Bancassurance,0.1,0.0,0.0,3292.5
PRD01,2024-03,14325,448,Checking Account,0.0,0.001,3.0,43004.84
PRD02,2024-03,5508,205,Savings Account,0.0,0.015,0.0,172.12
PRD03,2024-03,4090,137,Credit Card,0.02,0.24,0.0,3272.0
PRD04,2024-03,4089,128,Debit Card,0.005,0.0,0.0,306.68
PRD05,2024-03,2274,70,Personal Loan,0.01,0.16,0.0,1099.1
PRD06,2024-03,2223,88,Auto Loan,0.008,0.11,0.0,776.2
PRD07,2024-03,2260,76,Mortgage,0.005,0.085,0.0,569.71
PRD08,2024-03,2232,85,Consumer Loan,0.01,0.18,0.0,1171.8
PRD09,2024-03,2292,58,Term Deposit,0.0,0.06,0.0,286.5
PRD10,2024-03,2150,74,Investment Account,0.012,0.0,0.0,387.0
PRD11,2024-03,2252,78,Overdraft Facility,0.015,0.2,2.0,5949.03
PRD12,2024-03,2262,67,Bancassurance,0.1,0.0,0.0,3393.0
PRD01,2024-04,14764,439,Checking Account,0.0,0.001,3.0,44322.76
PRD02,2024-04,5696,188,Savings Account,0.0,0.015,0.0,178.0
PRD03,2024-04,4219,129,Credit Card,0.02,0.24,0.0,3375.2
PRD04,2024-04,4220,131,Debit Card,0.005,0.0,0.0,316.5
PRD05,2024-04,2336,62,Personal Loan,0.01,0.16,0.0,1129.07
PRD06,2024-04,2299,76,Auto Loan,0.008,0.11,0.0,802.73
PRD07,2024-04,2331,71,Mortgage,0.005,0.085,0.0,587.61
PRD08,2024-04,2297,65,Consumer Loan,0.01,0.18,0.0,1205.92
PRD09,2024-04,2367,75,Term Deposit,0.0,0.06,0.0,295.88
PRD10,2024-04,2225,75,Investment Account,0.012,0.0,0.0,400.5
PRD11,2024-04,2317,65,Overdraft Facility,0.015,0.2,2.0,6120.74
PRD12,2024-04,2330,68,Bancassurance,0.1,0.0,0.0,3495.0
PRD01,2024-05,15284,520,Checking Account,0.0,0.001,3.0,45883.84
PRD02,2024-05,5903,207,Savings Account,0.0,0.015,0.0,184.47
PRD03,2024-05,4369,150,Credit Card,0.02,0.24,0.0,3495.2
PRD04,2024-05,4355,135,Debit Card,0.005,0.0,0.0,326.62
PRD05,2024-05,2425,89,Personal Loan,0.01,0.16,0.0,1172.08
PRD06,2024-05,2377,78,Auto Loan,0.008,0.11,0.0,829.97
PRD07,2024-05,2409,78,Mortgage,0.005,0.085,0.0,607.27
PRD08,2024-05,2382,85,Consumer Loan,0.01,0.18,0.0,1250.55
PRD09,2024-05,2455,88,Term Deposit,0.0,0.06,0.0,306.88
PRD10,2024-05,2298,73,Investment Account,0.012,0.0,0.0,413.64
PRD11,2024-05,2416,99,Overdraft Facility,0.015,0.2,2.0,6382.27
PRD12,2024-05,2429,99,Bancassurance,0.1,0.0,0.0,3643.5
PRD01,2024-06,15775,491,Checking Account,0.0,0.001,3.0,47357.86
PRD02,2024-06,6104,201,Savings Account,0.0,0.015,0.0,190.75
PRD03,2024-06,4540,171,Credit Card,0.02,0.24,0.0,3632.0
PRD04,2024-06,4531,176,Debit Card,0.005,0.0,0.0,339.82
PRD05,2024-06,2496,71,Personal Loan,0.01,0.16,0.0,1206.4
PRD06,2024-06,2464,87,Auto Loan,0.008,0.11,0.0,860.35
PRD07,2024-06,2499,90,Mortgage,0.005,0.085,0.0,629.96
PRD08,2024-06,2458,76,Consumer Loan,0.01,0.18,0.0,1290.45
PRD09,2024-06,2550,95,Term Deposit,0.0,0.06,0.0,318.75
PRD10,2024-06,2369,71,Investment Account,0.012,0.0,0.0,426.42
PRD11,2024-06,2503,87,Overdraft Facility,0.015,0.2,2.0,6612.09
PRD12,2024-06,2516,87,Bancassurance,0.1,0.0,0.0,3774.0
PRD01,2024-07,16311,536,Checking Account,0.0,0.001,3.0,48966.98
PRD02,2024-07,6327,223,Savings Account,0.0,0.015,0.0,197.72
PRD03,2024-07,4684,144,Credit Card,0.02,0.24,0.0,3747.2
PRD04,2024-07,4682,151,Debit Card,0.005,0.0,0.0,351.15
PRD05,2024-07,2596,100,Personal Loan,0.01,0.16,0.0,1254.73
PRD06,2024-07,2558,94,Auto Loan,0.008,0.11,0.0,893.17
PRD07,2024-07,2595,96,Mortgage,0.005,0.085,0.0,654.16
PRD08,2024-07,2546,88,Consumer Loan,0.01,0.18,0.0,1336.65
PRD09,2024-07,2642,92,Term Deposit,0.0,0.06,0.0,330.25
PRD10,2024-07,2457,88,Investment Account,0.012,0.0,0.0,442.26
PRD11,2024-07,2604,101,Overdraft Facility,0.015,0.2,2.0,6878.9
PRD12,2024-07,2603,87,Bancassurance,0.1,0.0,0.0,3904.5
PRD01,2024-08,16940,629,Checking Account,0.0,0.001,3.0,50855.29
PRD02,2024-08,6573,246,Savings Account,0.0,0.015,0.0,205.41
PRD03,2024-08,4853,169,Credit Card,0.02,0.24,0.0,3882.4
PRD04,2024-08,4854,172,Debit Card,0.005,0.0,0.0,364.05
PRD05,2024-08,2693,97,Personal Loan,0.01,0.16,0.0,1301.62
PRD06,2024-08,2656,98,Auto Loan,0.008,0.11,0.0,927.39
PRD07,2024-08,2692,97,Mortgage,0.005,0.085,0.0,678.61
PRD08,2024-08,2642,96,Consumer Loan,0.01,0.18,0.0,1387.05
PRD09,2024-08,2730,88,Term Deposit,0.0,0.06,0.0,341.25
PRD10,2024-08,2571,114,Investment Account,0.012,0.0,0.0,462.78
PRD11,2024-08,2696,92,Overdraft Facility,0.015,0.2,2.0,7121.93
PRD12,2024-08,2701,98,Bancassurance,0.1,0.0,0.0,4051.5
PRD01,2024-09,17580,640,Checking Account,0.0,0.001,3.0,52776.62
PRD02,2024-09,6801,228,Savings Account,0.0,0.015,0.0,212.53
PRD03,2024-09,5055,202,Credit Card,0.02,0.24,0.0,4044.0
PRD04,2024-09,5015,161,Debit Card,0.005,0.0,0.0,376.12
PRD05,2024-09,2793,100,Personal Loan,0.01,0.16,0.0,1349.95
PRD06,2024-09,2758,102,Auto Loan,0.008,0.11,0.0,963.0
PRD07,2024-09,2795,103,Mortgage,0.005,0.085,0.0,704.57
PRD08,2024-09,2742,100,Consumer Loan,0.01,0.18,0.0,1439.55
PRD09,2024-09,2827,97,Term Deposit,0.0,0.06,0.0,353.38
PRD10,2024-09,2676,105,Investment Account,0.012,0.0,0.0,481.68
PRD11,2024-09,2798,102,Overdraft Facility,0.015,0.2,2.0,7391.38
PRD12,2024-09,2794,93,Bancassurance,0.1,0.0,0.0,4191.0
PRD01,2024-10,18342,762,Checking Account,0.0,0.001,3.0,55064.21
PRD02,2024-10,7052,251,Savings Account,0.0,0.015,0.0,220.38
PRD03,2024-10,5269,214,Credit Card,0.02,0.24,0.0,4215.2
PRD04,2024-10,5210,195,Debit Card,0.005,0.0,0.0,390.75
PRD05,2024-10,2891,98,Personal Loan,0.01,0.16,0.0,1397.32
PRD06,2024-10,2876,118,Auto Loan,0.008,0.11,0.0,1004.2
PRD07,2024-10,2914,119,Mortgage,0.005,0.085,0.0,734.57
PRD08,2024-10,2881,139,Consumer Loan,0.01,0.18,0.0,1512.52
PRD09,2024-10,2943,116,Term Deposit,0.0,0.06,0.0,367.88
PRD10,2024-10,2813,137,Investment Account,0.012,0.0,0.0,506.34
PRD11,2024-10,2918,120,Overdraft Facility,0.015,0.2,2.0,7708.38
PRD12,2024-10,2906,112,Bancassurance,0.1,0.0,0.0,4359.0
PRD01,2024-11,19164,822,Checking Account,0.0,0.001,3.0,57531.92
PRD02,2024-11,7376,324,Savings Account,0.0,0.015,0.0,230.5
PRD03,2024-11,5507,238,Credit Card,0.02,0.24,0.0,4405.6
PRD04,2024-11,5442,232,Debit Card,0.005,0.0,0.0,408.15
PRD05,2024-11,3023,132,Personal Loan,0.01,0.16,0.0,1461.12
PRD06,2024-11,2996,120,Auto Loan,0.008,0.11,0.0,1046.1
PRD07,2024-11,3041,127,Mortgage,0.005,0.085,0.0,766.59
PRD08,2024-11,3005,124,Consumer Loan,0.01,0.18,0.0,1577.62
PRD09,2024-11,3075,132,Term Deposit,0.0,0.06,0.0,384.38
PRD10,2024-11,2946,133,Investment Account,0.012,0.0,0.0,530.28
PRD11,2024-11,3042,124,Overdraft Facility,0.015,0.2,2.0,8035.95
PRD12,2024-11,3041,135,Bancassurance,0.1,0.0,0.0,4561.5
PRD01,2024-12,20000,836,Checking Account,0.0,0.001,3.0,60041.67
PRD02,2024-12,7748,372,Savings Account,0.0,0.015,0.0,242.12
PRD03,2024-12,5750,243,Credit Card,0.02,0.24,0.0,4600.0
PRD04,2024-12,5684,242,Debit Card,0.005,0.0,0.0,426.3
PRD05,2024-12,3170,147,Personal Loan,0.01,0.16,0.0,1532.17
PRD06,2024-12,3129,133,Auto Loan,0.008,0.11,0.0,1092.54
PRD07,2024-12,3163,122,Mortgage,0.005,0.085,0.0,797.34
PRD08,2024-12,3150,145,Consumer Loan,0.01,0.18,0.0,1653.75
PRD09,2024-12,3235,160,Term Deposit,0.0,0.06,0.0,404.38
PRD10,2024-12,3093,147,Investment Account,0.012,0.0,0.0,556.74
PRD11,2024-12,3185,143,Overdraft Facility,0.015,0.2,2.0,8413.71
PRD12,2024-12,3188,147,Bancassurance,0.1,0.0,0.0,4782.0
