loan_id,customer_id,product_id,loan_type,origination_date,term_months,interest_rate,loan_amount,outstanding_balance,probability_of_default,exposure_at_default,loss_given_default,dpd_bucket,default_flag,risk_bucket,branch_id,region,acquisition_channel,expected_credit_loss
LN000016,CUST000023,PRD11,Overdraft Facility,2021-08-10,12,0.2,10054.41,3630.12,0.0315,7372.54,0.368,Current,False,High,BR022,Region-06,CH12,85.46
LN000017,CUST000025,PRD11,Overdraft Facility,2024-02-04,12,0.2,1915.39,1016.45,0.0456,1547.63,0.466,Current,False,Elevated,BR001,Region-12,CH04,32.89
LN000018,CUST000026,PRD11,Overdraft Facility,2024-06-04,12,0.2,6716.14,3496.17,0.0207,4617.03,0.52,Current,False,Low,BR008,Region-02,CH12,49.7
LN000019,CUST000027,PRD06,Auto Loan,2021-02-07,60,0.11,10083.43,8867.21,0.004,8704.12,0.64,Current,False,Low,BR020,Region-12,CH05,22.28
LN000020,CUST000027,PRD07,Mortgage,2020-05-01,240,0.085,24596.0,17248.25,0.0097,22255.03,0.205,Current,False,Low,BR020,Region-12,CH05,44.25
LN000021,CUST000031,PRD05,Personal Loan,2022-09-27,36,0.16,4403.38,1688.04,0.0342,3827.66,0.449,Current,False,Moderate,BR018,Region-11,CH01,58.78
LN000022,CUST000031,PRD11,Overdraft Facility,2024-05-04,12,0.2,880.71,342.95,0.0095,719.61,0.374,Current,False,Moderate,BR018,Region-11,CH01,2.56
LN000023,CUST000031,PRD07,Mortgage,2023-11-03,240,0.085,15085.75,10631.7,0.0535,8300.39,0.446,Current,False,Moderate,BR018,Region-11,CH01,198.06
LN000024,CUST000031,PRD08,Consumer Loan,2024-03-06,24,0.18,4540.16,1321.79,0.004,3218.73,0.51,Current,False,Moderate,BR018,Region-11,CH01,6.57
LN000025,CUST000032,PRD06,Auto Loan,2023-10-27,60,0.11,1048.88,818.53,0.0217,665.99,0.494,Current,False,Moderate,BR024,Region-02,CH09,7.14
LN000026,CUST000032,PRD08,Consumer Loan,2024-04-11,24,0.18,2421.47,1800.88,0.0075,2356.58,0.415,Current,False,Moderate,BR024,Region-02,CH09,7.33
LN000027,CUST000033,PRD11,Overdraft Facility,2019-08-14,12,0.2,1529.78,785.47,0.0197,806.26,0.64,60-89,False,Low,BR017,Region-11,CH02,10.17
LN000028,CUST000034,PRD07,Mortgage,2024-10-14,240,0.085,72776.35,37690.81,0.0466,38758.51,0.364,Current,False,Low,BR003,Region-12,CH08,657.44
LN000029,CUST000035,PRD05,Personal Loan,2021-03-28,36,0.16,3313.68,2024.68,0.004,2853.59,0.51,Current,False,Moderate,BR024,Region-04,CH02,5.82
LN000030,CUST000037,PRD08,Consumer Loan,2021-04-06,24,0.18,940.54,490.31,0.0312,828.96,0.41,Current,False,Low,BR023,Region-07,CH02,10.6
LN000031,CUST000040,PRD11,Overdraft Facility,2021-06-07,12,0.2,11993.29,4189.32,0.004,6195.03,0.575,Current,False,Moderate,BR005,Region-12,CH01,14.25
LN000032,CUST000041,PRD06,Auto Loan,2024-01-22,60,0.11,4589.74,2312.67,0.004,3824.81,0.567,Current,False,Low,BR017,Region-01,CH07,8.67
LN000033,CUST000042,PRD11,Overdraft Facility,2020-07-03,12,0.2,3679.7,1591.34,0.0055,3460.35,0.275,Current,False,Low,BR016,Region-10,CH12,5.23
LN000034,CUST000043,PRD07,Mortgage,2023-06-19,240,0.085,32057.91,24675.58,0.0683,26204.79,0.369,60-89,False,Moderate,BR014,Region-10,CH06,660.43
LN000035,CUST000044,PRD11,Overdraft Facility,2020-03-10,12,0.2,11126.37,2779.37,0.0052,10446.09,0.518,Current,False,Low,BR005,Region-09,CH08,28.14
LN000036,CUST000044,PRD05,Personal Loan,2021-04-20,36,0.16,8220.68,1974.9,0.0117,4490.98,0.357,Current,False,Low,BR005,Region-09,CH08,18.76
LN000037,CUST000045,PRD05,Personal Loan,2017-03-30,36,0.16,6688.39,3612.76,0.0044,5366.76,0.438,Current,False,Low,BR003,Region-03,CH10,10.34
LN000038,CUST000045,PRD06,Auto Loan,2023-08-18,60,0.11,8282.36,2110.1,0.004,5517.31,0.407,Current,False,Low,BR003,Region-03,CH10,8.98
LN000039,CUST000047,PRD11,Overdraft Facility,2023-10-10,12,0.2,539.38,447.97,0.004,486.38,0.548,Current,False,Low,BR006,Region-06,CH08,1.07
LN000040,CUST000048,PRD11,Overdraft Facility,2018-10-08,12,0.2,6456.92,5543.34,0.0226,4536.27,0.401,Current,False,Moderate,BR024,Region-04,CH06,41.11
LN000041,CUST000049,PRD07,Mortgage,2024-11-09,240,0.085,63050.68,59102.48,0.1184,40637.22,0.387,Current,False,Elevated,BR013,Region-05,CH02,1862.03
LN000042,CUST000050,PRD05,Personal Loan,2021-06-12,36,0.16,6333.77,2546.98,0.0065,5517.03,0.416,Current,False,Low,BR001,Region-05,CH05,14.92
LN000043,CUST000052,PRD06,Auto Loan,2023-01-05,60,0.11,3029.88,1769.12,0.004,2935.74,0.556,Current,False,Low,BR022,Region-03,CH02,6.53
LN000044,CUST000053,PRD05,Personal Loan,2022-07-16,36,0.16,11158.07,4686.42,0.0483,9351.98,0.532,Current,False,High,BR015,Region-03,CH11,240.3
LN000045,CUST000056,PRD05,Personal Loan,2017-08-28,36,0.16,701.92,505.18,0.004,551.9,0.316,Current,False,Low,BR023,Region-12,CH02,0.7
LN000046,CUST000056,PRD08,Consumer Loan,2017-07-24,24,0.18,1332.22,1103.11,0.004,840.94,0.437,Current,False,Low,BR023,Region-12,CH02,1.47
LN000047,CUST000058,PRD05,Personal Loan,2024-04-16,36,0.16,2751.65,1705.63,0.0177,1823.91,0.308,Current,False,Elevated,BR018,Region-11,CH07,9.94
LN000048,CUST000059,PRD07,Mortgage,2021-11-04,240,0.085,2574.98,1265.13,0.0424,1406.87,0.438,90+,True,Elevated,BR007,Region-01,CH01,26.13
LN000049,CUST000061,PRD07,Mortgage,2022-02-19,240,0.085,16363.29,12863.7,0.0621,14779.52,0.393,Current,False,Moderate,BR007,Region-11,CH08,360.7
LN000050,CUST000061,PRD08,Consumer Loan,2022-04-25,24,0.18,2739.29,2029.22,0.0137,1857.88,0.368,Current,False,Moderate,BR007,Region-11,CH08,9.37
LN000051,CUST000062,PRD07,Mortgage,2022-02-21,240,0.085,8985.66,3585.98,0.0149,4841.92,0.435,Current,False,Low,BR016,Region-04,CH08,31.38
LN000052,CUST000064,PRD07,Mortgage,2020-12-18,240,0.085,16659.3,8397.11,0.0492,12098.03,0.449,Current,False,Low,BR020,Region-08,CH06,267.26
LN000053,CUST000067,PRD06,Auto Loan,2024-05-10,60,0.11,3481.27,2839.65,0.02,2810.34,0.591,Current,False,Moderate,BR024,Region-01,CH03,33.22
LN000054,CUST000067,PRD07,Mortgage,2024-06-21,240,0.085,11495.98,7643.29,0.0515,7370.54,0.424,Current,False,Moderate,BR024,Region-01,CH03,160.94
LN000055,CUST000069,PRD11,Overdraft Facility,2019-10-13,12,0.2,6965.83,5840.24,0.0101,3576.56,0.469,Current,False,Moderate,BR016,Region-07,CH01,16.94
LN000056,CUST000070,PRD07,Mortgage,2024-10-28,240,0.085,2900.87,1309.75,0.1121,2817.04,0.612,90+,True,High,BR023,Region-01,CH11,193.26
LN000057,CUST000071,PRD05,Personal Loan,2024-09-09,36,0.16,3879.62,1901.41,0.0102,3085.73,0.443,Current,False,Moderate,BR007,Region-04,CH10,13.94
LN000058,CUST000071,PRD06,Auto Loan,2023-08-20,60,0.11,1230.71,974.25,0.004,682.19,0.448,Current,False,Moderate,BR007,Region-04,CH10,1.22
LN000059,CUST000073,PRD11,Overdraft Facility,2021-01-10,12,0.2,1972.68,531.06,0.0341,1463.45,0.629,Current,False,Low,BR003,Region-07,CH05,31.39
LN000060,CUST000075,PRD08,Consumer Loan,2024-10-08,24,0.18,2206.82,1878.4,0.0357,1797.61,0.414,Current,False,High,BR019,Region-09,CH02,26.57
LN000061,CUST000076,PRD06,Auto Loan,2023-02-02,60,0.11,1443.47,704.86,0.0267,881.4,0.384,30-59,False,Moderate,BR003,Region-11,CH12,9.04
LN000062,CUST000076,PRD11,Overdraft Facility,2020-04-18,12,0.2,1877.41,1425.59,0.0311,1519.01,0.393,Current,False,Moderate,BR003,Region-11,CH12,18.57
LN000063,CUST000078,PRD11,Overdraft Facility,2024-11-21,12,0.2,1466.66,767.02,0.0276,978.82,0.321,Current,False,Elevated,BR004,Region-06,CH05,8.67
LN000064,CUST000078,PRD07,Mortgage,2024-12-25,240,0.085,4821.18,1177.2,0.0695,3656.53,0.524,30-59,False,Elevated,BR004,Region-06,CH05,133.16
LN000065,CUST000079,PRD05,Personal Loan,2021-03-23,36,0.16,679.87,419.33,0.004,487.33,0.545,Current,False,Moderate,BR005,Region-03,CH11,1.06
LN000066,CUST000081,PRD07,Mortgage,2021-10-26,240,0.085,4335.08,1287.19,0.1574,2536.2,0.438,Current,False,High,BR007,Region-05,CH10,174.85
LN000067,CUST000082,PRD06,Auto Loan,2023-09-14,60,0.11,4218.88,979.96,0.007,2957.2,0.479,Current,False,Low,BR013,Region-02,CH12,9.92
LN000068,CUST000082,PRD07,Mortgage,2022-10-05,240,0.085,28019.34,18157.22,0.0508,16516.66,0.308,Current,False,Low,BR013,Region-02,CH12,258.43
LN000069,CUST000085,PRD07,Mortgage,2024-11-07,240,0.085,9838.04,2983.62,0.1424,6276.84,0.43,Current,False,High,BR017,Region-02,CH01,384.34
LN000070,CUST000086,PRD08,Consumer Loan,2024-11-21,24,0.18,4481.28,2434.31,0.0112,3476.55,0.208,Current,False,Moderate,BR011,Region-03,CH11,8.1
LN000071,CUST000087,PRD08,Consumer Loan,2018-05-02,24,0.18,18240.08,5668.64,0.0222,16721.14,0.46,Current,False,Moderate,BR003,Region-09,CH11,170.76
LN000072,CUST000089,PRD07,Mortgage,2021-06-28,240,0.085,14896.0,6060.16,0.051,9933.27,0.333,Current,False,Low,BR017,Region-12,CH06,168.7
LN000073,CUST000090,PRD07,Mortgage,2020-11-11,240,0.085,3803.4,1093.79,0.1381,2106.72,0.438,30-59,False,High,BR001,Region-01,CH12,127.43
LN000074,CUST000090,PRD08,Consumer Loan,2022-07-28,24,0.18,927.88,369.43,0.0312,708.04,0.579,Current,False,High,BR001,Region-01,CH12,12.79
LN000075,CUST000091,PRD05,Personal Loan,2021-11-20,36,0.16,6188.22,5610.51,0.0079,4026.2,0.445,Current,False,Low,BR016,Region-01,CH02,14.15
LN000076,CUST000091,PRD06,Auto Loan,2018-09-21,60,0.11,2096.34,503.94,0.0375,1289.5,0.389,Current,False,Low,BR016,Region-01,CH02,18.81
LN000077,CUST000091,PRD07,Mortgage,2019-12-09,240,0.085,21434.17,15286.62,0.043,21069.26,0.558,Current,False,Low,BR016,Region-01,CH02,505.54
LN000078,CUST000092,PRD06,Auto Loan,2017-05-27,60,0.11,8822.93,3626.88,0.0281,8350.53,0.372,Current,False,Elevated,BR001,Region-09,CH03,87.29
LN000079,CUST000093,PRD06,Auto Loan,2024-09-30,60,0.11,13078.17,9882.14,0.0136,9492.48,0.414,Current,False,Low,BR021,Region-04,CH11,53.45
LN000080,CUST000093,PRD11,Overdraft Facility,2023-05-25,12,0.2,7552.84,6643.58,0.004,5406.73,0.381,Current,False,Low,BR021,Region-04,CH11,8.24
LN000081,CUST000093,PRD07,Mortgage,2023-07-31,240,0.085,54512.39,31834.95,0.0316,52946.83,0.481,Current,False,Low,BR021,Region-04,CH11,804.77
LN000082,CUST000093,PRD08,Consumer Loan,2023-06-09,24,0.18,13865.18,5026.05,0.004,9984.99,0.356,Current,False,Low,BR021,Region-04,CH11,14.22
LN000083,CUST000094,PRD05,Personal Loan,2021-07-12,36,0.16,519.05,434.35,0.004,358.24,0.422,Current,False,Low,BR025,Region-11,CH05,0.6
LN000084,CUST000094,PRD06,Auto Loan,2024-12-20,60,0.11,1068.52,943.63,0.004,754.83,0.423,Current,False,Low,BR025,Region-11,CH05,1.28
LN000085,CUST000095,PRD06,Auto Loan,2023-11-11,60,0.11,5848.59,5294.73,0.0127,5623.17,0.303,Current,False,Low,BR003,Region-10,CH07,21.64
LN000086,CUST000096,PRD05,Personal Loan,2024-09-29,36,0.16,1604.24,1268.81,0.0091,872.74,0.57,Current,False,Moderate,BR024,Region-01,CH05,4.53
LN000087,CUST000096,PRD07,Mortgage,2023-04-28,240,0.085,4082.2,2828.79,0.0511,2614.41,0.324,Current,False,Moderate,BR024,Region-01,CH05,43.29
LN000088,CUST000096,PRD08,Consumer Loan,2023-04-29,24,0.18,500.0,237.62,0.0053,303.03,0.456,Current,False,Moderate,BR024,Region-01,CH05,0.73
LN000089,CUST000097,PRD11,Overdraft Facility,2018-11-09,12,0.2,6329.92,5165.06,0.004,4914.35,0.502,Current,False,Low,BR007,Region-12,CH02,9.87
LN000090,CUST000097,PRD08,Consumer Loan,2023-12-14,24,0.18,12177.56,3114.59,0.0077,7247.46,0.569,Current,False,Low,BR007,Region-12,CH02,31.75
LN000091,CUST000098,PRD11,Overdraft Facility,2023-05-22,12,0.2,728.61,639.69,0.004,633.69,0.294,Current,False,Elevated,BR002,Region-12,CH02,0.75
LN000092,CUST000100,PRD06,Auto Loan,2023-12-02,60,0.11,72922.47,55991.5,0.014,48147.48,0.336,Current,False,Low,BR008,Region-08,CH09,226.49
LN000093,CUST000105,PRD05,Personal Loan,2019-09-03,36,0.16,3095.54,1725.68,0.0135,2284.45,0.264,Current,False,Elevated,BR018,Region-05,CH08,8.14
LN000094,CUST000106,PRD07,Mortgage,2018-12-08,240,0.085,15909.71,10683.49,0.039,10052.04,0.572,Current,False,Low,BR007,Region-12,CH06,224.24
LN000095,CUST000107,PRD05,Personal Loan,2017-09-26,36,0.16,2145.33,608.47,0.0263,1644.24,0.577,Current,False,Low,BR002,Region-09,CH11,24.95
LN000096,CUST000107,PRD07,Mortgage,2022-07-07,240,0.085,5807.04,1490.64,0.0242,3158.47,0.356,Current,False,Low,BR002,Region-09,CH11,27.21
LN000097,CUST000108,PRD07,Mortgage,2023-02-15,240,0.085,3321.59,2059.41,0.1161,2728.76,0.504,Current,False,High,BR018,Region-09,CH04,159.67
LN000098,CUST000110,PRD06,Auto Loan,2020-11-15,60,0.11,591.08,401.68,0.0042,582.58,0.227,Current,False,Low,BR024,Region-09,CH09,0.56
LN000099,CUST000110,PRD11,Overdraft Facility,2024-07-25,12,0.2,1406.83,1098.18,0.0102,1024.25,0.532,Current,False,Low,BR024,Region-09,CH09,5.56
LN000100,CUST000110,PRD08,Consumer Loan,2024-04-25,24,0.18,1178.05,635.2,0.0062,636.15,0.436,Current,False,Low,BR024,Region-09,CH09,1.72
LN000101,CUST000112,PRD06,Auto Loan,2021-03-14,60,0.11,500.0,151.05,0.0189,329.62,0.61,60-89,False,Low,BR006,Region-08,CH04,3.8
LN000102,CUST000113,PRD06,Auto Loan,2022-05-24,60,0.11,1411.51,754.05,0.0406,1195.98,0.388,Current,False,Elevated,BR020,Region-07,CH06,18.84
LN000103,CUST000113,PRD11,Overdraft Facility,2022-05-08,12,0.2,1068.19,978.56,0.012,968.65,0.408,Current,False,Elevated,BR020,Region-07,CH06,4.74
LN000104,CUST000116,PRD11,Overdraft Facility,2024-11-16,12,0.2,5595.71,1301.06,0.0218,5358.81,0.618,Current,False,High,BR017,Region-11,CH12,72.2
LN000105,CUST000118,PRD06,Auto Loan,2023-02-08,60,0.11,11945.44,2683.89,0.0521,11105.5,0.314,Current,False,Elevated,BR016,Region-09,CH07,181.68
LN000106,CUST000118,PRD07,Mortgage,2024-11-19,240,0.085,39587.23,15352.63,0.0931,25413.31,0.576,Current,False,Elevated,BR016,Region-09,CH07,1362.8
LN000107,CUST000118,PRD08,Consumer Loan,2024-03-31,24,0.18,11932.98,6292.28,0.0505,7724.51,0.466,Current,False,Elevated,BR016,Region-09,CH07,181.78
LN000108,CUST000119,PRD08,Consumer Loan,2022-03-30,24,0.18,3375.67,2144.7,0.0234,2995.85,0.205,Current,False,Low,BR019,Region-02,CH10,14.37
LN000109,CUST000120,PRD11,Overdraft Facility,2022-10-29,12,0.2,893.14,751.27,0.0126,597.72,0.253,Current,False,Low,BR005,Region-11,CH02,1.91
LN000110,CUST000121,PRD07,Mortgage,2024-07-10,240,0.085,2674.72,2376.11,0.0345,1410.6,0.488,Current,False,Moderate,BR015,Region-07,CH05,23.75
LN000111,CUST000122,PRD08,Consumer Loan,2023-01-06,24,0.18,538.71,433.37,0.0176,406.43,0.428,Current,False,High,BR018,Region-06,CH08,3.06
LN000112,CUST000124,PRD05,Personal Loan,2023-06-04,36,0.16,4643.16,1627.57,0.0174,3364.64,0.525,Current,False,Low,BR024,Region-11,CH08,30.74
LN000113,CUST000124,PRD08,Consumer Loan,2023-06-24,24,0.18,6836.61,3418.95,0.0076,4216.82,0.561,Current,False,Low,BR024,Region-11,CH08,17.98
LN000114,CUST000125,PRD05,Personal Loan,2024-02-20,36,0.16,15295.7,7038.12,0.0204,11936.69,0.664,Current,False,Moderate,BR024,Region-08,CH04,161.69
LN000115,CUST000128,PRD11,Overdraft Facility,2022-11-18,12,0.2,543.52,157.27,0.004,386.94,0.493,Current,False,Low,BR002,Region-11,CH01,0.76
LN000116,CUST000129,PRD05,Personal Loan,2020-12-11,36,0.16,5344.57,4489.31,0.004,4956.47,0.596,Current,False,Low,BR024,Region-11,CH06,11.82
LN000117,CUST000129,PRD11,Overdraft Facility,2021-07-03,12,0.2,4840.55,3429.59,0.004,3673.18,0.461,Current,False,Low,BR024,Region-11,CH06,6.77
LN000118,CUST000129,PRD07,Mortgage,2019-10-27,240,0.085,28388.88,13508.35,0.0353,16569.05,0.419,Current,False,Low,BR024,Region-11,CH06,245.07
LN000119,CUST000133,PRD06,Auto Loan,2020-08-25,60,0.11,9925.67,7939.16,0.0232,6315.31,0.504,Current,False,Moderate,BR009,Region-06,CH06,73.84
LN000120,CUST000134,PRD05,Personal Loan,2023-02-28,36,0.16,4843.91,2509.09,0.0144,4058.42,0.481,Current,False,Low,BR022,Region-07,CH02,28.11
LN000121,CUST000135,PRD11,Overdraft Facility,2024-01-08,12,0.2,11366.11,4329.27,0.0334,7130.41,0.45,Current,False,Moderate,BR005,Region-08,CH03,107.17
LN000122,CUST000135,PRD07,Mortgage,2023-06-12,240,0.085,49996.01,45575.69,0.0652,43495.22,0.516,Current,False,Moderate,BR005,Region-08,CH03,1463.32
LN000123,CUST000135,PRD08,Consumer Loan,2024-04-13,24,0.18,13856.98,11208.14,0.0224,13450.79,0.48,Current,False,Moderate,BR005,Region-08,CH03,144.62
LN000124,CUST000136,PRD07,Mortgage,2024-01-19,240,0.085,3199.36,719.24,0.1252,1767.03,0.482,30-59,False,High,BR015,Region-01,CH02,106.63
LN000125,CUST000138,PRD06,Auto Loan,2024-09-12,60,0.11,10384.2,6167.06,0.0339,9249.02,0.37,Current,False,Elevated,BR007,Region-04,CH08,116.01
LN000126,CUST000144,PRD05,Personal Loan,2024-01-01,36,0.16,3958.74,2272.37,0.0107,3005.24,0.618,Current,False,Low,BR010,Region-07,CH01,19.87
LN000127,CUST000144,PRD08,Consumer Loan,2021-12-28,24,0.18,8418.86,1759.67,0.0155,7492.83,0.462,Current,False,Low,BR010,Region-07,CH01,53.66
LN000128,CUST000147,PRD05,Personal Loan,2024-09-17,36,0.16,11163.2,9002.97,0.0169,7137.36,0.483,Current,False,Moderate,BR017,Region-12,CH02,58.26
LN000129,CUST000147,PRD07,Mortgage,2023-11-14,240,0.085,37790.09,20897.4,0.0609,19998.96,0.543,Current,False,Moderate,BR017,Region-12,CH02,661.34
LN000130,CUST000147,PRD08,Consumer Loan,2021-06-18,24,0.18,8761.46,3982.45,0.004,7618.89,0.547,Current,False,Moderate,BR017,Region-12,CH02,16.67
LN000131,CUST000149,PRD05,Personal Loan,2024-05-02,36,0.16,942.18,329.65,0.004,521.53,0.395,Current,False,Low,BR014,Region-06,CH04,0.82
LN000132,CUST000149,PRD06,Auto Loan,2022-07-25,60,0.11,1852.24,1146.0,0.004,1832.46,0.486,Current,False,Low,BR014,Region-06,CH04,3.56
LN000133,CUST000149,PRD07,Mortgage,2018-03-25,240,0.085,7468.55,5382.33,0.0202,5125.87,0.416,Current,False,Low,BR014,Region-06,CH04,43.07
LN000134,CUST000150,PRD07,Mortgage,2021-08-18,240,0.085,8422.21,6826.68,0.0756,5483.91,0.429,30-59,False,Elevated,BR011,Region-11,CH12,177.86
LN000135,CUST000152,PRD08,Consumer Loan,2023-11-04,24,0.18,17382.46,10228.53,0.0426,16974.89,0.36,Current,False,Elevated,BR009,Region-11,CH09,260.33
LN000136,CUST000152,PRD05,Personal Loan,2024-07-03,36,0.16,4778.08,2820.33,0.0113,3822.71,0.439,Current,False,Elevated,BR009,Region-11,CH09,18.96
LN000137,CUST000155,PRD08,Consumer Loan,2023-11-25,24,0.18,4722.73,1516.07,0.0197,3759.73,0.526,Current,False,Moderate,BR014,Region-01,CH01,38.96
LN000138,CUST000155,PRD07,Mortgage,2023-06-18,240,0.085,10901.58,4592.84,0.0497,8915.67,0.466,Current,False,Moderate,BR014,Region-01,CH01,206.49
LN000139,CUST000157,PRD06,Auto Loan,2021-12-18,60,0.11,4616.56,1017.77,0.0068,2686.93,0.303,Current,False,Moderate,BR015,Region-11,CH04,5.54
LN000140,CUST000157,PRD11,Overdraft Facility,2023-04-05,12,0.2,3693.96,1547.21,0.0119,2210.67,0.451,Current,False,Moderate,BR015,Region-11,CH04,11.86
LN000141,CUST000157,PRD07,Mortgage,2022-08-03,240,0.085,16825.71,14835.73,0.0573,9123.38,0.44,90+,True,Moderate,BR015,Region-11,CH04,230.02
LN000142,CUST000159,PRD05,Personal Loan,2023-03-07,36,0.16,3028.33,2701.38,0.009,1612.95,0.546,Current,False,Low,BR017,Region-06,CH02,7.93
LN000143,CUST000160,PRD07,Mortgage,2023-10-28,240,0.085,5249.02,2776.85,0.044,3863.27,0.569,Current,False,Low,BR006,Region-10,CH06,96.72
LN000144,CUST000161,PRD11,Overdraft Facility,2024-01-18,12,0.2,10724.75,7209.67,0.004,6117.42,0.365,Current,False,Low,BR013,Region-11,CH05,8.93
LN000145,CUST000162,PRD11,Overdraft Facility,2021-07-10,12,0.2,4489.01,1950.98,0.004,2480.01,0.467,Current,False,Low,BR022,Region-06,CH07,4.63
LN000146,CUST000163,PRD05,Personal Loan,2023-03-01,36,0.16,1219.78,439.51,0.0083,1205.43,0.446,Current,False,Moderate,BR015,Region-05,CH02,4.46
LN000147,CUST000164,PRD05,Personal Loan,2024-03-13,36,0.16,1695.4,1124.42,0.004,1604.52,0.364,Current,False,Low,BR006,Region-06,CH05,2.34
LN000148,CUST000165,PRD06,Auto Loan,2022-11-18,60,0.11,3190.62,1188.22,0.004,2535.18,0.395,Current,False,Moderate,BR019,Region-08,CH02,4.01
LN000149,CUST000165,PRD07,Mortgage,2022-04-17,240,0.085,25906.65,22741.02,0.0517,15735.12,0.379,Current,False,Moderate,BR019,Region-08,CH02,308.32
LN000150,CUST000165,PRD08,Consumer Loan,2023-03-19,24,0.18,3843.21,773.95,0.0119,3040.49,0.484,Current,False,Moderate,BR019,Region-08,CH02,17.51
LN000151,CUST000166,PRD08,Consumer Loan,2023-02-27,24,0.18,12983.27,7195.64,0.004,9339.06,0.542,Current,False,Low,BR008,Region-04,CH09,20.25
LN000152,CUST000167,PRD08,Consumer Loan,2024-08-01,24,0.18,1699.68,495.67,0.0042,975.3,0.48,Current,False,Moderate,BR023,Region-09,CH03,1.97
LN000153,CUST000167,PRD07,Mortgage,2023-10-15,240,0.085,31219.23,15046.79,0.0392,18097.71,0.404,Current,False,Moderate,BR023,Region-09,CH03,286.61
LN000154,CUST000169,PRD11,Overdraft Facility,2022-01-09,12,0.2,3469.74,2540.98,0.0074,2238.09,0.649,Current,False,Elevated,BR024,Region-01,CH12,10.75
LN000155,CUST000169,PRD08,Consumer Loan,2022-07-30,24,0.18,2344.34,1298.19,0.0058,2131.92,0.284,Current,False,Elevated,BR024,Region-01,CH12,3.51
LN000156,CUST000170,PRD07,Mortgage,2023-02-17,240,0.085,5209.91,1903.08,0.0232,4284.33,0.471,Current,False,Low,BR021,Region-10,CH09,46.82
LN000157,CUST000170,PRD05,Personal Loan,2022-01-02,36,0.16,1813.32,904.33,0.004,1013.93,0.499,Current,False,Low,BR021,Region-10,CH09,2.02
LN000158,CUST000172,PRD05,Personal Loan,2024-12-17,36,0.16,4209.03,1178.73,0.0058,4176.37,0.532,Current,False,Low,BR017,Region-01,CH04,12.89
LN000159,CUST000172,PRD11,Overdraft Facility,2023-08-26,12,0.2,2467.01,1816.79,0.0056,1771.61,0.335,Current,False,Low,BR017,Region-01,CH04,3.32
LN000160,CUST000173,PRD11,Overdraft Facility,2024-10-29,12,0.2,3544.52,907.02,0.0123,2381.47,0.492,Current,False,Elevated,BR007,Region-10,CH03,14.41
LN000161,CUST000174,PRD05,Personal Loan,2024-11-23,36,0.16,3617.71,3321.62,0.0169,2541.92,0.398,Current,False,Moderate,BR010,Region-06,CH07,17.1
