customer_id,recommended_product,propensity_score,expected_annual_revenue
CUST001281,Personal Loan,0.7318,3.33
CUST001332,Credit Card,0.7367,5.87
CUST001358,Credit Card,0.7271,5.87
CUST001467,Credit Card,0.7218,5.87
CUST001473,Term Deposit,0.7048,0.0
CUST001483,Credit Card,0.7338,5.87
CUST001507,Term Deposit,0.718,0.0
CUST001534,Credit Card,0.7359,5.87
CUST001560,Credit Card,0.7424,5.87
CUST001650,Auto Loan,0.7251,2.23
CUST001657,Investment Account,0.7432,2.95
CUST001664,Credit Card,0.7206,5.87
CUST001679,Credit Card,0.7323,5.87
CUST001713,Bancassurance,0.7314,31.03
CUST001751,Auto Loan,0.7189,2.23
CUST001800,Bancassurance,0.7598,31.03
CUST001858,Bancassurance,0.7448,31.03
CUST001884,Personal Loan,0.703,3.33
CUST001929,Investment Account,0.7337,2.95
CUST001967,Term Deposit,0.7021,0.0
CUST001971,Bancassurance,0.7396,31.03
CUST001981,Bancassurance,0.7319,31.03
CUST002046,Bancassurance,0.7292,31.03
CUST002073,Credit Card,0.7351,5.87
CUST002075,Personal Loan,0.701,3.33
CUST002109,Credit Card,0.731,5.87
CUST002114,Credit Card,0.7288,5.87
CUST002117,Auto Loan,0.715,2.23
CUST002118,Investment Account,0.7396,2.95
CUST002120,Investment Account,0.7565,2.95
CUST002161,Auto Loan,0.761,2.23
CUST002176,Personal Loan,0.7149,3.33
CUST002202,Credit Card,0.7418,5.87
CUST002208,Bancassurance,0.7521,31.03
CUST002213,Bancassurance,0.7409,31.03
CUST002215,Investment Account,0.7379,2.95
CUST002280,Personal Loan,0.7082,3.33
CUST002310,Auto Loan,0.7265,2.23
CUST002349,Investment Account,0.7289,2.95
CUST002355,Credit Card,0.7306,5.87
CUST002371,Personal Loan,0.7024,3.33
CUST002376,Bancassurance,0.7314,31.03
CUST002394,Credit Card,0.7506,5.87
CUST002440,Investment Account,0.7331,2.95
CUST002451,Auto Loan,0.7336,2.23
CUST002458,Personal Loan,0.7202,3.33
CUST002459,Auto Loan,0.7526,2.23
CUST002463,Investment Account,0.7323,2.95
CUST002488,Bancassurance,0.7296,31.03
CUST002530,Credit Card,0.7275,5.87
CUST002555,Investment Account,0.7313,2.95
CUST002578,Auto Loan,0.7165,2.23
CUST002585,Bancassurance,0.7378,31.03
CUST002593,Bancassurance,0.7338,31.03
CUST002596,Bancassurance,0.7353,31.03
CUST002652,Investment Account,0.7308,2.95
CUST002657,Auto Loan,0.7168,2.23
CUST002664,Term Deposit,0.7095,0.0
CUST002668,Auto Loan,0.7237,2.23
CUST002685,Auto Loan,0.7574,2.23
CUST002756,Investment Account,0.727,2.95
CUST002769,Personal Loan,0.7268,3.33
CUST002817,Investment Account,0.7296,2.95
CUST002865,Personal Loan,0.7096,3.33
CUST002882,Auto Loan,0.7432,2.23
CUST002953,Investment Account,0.7306,2.95
CUST002971,Auto Loan,0.7141,2.23
CUST002994,Personal Loan,0.7014,3.33
CUST003026,Term Deposit,0.7062,0.0
CUST003105,Credit Card,0.7232,5.87
CUST003119,Investment Account,0.7458,2.95
CUST003150,Personal Loan,0.722,3.33
CUST003183,Bancassurance,0.744,31.03
CUST003207,Bancassurance,0.7443,31.03
CUST003238,Auto Loan,0.7514,2.23
CUST003262,Bancassurance,0.7529,31.03
CUST003282,Personal Loan,0.7066,3.33
CUST003291,Bancassurance,0.7377,31.03
CUST003306,Credit Card,0.7335,5.87
CUST003328,Bancassurance,0.7474,31.03
CUST003351,Credit Card,0.7358,5.87
CUST003370,Credit Card,0.7699,5.87
CUST003397,Credit Card,0.7329,5.87
CUST003399,Term Deposit,0.7086,0.0
CUST003419,Bancassurance,0.7313,31.03
CUST003429,Investment Account,0.7401,2.95
CUST003446,Auto Loan,0.7199,2.23
CUST003453,Personal Loan,0.7011,3.33
CUST003458,Term Deposit,0.7057,0.0
CUST003480,Personal Loan,0.7074,3.33
CUST003499,Auto Loan,0.7464,2.23
CUST003521,Bancassurance,0.7487,31.03
CUST003542,Auto Loan,0.7577,2.23
CUST003588,Bancassurance,0.7485,31.03
CUST003626,Auto Loan,0.7444,2.23
CUST003632,Credit Card,0.7365,5.87
CUST003652,Credit Card,0.7383,5.87
CUST003675,Bancassurance,0.7323,31.03
CUST003700,Auto Loan,0.733,2.23
CUST003714,Auto Loan,0.7476,2.23
CUST003727,Auto Loan,0.7459,2.23
CUST003847,Bancassurance,0.7359,31.03
CUST003873,Auto Loan,0.7483,2.23
CUST003882,Bancassurance,0.739,31.03
CUST003887,Bancassurance,0.7448,31.03
CUST003937,Bancassurance,0.7316,31.03
CUST003959,Personal Loan,0.7027,3.33
CUST003961,Personal Loan,0.7102,3.33
CUST003973,Bancassurance,0.7309,31.03
CUST003981,Credit Card,0.7341,5.87
CUST004000,Investment Account,0.7314,2.95
CUST004007,Auto Loan,0.7421,2.23
CUST004034,Term Deposit,0.7192,0.0
CUST004055,Auto Loan,0.7511,2.23
CUST004084,Credit Card,0.7263,5.87
CUST004143,Credit Card,0.7515,5.87
CUST004251,Credit Card,0.7201,5.87
CUST004252,Bancassurance,0.7371,31.03
CUST004318,Personal Loan,0.7102,3.33
CUST004339,Investment Account,0.7348,2.95
CUST004353,Term Deposit,0.7113,0.0
CUST004366,Term Deposit,0.7065,0.0
CUST004382,Auto Loan,0.7262,2.23
CUST004448,Investment Account,0.733,2.95
CUST004458,Auto Loan,0.7496,2.23
CUST004505,Credit Card,0.7272,5.87
CUST004518,Investment Account,0.7332,2.95
CUST004523,Credit Card,0.7214,5.87
CUST004548,Credit Card,0.7275,5.87
CUST004559,Auto Loan,0.7201,2.23
CUST004571,Bancassurance,0.7424,31.03
CUST004582,Personal Loan,0.7147,3.33
CUST004674,Auto Loan,0.7403,2.23
CUST004683,Auto Loan,0.7581,2.23
CUST004693,Bancassurance,0.7335,31.03
CUST004712,Auto Loan,0.7361,2.23
CUST004714,Auto Loan,0.7564,2.23
CUST004729,Term Deposit,0.7062,0.0
CUST004734,Investment Account,0.7323,2.95
CUST004739,Bancassurance,0.739,31.03
CUST004743,Personal Loan,0.7104,3.33
CUST004773,Bancassurance,0.7318,31.03
CUST004786,Credit Card,0.7258,5.87
CUST004844,Bancassurance,0.732,31.03
CUST004911,Auto Loan,0.729,2.23
CUST004921,Term Deposit,0.7086,0.0
CUST004936,Term Deposit,0.7034,0.0
CUST004944,Auto Loan,0.754,2.23
CUST004947,Credit Card,0.727,5.87
CUST004956,Bancassurance,0.7378,31.03
CUST004966,Auto Loan,0.7266,2.23
CUST005012,Investment Account,0.7362,2.95
CUST005013,Investment Account,0.7336,2.95
CUST005021,Bancassurance,0.7466,31.03
CUST005058,Auto Loan,0.7364,2.23
CUST005080,Investment Account,0.7396,2.95
CUST005125,Bancassurance,0.742,31.03
CUST005140,Auto Loan,0.7214,2.23
CUST005151,Personal Loan,0.7053,3.33
CUST005166,Personal Loan,0.711,3.33
CUST005178,Term Deposit,0.7027,0.0
CUST005180,Personal Loan,0.7059,3.33
CUST005206,Credit Card,0.721,5.87
CUST005225,Personal Loan,0.7169,3.33
CUST005229,Credit Card,0.722,5.87
CUST005273,Auto Loan,0.7506,2.23
CUST005287,Investment Account,0.7331,2.95
CUST005288,Term Deposit,0.7222,0.0
CUST005313,Auto Loan,0.7194,2.23
CUST005315,Auto Loan,0.7266,2.23
CUST005321,Credit Card,0.744,5.87
CUST005330,Auto Loan,0.7215,2.23
CUST005361,Credit Card,0.7258,5.87
CUST005370,Bancassurance,0.752,31.03
CUST005380,Personal Loan,0.7376,3.33
CUST005443,Auto Loan,0.7258,2.23
CUST005444,Term Deposit,0.7041,0.0
CUST005483,Investment Account,0.7329,2.95
CUST005487,Investment Account,0.729,2.95
CUST005537,Investment Account,0.7288,2.95
CUST005588,Bancassurance,0.7375,31.03
CUST005593,Term Deposit,0.7091,0.0
CUST005649,Auto Loan,0.722,2.23
CUST005651,Bancassurance,0.7411,31.03
CUST005707,Auto Loan,0.7408,2.23
CUST005738,Auto Loan,0.7364,2.23
CUST005747,Term Deposit,0.7104,0.0
CUST005749,Investment Account,0.7315,2.95
CUST005762,Auto Loan,0.7383,2.23
CUST005792,Investment Account,0.7277,2.95
CUST005801,Credit Card,0.7483,5.87
CUST005843,Credit Card,0.7253,5.87
CUST005849,Personal Loan,0.7023,3.33
CUST005904,Term Deposit,0.7055,0.0
CUST005918,Credit Card,0.7279,5.87
CUST005948,Bancassurance,0.7362,31.03
CUST005963,Bancassurance,0.7693,31.03
CUST005979,Bancassurance,0.75,31.03
CUST005986,Bancassurance,0.7381,31.03
CUST006007,Credit Card,0.7478,5.87
CUST006061,Term Deposit,0.7133,0.0
CUST006065,Investment Account,0.7322,2.95
CUST006107,Investment Account,0.7347,2.95
CUST006111,Auto Loan,0.7342,2.23
CUST006116,Credit Card,0.7382,5.87
CUST006117,Credit Card,0.7432,5.87
CUST006179,Bancassurance,0.7591,31.03
CUST006197,Bancassurance,0.7298,31.03
CUST006243,Term Deposit,0.7063,0.0
CUST006273,Credit Card,0.7299,5.87
CUST006285,Credit Card,0.7402,5.87
CUST006330,Credit Card,0.7211,5.87
CUST006333,Auto Loan,0.7457,2.23
CUST006383,Bancassurance,0.7483,31.03
CUST006422,Investment Account,0.7354,2.95
CUST006445,Bancassurance,0.7355,31.03
CUST006471,Personal Loan,0.7012,3.33
CUST006485,Investment Account,0.7389,2.95
CUST006495,Auto Loan,0.7303,2.23
CUST006502,Term Deposit,0.7042,0.0
CUST006570,Credit Card,0.7273,5.87
CUST006627,Auto Loan,0.7444,2.23
CUST006632,Credit Card,0.7232,5.87
CUST006649,Term Deposit,0.7031,0.0
CUST006671,Personal Loan,0.7051,3.33
CUST006680,Personal Loan,0.7088,3.33
CUST006700,Auto Loan,0.7223,2.23
CUST006722,Credit Card,0.725,5.87
CUST006739,Bancassurance,0.7382,31.03
CUST006779,Auto Loan,0.7274,2.23
CUST006788,Credit Card,0.7505,5.87
CUST006798,Bancassurance,0.7354,31.03
CUST006809,Personal Loan,0.7082,3.33
CUST006812,Personal Loan,0.7073,3.33
CUST006840,Investment Account,0.73,2.95
CUST006858,Personal Loan,0.7021,3.33
CUST006898,Credit Card,0.7204,5.87
CUST006900,Bancassurance,0.7513,31.03
CUST007005,Bancassurance,0.7487,31.03
CUST007028,Investment Account,0.7375,2.95
CUST007038,Credit Card,0.7347,5.87
CUST007060,Personal Loan,0.7076,3.33
CUST007063,Personal Loan,0.7124,3.33
CUST007098,Credit Card,0.732,5.87
CUST007114,Investment Account,0.7405,2.95
CUST007116,Credit Card,0.7496,5.87
CUST007147,Investment Account,0.7316,2.95
CUST007151,Credit Card,0.736,5.87
CUST007185,Credit Card,0.7198,5.87
CUST007222,Term Deposit,0.7118,0.0
CUST007242,Investment Account,0.7321,2.95
CUST007251,Credit Card,0.7429,5.87
CUST007264,Personal Loan,0.7096,3.33
CUST007268,Bancassurance,0.7464,31.03
CUST007315,Credit Card,0.7347,5.87
CUST007412,Bancassurance,0.7538,31.03
CUST007472,Credit Card,0.724,5.87
CUST007494,Bancassurance,0.7393,31.03
CUST007507,Credit Card,0.7207,5.87
CUST007519,Bancassurance,0.7376,31.03
CUST007537,Auto Loan,0.7371,2.23
CUST007543,Bancassurance,0.7399,31.03
CUST007560,Bancassurance,0.7436,31.03
CUST007595,Personal Loan,0.7059,3.33
CUST007627,Bancassurance,0.7444,31.03
CUST007632,Auto Loan,0.7421,2.23
CUST007649,Personal Loan,0.7513,3.33
CUST007652,Bancassurance,0.7464,31.03
CUST007731,Bancassurance,0.7369,31.03
CUST007734,Investment Account,0.7405,2.95
CUST007769,Personal Loan,0.7133,3.33
CUST007794,Auto Loan,0.7383,2.23
CUST007806,Credit Card,0.7217,5.87
CUST007825,Auto Loan,0.738,2.23
CUST007827,Bancassurance,0.7558,31.03
CUST007839,Personal Loan,0.7052,3.33
CUST007858,Auto Loan,0.7141,2.23
CUST007865,Term Deposit,0.7102,0.0
CUST007872,Bancassurance,0.7364,31.03
CUST007906,Auto Loan,0.7144,2.23
CUST007933,Investment Account,0.7309,2.95
CUST007970,Auto Loan,0.7173,2.23
CUST008007,Bancassurance,0.737,31.03
CUST008028,Bancassurance,0.777,31.03
CUST008057,Personal Loan,0.7072,3.33
CUST008117,Credit Card,0.7361,5.87
CUST008128,Bancassurance,0.7455,31.03
CUST008133,Term Deposit,0.7092,0.0
CUST008144,Bancassurance,0.749,31.03
CUST008153,Investment Account,0.7306,2.95
CUST008154,Credit Card,0.73,5.87
CUST008260,Personal Loan,0.7139,3.33
CUST008266,Investment Account,0.7373,2.95
CUST008309,Auto Loan,0.717,2.23
CUST008310,Investment Account,0.7289,2.95
CUST008342,Personal Loan,0.7102,3.33
CUST008356,Auto Loan,0.7144,2.23
CUST008367,Investment Account,0.7408,2.95
CUST008390,Investment Account,0.7519,2.95
CUST008396,Credit Card,0.738,5.87
CUST008426,Credit Card,0.7395,5.87
CUST008437,Bancassurance,0.7372,31.03
CUST008442,Bancassurance,0.7324,31.03
CUST008476,Credit Card,0.7637,5.87
CUST008493,Auto Loan,0.7312,2.23
CUST008510,Personal Loan,0.7092,3.33
CUST008534,Term Deposit,0.7039,0.0
CUST008549,Bancassurance,0.7311,31.03
CUST008557,Personal Loan,0.7124,3.33
CUST008579,Bancassurance,0.7452,31.03
CUST008584,Bancassurance,0.7299,31.03
CUST008590,Investment Account,0.7287,2.95
CUST008607,Credit Card,0.7299,5.87
CUST008647,Personal Loan,0.7057,3.33
CUST008676,Personal Loan,0.7042,3.33
CUST008705,Auto Loan,0.7482,2.23
CUST008706,Personal Loan,0.7034,3.33
CUST008712,Auto Loan,0.7522,2.23
CUST008775,Bancassurance,0.7403,31.03
CUST008789,Credit Card,0.7209,5.87
CUST008835,Investment Account,0.7338,2.95
CUST008875,Bancassurance,0.732,31.03
CUST008887,Auto Loan,0.7334,2.23
CUST008893,Investment Account,0.7367,2.95
CUST008954,Term Deposit,0.7107,0.0
CUST008978,Term Deposit,0.7055,0.0
CUST009019,Investment Account,0.7409,2.95
CUST009047,Bancassurance,0.732,31.03
CUST009072,Credit Card,0.7274,5.87
CUST009170,Bancassurance,0.7409,31.03
CUST009192,Term Deposit,0.7173,0.0
CUST009196,Investment Account,0.7324,2.95
CUST009206,Investment Account,0.7448,2.95
CUST009209,Investment Account,0.7448,2.95
CUST009240,Personal Loan,0.7047,3.33
CUST009253,Auto Loan,0.7189,2.23
CUST009264,Investment Account,0.7347,2.95
CUST009307,Personal Loan,0.7091,3.33
CUST009388,Bancassurance,0.7472,31.03
CUST009542,Term Deposit,0.7045,0.0
CUST009609,Investment Account,0.7306,2.95
CUST009612,Auto Loan,0.7159,2.23
CUST009623,Bancassurance,0.7446,31.03
CUST009651,Personal Loan,0.7051,3.33
CUST009664,Term Deposit,0.7104,0.0
CUST009706,Personal Loan,0.7149,3.33
CUST009707,Investment Account,0.7296,2.95
CUST009733,Auto Loan,0.7154,2.23
CUST009806,Personal Loan,0.7131,3.33
CUST009808,Investment Account,0.7296,2.95
CUST009816,Personal Loan,0.7028,3.33
CUST009821,Credit Card,0.7292,5.87
CUST009836,Investment Account,0.7401,2.95
CUST009846,Bancassurance,0.7346,31.03
CUST009854,Investment Account,0.732,2.95
CUST009857,Credit Card,0.7372,5.87
CUST009877,Investment Account,0.7304,2.95
CUST009920,Credit Card,0.7295,5.87
CUST009978,Bancassurance,0.7298,31.03
CUST009979,Bancassurance,0.7344,31.03
CUST010009,Term Deposit,0.7053,0.0
CUST010051,Auto Loan,0.7453,2.23
CUST010067,Investment Account,0.7301,2.95
CUST010146,Bancassurance,0.7503,31.03
CUST010157,Term Deposit,0.7251,0.0
CUST010185,Credit Card,0.7286,5.87
CUST010220,Auto Loan,0.7402,2.23
CUST010238,Credit Card,0.7283,5.87
CUST010245,Credit Card,0.7369,5.87
CUST010310,Bancassurance,0.7405,31.03
CUST010330,Investment Account,0.7368,2.95
CUST010403,Bancassurance,0.7409,31.03
CUST010430,Bancassurance,0.7305,31.03
CUST010436,Auto Loan,0.7413,2.23
CUST010474,Personal Loan,0.7142,3.33
CUST010485,Investment Account,0.7319,2.95
CUST010543,Personal Loan,0.7023,3.33
CUST010596,Investment Account,0.728,2.95
CUST010620,Bancassurance,0.7469,31.03
CUST010644,Bancassurance,0.7423,31.03
CUST010672,Credit Card,0.7283,5.87
CUST010727,Bancassurance,0.7299,31.03
CUST010768,Bancassurance,0.7511,31.03
CUST010772,Bancassurance,0.7344,31.03
CUST010777,Auto Loan,0.7468,2.23
CUST010793,Bancassurance,0.7382,31.03
CUST010820,Credit Card,0.7451,5.87
CUST010824,Term Deposit,0.7058,0.0
CUST010846,Credit Card,0.7312,5.87
CUST010887,Bancassurance,0.7301,31.03
CUST010946,Bancassurance,0.7376,31.03
CUST011232,Credit Card,0.7287,5.87
CUST011251,Auto Loan,0.726,2.23
CUST011300,Investment Account,0.7408,2.95
CUST011314,Credit Card,0.7255,5.87
CUST011323,Investment Account,0.7274,2.95
CUST011379,Investment Account,0.7304,2.95
CUST011399,Investment Account,0.7277,2.95
CUST011470,Auto Loan,0.7294,2.23
CUST011524,Bancassurance,0.7324,31.03
CUST011529,Bancassurance,0.7449,31.03
CUST011546,Bancassurance,0.7419,31.03
CUST011604,Credit Card,0.7593,5.87
CUST011610,Credit Card,0.7427,5.87
CUST011613,Credit Card,0.7304,5.87
CUST011621,Bancassurance,0.7483,31.03
CUST011650,Investment Account,0.7293,2.95
CUST011684,Bancassurance,0.7409,31.03
CUST011736,Credit Card,0.729,5.87
CUST011778,Personal Loan,0.7112,3.33
CUST011784,Auto Loan,0.7361,2.23
CUST011821,Auto Loan,0.7542,2.23
CUST011823,Credit Card,0.7366,5.87
CUST011858,Personal Loan,0.7197,3.33
CUST011870,Bancassurance,0.7519,31.03
CUST011910,Investment Account,0.7457,2.95
CUST011946,Personal Loan,0.7034,3.33
CUST011966,Term Deposit,0.7048,0.0
CUST011968,Investment Account,0.7289,2.95
CUST012024,Investment Account,0.7379,2.95
CUST012026,Personal Loan,0.7186,3.33
CUST012039,Bancassurance,0.7345,31.03
CUST012042,Bancassurance,0.7448,31.03
CUST012045,Credit Card,0.7336,5.87
CUST012051,Credit Card,0.7477,5.87
CUST012071,Auto Loan,0.7156,2.23
CUST012078,Credit Card,0.7209,5.87
CUST012082,Investment Account,0.7288,2.95
CUST012127,Investment Account,0.7353,2.95
CUST012152,Term Deposit,0.7079,0.0
CUST012164,Auto Loan,0.744,2.23
CUST012180,Auto Loan,0.754,2.23
CUST012269,Auto Loan,0.7301,2.23
CUST012386,Credit Card,0.7253,5.87
CUST012397,Bancassurance,0.7474,31.03
CUST012399,Personal Loan,0.7137,3.33
CUST012448,Credit Card,0.7418,5.87
CUST012449,Auto Loan,0.7419,2.23
CUST012492,Auto Loan,0.7336,2.23
CUST012500,Investment Account,0.7333,2.95
CUST012502,Auto Loan,0.7495,2.23
CUST012503,Auto Loan,0.7213,2.23
CUST012513,Bancassurance,0.7382,31.03
CUST012515,Credit Card,0.7442,5.87
CUST012551,Bancassurance,0.7369,31.03
CUST012589,Investment Account,0.7292,2.95
CUST012608,Term Deposit,0.7057,0.0
CUST012640,Bancassurance,0.7441,31.03
CUST012703,Credit Card,0.7356,5.87
CUST012740,Bancassurance,0.7309,31.03
CUST012782,Credit Card,0.7367,5.87
CUST012793,Investment Account,0.7272,2.95
CUST012864,Investment Account,0.7515,2.95
CUST012868,Auto Loan,0.7479,2.23
CUST012924,Bancassurance,0.7356,31.03
CUST012947,Term Deposit,0.7043,0.0
CUST012964,Credit Card,0.7297,5.87
CUST012979,Personal Loan,0.7111,3.33
CUST013034,Investment Account,0.7294,2.95
CUST013047,Bancassurance,0.7489,31.03
CUST013086,Credit Card,0.7331,5.87
CUST013139,Bancassurance,0.7323,31.03
CUST013143,Personal Loan,0.7012,3.33
CUST013163,Investment Account,0.7284,2.95
CUST013178,Bancassurance,0.734,31.03
CUST013207,Credit Card,0.7243,5.87
CUST013246,Term Deposit,0.7054,0.0
CUST013274,Bancassurance,0.7358,31.03
CUST013317,Investment Account,0.7343,2.95
CUST013331,Credit Card,0.7266,5.87
CUST013376,Bancassurance,0.731,31.03
CUST013394,Credit Card,0.7307,5.87
CUST013402,Term Deposit,0.7132,0.0
CUST013413,Bancassurance,0.7497,31.03
CUST013417,Auto Loan,0.7423,2.23
CUST013425,Bancassurance,0.7376,31.03
CUST013463,Credit Card,0.7246,5.87
CUST013519,Auto Loan,0.7472,2.23
CUST013532,Investment Account,0.7282,2.95
CUST013535,Bancassurance,0.7458,31.03
CUST013580,Bancassurance,0.7292,31.03
CUST013587,Credit Card,0.7202,5.87
CUST013610,Investment Account,0.7327,2.95
CUST013613,Credit Card,0.7296,5.87
CUST013620,Bancassurance,0.745,31.03
CUST013658,Personal Loan,0.7066,3.33
CUST013704,Personal Loan,0.7247,3.33
CUST013718,Term Deposit,0.7031,0.0
CUST013719,Bancassurance,0.7301,31.03
CUST013732,Credit Card,0.7241,5.87
CUST013742,Investment Account,0.7276,2.95
CUST013756,Term Deposit,0.7059,0.0
CUST013776,Personal Loan,0.7069,3.33
CUST013801,Personal Loan,0.7201,3.33
CUST013812,Personal Loan,0.7037,3.33
CUST013827,Term Deposit,0.7025,0.0
CUST013832,Credit Card,0.7366,5.87
CUST013862,Credit Card,0.7406,5.87
CUST013864,Auto Loan,0.7157,2.23
CUST013918,Investment Account,0.7357,2.95
CUST013942,Bancassurance,0.7293,31.03
CUST014001,Personal Loan,0.7162,3.33
CUST014067,Credit Card,0.7338,5.87
CUST014068,Investment Account,0.7306,2.95
CUST014077,Term Deposit,0.704,0.0
CUST014107,Term Deposit,0.7168,0.0
CUST014108,Term Deposit,0.7151,0.0
CUST014123,Personal Loan,0.7154,3.33
CUST014196,Credit Card,0.7346,5.87
CUST014209,Credit Card,0.7388,5.87
CUST014217,Auto Loan,0.717,2.23
CUST014257,Auto Loan,0.7154,2.23
CUST014300,Auto Loan,0.7408,2.23
CUST014327,Credit Card,0.7526,5.87
CUST014364,Credit Card,0.7379,5.87
CUST014395,Bancassurance,0.735,31.03
CUST014398,Bancassurance,0.7443,31.03
CUST014412,Bancassurance,0.74,31.03
CUST014447,Credit Card,0.7328,5.87
CUST014472,Auto Loan,0.7492,2.23
CUST014473,Investment Account,0.7303,2.95
CUST014524,Auto Loan,0.7349,2.23
CUST014576,Bancassurance,0.7503,31.03
CUST014594,Credit Card,0.7302,5.87
CUST014660,Personal Loan,0.7039,3.33
CUST014721,Auto Loan,0.7168,2.23
CUST014728,Auto Loan,0.7378,2.23
CUST014794,Investment Account,0.7433,2.95
CUST014802,Personal Loan,0.7093,3.33
CUST014848,Term Deposit,0.7051,0.0
CUST014858,Personal Loan,0.7184,3.33
CUST014899,Investment Account,0.7292,2.95
CUST014944,Term Deposit,0.7194,0.0
CUST015025,Investment Account,0.7302,2.95
CUST015058,Bancassurance,0.7364,31.03
CUST015063,Auto Loan,0.7547,2.23
CUST015126,Personal Loan,0.7173,3.33
CUST015191,Bancassurance,0.732,31.03
CUST015320,Term Deposit,0.7119,0.0
CUST015339,Credit Card,0.7274,5.87
CUST015372,Bancassurance,0.7424,31.03
CUST015423,Credit Card,0.7265,5.87
CUST015442,Investment Account,0.7323,2.95
CUST015473,Credit Card,0.7297,5.87
CUST015485,Credit Card,0.7386,5.87
CUST015502,Credit Card,0.7321,5.87
CUST015522,Auto Loan,0.7222,2.23
CUST015537,Personal Loan,0.7236,3.33
CUST015570,Term Deposit,0.7087,0.0
CUST015621,Investment Account,0.7303,2.95
CUST015644,Bancassurance,0.7432,31.03
CUST015690,Investment Account,0.7346,2.95
CUST015701,Investment Account,0.7304,2.95
CUST015736,Investment Account,0.7298,2.95
CUST015778,Credit Card,0.7507,5.87
CUST015823,Auto Loan,0.7142,2.23
CUST015875,Credit Card,0.7407,5.87
CUST015898,Term Deposit,0.7068,0.0
CUST015901,Credit Card,0.7352,5.87
CUST015927,Investment Account,0.7272,2.95
CUST015937,Term Deposit,0.7071,0.0
CUST015939,Credit Card,0.7213,5.87
CUST015963,Investment Account,0.744,2.95
CUST015988,Credit Card,0.7284,5.87
CUST016014,Auto Loan,0.7572,2.23
CUST016090,Auto Loan,0.751,2.23
CUST016099,Investment Account,0.7569,2.95
CUST016147,Bancassurance,0.7311,31.03
CUST016173,Personal Loan,0.7082,3.33
CUST016206,Term Deposit,0.7036,0.0
CUST016237,Bancassurance,0.7694,31.03
CUST016277,Credit Card,0.732,5.87
CUST016280,Credit Card,0.7202,5.87
CUST016288,Bancassurance,0.7428,31.03
CUST016309,Investment Account,0.7353,2.95
CUST016366,Credit Card,0.7304,5.87
CUST016387,Investment Account,0.7345,2.95
CUST016481,Personal Loan,0.7105,3.33
CUST016526,Credit Card,0.7448,5.87
CUST016711,Term Deposit,0.7039,0.0
CUST016714,Personal Loan,0.7044,3.33
CUST016720,Auto Loan,0.7197,2.23
CUST016749,Term Deposit,0.7104,0.0
CUST016772,Bancassurance,0.7406,31.03
CUST016829,Investment Account,0.7523,2.95
CUST016840,Term Deposit,0.7166,0.0
CUST016845,Investment Account,0.7491,2.95
CUST016872,Investment Account,0.7357,2.95
CUST016886,Bancassurance,0.7381,31.03
CUST016894,Term Deposit,0.7129,0.0
CUST017008,Credit Card,0.7265,5.87
CUST017018,Bancassurance,0.7296,31.03
CUST017045,Bancassurance,0.7385,31.03
CUST017046,Credit Card,0.7444,5.87
CUST017073,Credit Card,0.7233,5.87
CUST017078,Term Deposit,0.7114,0.0
CUST017088,Auto Loan,0.7259,2.23
CUST017115,Bancassurance,0.7328,31.03
CUST017166,Investment Account,0.7309,2.95
CUST017203,Credit Card,0.7335,5.87
CUST017250,Credit Card,0.7237,5.87
CUST017254,Bancassurance,0.7395,31.03
